,country_code,year,gini_index,average_income,name,sub-region,intermediate-region,rate_literacy,country_x,rate_literacy_female,country_y,rate_literacy_male,country,literacy_ratio_females_to_males,gini_BM,ISO3166-1-Alpha-3
0,AE,2009.0,0.6485995435493852,141506.753713,United Arab Emirates,Western Asia,,,,,,,,,,ARE
1,AE,1998.0,0.628820896238,283359.506333,United Arab Emirates,Western Asia,,,,,,,,,,ARE
2,BH,2015.0,0.6001665626200939,8686.00993415,Bahrain,Western Asia,,,,,,,,,,BHR
3,BH,2005.0,0.5906703335748191,11891.0736299,Bahrain,Western Asia,,,,,,,,,,BHR
4,BH,1995.0,0.6089170127300001,12740.9947734,Bahrain,Western Asia,,,,,,,,,,BHR
5,BR,2015.0,0.6411212417266291,37113.4815254,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.513,BRA
6,BR,2014.0,0.636323014787364,39518.8828337,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.515,BRA
7,BR,2013.0,0.6388628496853471,42218.1025811,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.528,BRA
8,BR,2012.0,0.644376529181393,40562.3134057,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.527,BRA
9,BR,2011.0,0.6510333946758471,39976.69183500001,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.529,BRA
10,BR,2010.0,0.6443864787211229,38894.4990315,Brazil,Latin America and the Caribbean,South America,97.5,Brazil,98.3,Brazil,96.7,,,,BRA
11,BR,2009.0,0.6451332968280801,37271.5465998,Brazil,Latin America and the Caribbean,South America,98.1,Brazil,98.7,Brazil,97.5,,,0.537,BRA
12,BR,2008.0,0.6530191368856079,38209.6631671,Brazil,Latin America and the Caribbean,South America,97.8,Brazil,98.5,Brazil,97.2,Brazil,101.0,0.54,BRA
13,BR,2007.0,0.6463626696834711,37439.3511504,Brazil,Latin America and the Caribbean,South America,97.8,Brazil,98.6,Brazil,97.1,Brazil,102.0,0.5489999999999999,BRA
14,BR,2006.0,0.6494971342368199,35849.8668271,Brazil,Latin America and the Caribbean,South America,97.6,Brazil,98.4,Brazil,96.8,Brazil,102.0,0.556,BRA
15,BR,2005.0,0.6473948188878071,35184.1757366,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.563,BRA
16,BR,2004.0,0.6479128540149262,34893.6807667,Brazil,Latin America and the Caribbean,South America,96.8,Brazil,97.9,Brazil,95.8,Brazil,102.0,0.565,BRA
17,BR,2003.0,0.653351469958829,33533.2729487,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.5760000000000001,BRA
18,BR,2002.0,0.653196461486777,33939.047702200005,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.581,BRA
19,BR,2001.0,0.645269282364,33866.3817908,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.584,BRA
20,CI,2014.0,0.5906055401550299,911463.395061,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,,CIV
21,CI,2008.0,0.6016129067148311,871787.865983,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,0.4320000000000001,CIV
22,CI,2002.0,0.6347970917229981,952253.999442,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,0.413,CIV
23,CI,1998.0,0.582880686715864,1083154.93967,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,47.1,Cote d'Ivoire,39.9,Cote d'Ivoire,54.4,Cote d'Ivoire,73.3,0.39,CIV
24,CI,1993.0,0.542669313899434,1069159.56631,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,,CIV
25,CI,1988.0,0.6245482829740001,1567460.16717,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,48.5,Cote d'Ivoire,37.9,Cote d'Ivoire,59.9,Cote d'Ivoire,63.1,0.369,CIV
26,CN-RU,2015.0,0.5113414394107575,23911.320455,Rural China,,,,,,,,,,,
27,CN-RU,2014.0,0.5105088922141021,22897.0631703,Rural China,,,,,,,,,,,
28,CN-RU,2013.0,0.5113839336942196,21107.4082343,Rural China,,,,,,,,,,,
29,CN-RU,2012.0,0.5132750266505898,19857.9414381,Rural China,,,,,,,,,,,
30,CN-RU,2011.0,0.5165049453098285,18506.5786561,Rural China,,,,,,,,,,,
31,CN-RU,2010.0,0.5104915968143008,17067.726110699998,Rural China,,,,,,,,,,,
32,CN-RU,2009.0,0.4963140115601537,15554.5339299,Rural China,,,,,,,,,,,
33,CN-RU,2008.0,0.4903125733170816,14881.8263321,Rural China,,,,,,,,,,,
34,CN-RU,2007.0,0.4920894679811573,14155.6486726,Rural China,,,,,,,,,,,
35,CN-RU,2006.0,0.4830215936650365,12752.0015457,Rural China,,,,,,,,,,,
36,CN-RU,2005.0,0.4886449867850663,11656.7871657,Rural China,,,,,,,,,,,
37,CN-RU,2004.0,0.4601443714863693,10922.6191105,Rural China,,,,,,,,,,,
38,CN-RU,2003.0,0.4676998747229004,10259.0035413,Rural China,,,,,,,,,,,
39,CN-RU,2002.0,0.4664847928392499,9998.96300454,Rural China,,,,,,,,,,,
40,CN-RU,2001.0,0.4607715499788235,9930.57829381,Rural China,,,,,,,,,,,
41,CN-RU,2000.0,0.4531372477950624,9738.53249541,Rural China,,,,,,,,,,,
42,CN-RU,1999.0,0.43107395426633,9975.22609756,Rural China,,,,,,,,,,,
43,CN-RU,1998.0,0.42665138019014537,10139.4323277,Rural China,,,,,,,,,,,
44,CN-RU,1997.0,0.4314849450780249,10091.9307035,Rural China,,,,,,,,,,,
45,CN-RU,1996.0,0.42996330734583743,9951.46069147,Rural China,,,,,,,,,,,
46,CN-RU,1995.0,0.4274604118294865,9403.41190478,Rural China,,,,,,,,,,,
47,CN-RU,1994.0,0.42618799334170376,9137.10530932,Rural China,,,,,,,,,,,
48,CN-RU,1993.0,0.4201094236381675,8871.56073596,Rural China,,,,,,,,,,,
49,CN-RU,1992.0,0.4127597314087862,9271.22965785,Rural China,,,,,,,,,,,
50,CN-RU,1991.0,0.4042818801984748,8777.63372502,Rural China,,,,,,,,,,,
51,CN-RU,1990.0,0.3906867682155133,8442.29832976,Rural China,,,,,,,,,,,
52,CN-RU,1989.0,0.387039299254468,8911.06077112,Rural China,,,,,,,,,,,
53,CN-RU,1988.0,0.3826852964730628,9813.40062514,Rural China,,,,,,,,,,,
54,CN-RU,1987.0,0.3773637842744111,9352.98427959,Rural China,,,,,,,,,,,
55,CN-RU,1986.0,0.37066680734088775,8998.50123467,Rural China,,,,,,,,,,,
56,CN-RU,1985.0,0.3619189359492615,9119.40108264,Rural China,,,,,,,,,,,
57,CN-RU,1984.0,0.3584222482004036,7802.86932751,Rural China,,,,,,,,,,,
58,CN-RU,1983.0,0.3542064374287284,6639.95883271,Rural China,,,,,,,,,,,
59,CN-RU,1982.0,0.34896442884752044,6039.53779428,Rural China,,,,,,,,,,,
60,CN-RU,1981.0,0.3421806666899065,5803.50288013,Rural China,,,,,,,,,,,
61,CN-RU,1980.0,0.332925860967513,5540.92745996,Rural China,,,,,,,,,,,
62,CN-RU,1979.0,0.3319457909673837,5360.3799893,Rural China,,,,,,,,,,,
63,CN-RU,1978.0,0.3306808146642173,5142.78291033,Rural China,,,,,,,,,,,
64,CN-UR,2015.0,0.4473929993382497,83704.2440456,Urban China,,,,,,,,,,,
65,CN-UR,2014.0,0.4465690652048152,80143.43623889999,Urban China,,,,,,,,,,,
66,CN-UR,2013.0,0.4562559082202042,74498.4875233,Urban China,,,,,,,,,,,
67,CN-UR,2012.0,0.4411741436300989,68950.2722012,Urban China,,,,,,,,,,,
68,CN-UR,2011.0,0.458752722438405,64751.0973523,Urban China,,,,,,,,,,,
69,CN-UR,2010.0,0.4568684388358885,61742.3610761,Urban China,,,,,,,,,,,
70,CN-UR,2009.0,0.4515522886653325,58013.48395750001,Urban China,,,,,,,,,,,
71,CN-UR,2008.0,0.4559943431150266,54268.90412740001,Urban China,,,,,,,,,,,
72,CN-UR,2007.0,0.4520357930240387,51039.0568351,Urban China,,,,,,,,,,,
73,CN-UR,2006.0,0.44917523882416704,45656.9492752,Urban China,,,,,,,,,,,
74,CN-UR,2005.0,0.4463574437497605,41066.5429442,Urban China,,,,,,,,,,,
