year	low	high	width	share	cumul	# sptinc992j	country
2009	0	0.01	0.01	0.00008	0.00008		AE
2009	0.01	0.02	0.01	0.00041	0.00048		AE
2009	0.02	0.03	0.01	0.00067	0.00115		AE
2009	0.03	0.04	0.01	0.0009	0.00205		AE
2009	0.04	0.05	0.01	0.00112	0.00317		AE
2009	0.05	0.06	0.01	0.00131	0.00448		AE
2009	0.06	0.07	0.01	0.00152	0.006		AE
2009	0.07	0.08	0.01	0.00168	0.00768		AE
2009	0.08	0.09	0.01	0.00176	0.00944		AE
2009	0.09	0.1	0.01	0.00179	0.01123		AE
2009	0.1	0.11	0.01	0.00182	0.01305		AE
2009	0.11	0.12	0.01	0.00185	0.0149		AE
2009	0.12	0.13	0.01	0.00187	0.01677		AE
2009	0.13	0.14	0.01	0.0019	0.01867		AE
2009	0.14	0.15	0.01	0.00192	0.02059		AE
2009	0.15	0.16	0.01	0.00194	0.02254		AE
2009	0.16	0.17	0.01	0.00197	0.0245		AE
2009	0.17	0.18	0.01	0.00199	0.0265		AE
2009	0.18	0.19	0.01	0.00202	0.02851		AE
2009	0.19	0.2	0.01	0.00204	0.03055		AE
2009	0.2	0.21	0.01	0.00206	0.03261		AE
2009	0.21	0.22	0.01	0.00209	0.0347		AE
2009	0.22	0.23	0.01	0.00211	0.03681		AE
2009	0.23	0.24	0.01	0.00214	0.03895		AE
2009	0.24	0.25	0.01	0.00216	0.04111		AE
2009	0.25	0.26	0.01	0.00219	0.0433		AE
2009	0.26	0.27	0.01	0.00221	0.04551		AE
2009	0.27	0.28	0.01	0.00224	0.04775		AE
2009	0.28	0.29	0.01	0.00227	0.05001		AE
2009	0.29	0.3	0.01	0.0023	0.05231		AE
2009	0.3	0.31	0.01	0.00233	0.05464		AE
2009	0.31	0.32	0.01	0.00237	0.05701		AE
2009	0.32	0.33	0.01	0.00241	0.05942		AE
2009	0.33	0.34	0.01	0.00245	0.06187		AE
2009	0.34	0.35	0.01	0.0025	0.06437		AE
2009	0.35	0.36	0.01	0.00254	0.06691		AE
2009	0.36	0.37	0.01	0.00259	0.0695		AE
2009	0.37	0.38	0.01	0.00263	0.07213		AE
2009	0.38	0.39	0.01	0.00268	0.07481		AE
2009	0.39	0.4	0.01	0.00274	0.07756		AE
2009	0.4	0.41	0.01	0.0028	0.08036		AE
2009	0.41	0.42	0.01	0.00287	0.08323		AE
2009	0.42	0.43	0.01	0.00294	0.08617		AE
2009	0.43	0.44	0.01	0.00301	0.08918		AE
2009	0.44	0.45	0.01	0.00309	0.09227		AE
2009	0.45	0.46	0.01	0.00317	0.09543		AE
2009	0.46	0.47	0.01	0.00325	0.09868		AE
2009	0.47	0.48	0.01	0.00333	0.10201		AE
2009	0.48	0.49	0.01	0.00342	0.10543		AE
2009	0.49	0.5	0.01	0.00351	0.10894		AE
2009	0.5	0.51	0.01	0.00361	0.11255		AE
2009	0.51	0.52	0.01	0.00371	0.11625		AE
2009	0.52	0.53	0.01	0.00381	0.12007		AE
2009	0.53	0.54	0.01	0.00392	0.12399		AE
2009	0.54	0.55	0.01	0.00404	0.12803		AE
2009	0.55	0.56	0.01	0.00415	0.13218		AE
2009	0.56	0.57	0.01	0.00427	0.13646		AE
2009	0.57	0.58	0.01	0.00439	0.14085		AE
2009	0.58	0.59	0.01	0.00451	0.14536		AE
2009	0.59	0.6	0.01	0.00464	0.15001		AE
2009	0.6	0.61	0.01	0.00478	0.15479		AE
2009	0.61	0.62	0.01	0.00493	0.15972		AE
2009	0.62	0.63	0.01	0.00509	0.1648		AE
2009	0.63	0.64	0.01	0.00526	0.17006		AE
2009	0.64	0.65	0.01	0.00545	0.17551		AE
2009	0.65	0.66	0.01	0.00565	0.18116		AE
2009	0.66	0.67	0.01	0.00587	0.18703		AE
2009	0.67	0.68	0.01	0.0061	0.19313		AE
2009	0.68	0.69	0.01	0.00635	0.19949		AE
2009	0.69	0.7	0.01	0.00661	0.20609		AE
2009	0.7	0.71	0.01	0.00685	0.21295		AE
2009	0.71	0.72	0.01	0.00709	0.22004		AE
2009	0.72	0.73	0.01	0.00732	0.22736		AE
2009	0.73	0.74	0.01	0.00756	0.23492		AE
2009	0.74	0.75	0.01	0.00781	0.24274		AE
2009	0.75	0.76	0.01	0.0081	0.25083		AE
2009	0.76	0.77	0.01	0.00843	0.25926		AE
2009	0.77	0.78	0.01	0.00879	0.26805		AE
2009	0.78	0.79	0.01	0.00917	0.27722		AE
