year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	0.00005	0.00005		BR
2015	0.01	0.02	0.01	0.00016	0.00021		BR
2015	0.02	0.03	0.01	0.00021	0.00042		BR
2015	0.03	0.04	0.01	0.00022	0.00064		BR
2015	0.04	0.05	0.01	0.00022	0.00087		BR
2015	0.05	0.06	0.01	0.00023	0.0011		BR
2015	0.06	0.07	0.01	0.00024	0.00133		BR
2015	0.07	0.08	0.01	0.00024	0.00158		BR
2015	0.08	0.09	0.01	0.00025	0.00183		BR
2015	0.09	0.1	0.01	0.00026	0.00209		BR
2015	0.1	0.11	0.01	0.00036	0.00244		BR
2015	0.11	0.12	0.01	0.00062	0.00306		BR
2015	0.12	0.13	0.01	0.00095	0.00401		BR
2015	0.13	0.14	0.01	0.0013	0.00531		BR
2015	0.14	0.15	0.01	0.00163	0.00695		BR
2015	0.15	0.16	0.01	0.00188	0.00882		BR
2015	0.16	0.17	0.01	0.002	0.01082		BR
2015	0.17	0.18	0.01	0.00204	0.01286		BR
2015	0.18	0.19	0.01	0.00205	0.01492		BR
2015	0.19	0.2	0.01	0.00206	0.01698		BR
2015	0.2	0.21	0.01	0.00209	0.01907		BR
2015	0.21	0.22	0.01	0.00217	0.02124		BR
2015	0.22	0.23	0.01	0.0023	0.02354		BR
2015	0.23	0.24	0.01	0.00246	0.02599		BR
2015	0.24	0.25	0.01	0.00263	0.02863		BR
2015	0.25	0.26	0.01	0.00281	0.03144		BR
2015	0.26	0.27	0.01	0.00299	0.03443		BR
2015	0.27	0.28	0.01	0.00314	0.03757		BR
2015	0.28	0.29	0.01	0.00327	0.04083		BR
2015	0.29	0.3	0.01	0.00337	0.0442		BR
2015	0.3	0.31	0.01	0.00345	0.04765		BR
2015	0.31	0.32	0.01	0.00351	0.05116		BR
2015	0.32	0.33	0.01	0.00356	0.05471		BR
2015	0.33	0.34	0.01	0.00359	0.0583		BR
2015	0.34	0.35	0.01	0.00361	0.06191		BR
2015	0.35	0.36	0.01	0.00362	0.06554		BR
2015	0.36	0.37	0.01	0.00364	0.06917		BR
2015	0.37	0.38	0.01	0.00365	0.07283		BR
2015	0.38	0.39	0.01	0.00368	0.07651		BR
2015	0.39	0.4	0.01	0.00372	0.08022		BR
2015	0.4	0.41	0.01	0.00378	0.084		BR
2015	0.41	0.42	0.01	0.00386	0.08787		BR
2015	0.42	0.43	0.01	0.00396	0.09183		BR
2015	0.43	0.44	0.01	0.00407	0.0959		BR
2015	0.44	0.45	0.01	0.00418	0.10008		BR
2015	0.45	0.46	0.01	0.00429	0.10438		BR
2015	0.46	0.47	0.01	0.0044	0.10877		BR
2015	0.47	0.48	0.01	0.00449	0.11327		BR
2015	0.48	0.49	0.01	0.00458	0.11785		BR
2015	0.49	0.5	0.01	0.00467	0.12252		BR
2015	0.5	0.51	0.01	0.00477	0.12729		BR
2015	0.51	0.52	0.01	0.00487	0.13216		BR
2015	0.52	0.53	0.01	0.00498	0.13714		BR
2015	0.53	0.54	0.01	0.00509	0.14223		BR
2015	0.54	0.55	0.01	0.00521	0.14744		BR
2015	0.55	0.56	0.01	0.00533	0.15276		BR
2015	0.56	0.57	0.01	0.00545	0.15821		BR
2015	0.57	0.58	0.01	0.00557	0.16378		BR
2015	0.58	0.59	0.01	0.00569	0.16946		BR
2015	0.59	0.6	0.01	0.00582	0.17528		BR
2015	0.6	0.61	0.01	0.00595	0.18123		BR
2015	0.61	0.62	0.01	0.00611	0.18734		BR
2015	0.62	0.63	0.01	0.00627	0.1936		BR
2015	0.63	0.64	0.01	0.00643	0.20003		BR
2015	0.64	0.65	0.01	0.00659	0.20663		BR
2015	0.65	0.66	0.01	0.00675	0.21338		BR
2015	0.66	0.67	0.01	0.00691	0.22028		BR
2015	0.67	0.68	0.01	0.00705	0.22733		BR
2015	0.68	0.69	0.01	0.00719	0.23453		BR
2015	0.69	0.7	0.01	0.00733	0.24186		BR
2015	0.7	0.71	0.01	0.00749	0.24934		BR
2015	0.71	0.72	0.01	0.00766	0.257		BR
2015	0.72	0.73	0.01	0.00784	0.26484		BR
