year	low	high	width	share	cumul	# sptinc992j	country
2014	0	0.01	0.01	0.0001	0.0001		CI
2014	0.01	0.02	0.01	0.00025	0.00034		CI
2014	0.02	0.03	0.01	0.00038	0.00072		CI
2014	0.03	0.04	0.01	0.00051	0.00123		CI
2014	0.04	0.05	0.01	0.00063	0.00186		CI
2014	0.05	0.06	0.01	0.00075	0.00261		CI
2014	0.06	0.07	0.01	0.00086	0.00347		CI
2014	0.07	0.08	0.01	0.00096	0.00444		CI
2014	0.08	0.09	0.01	0.00109	0.00553		CI
2014	0.09	0.1	0.01	0.00124	0.00677		CI
2014	0.1	0.11	0.01	0.00136	0.00813		CI
2014	0.11	0.12	0.01	0.00143	0.00956		CI
2014	0.12	0.13	0.01	0.00152	0.01108		CI
2014	0.13	0.14	0.01	0.00163	0.01271		CI
2014	0.14	0.15	0.01	0.00173	0.01445		CI
2014	0.15	0.16	0.01	0.00182	0.01627		CI
2014	0.16	0.17	0.01	0.00191	0.01818		CI
2014	0.17	0.18	0.01	0.00201	0.02019		CI
2014	0.18	0.19	0.01	0.00211	0.0223		CI
2014	0.19	0.2	0.01	0.0022	0.02451		CI
2014	0.2	0.21	0.01	0.00228	0.02679		CI
2014	0.21	0.22	0.01	0.00237	0.02916		CI
2014	0.22	0.23	0.01	0.00247	0.03163		CI
2014	0.23	0.24	0.01	0.00259	0.03423		CI
2014	0.24	0.25	0.01	0.00269	0.03692		CI
2014	0.25	0.26	0.01	0.00276	0.03968		CI
2014	0.26	0.27	0.01	0.00283	0.04251		CI
2014	0.27	0.28	0.01	0.00292	0.04543		CI
2014	0.28	0.29	0.01	0.003	0.04843		CI
2014	0.29	0.3	0.01	0.00307	0.0515		CI
2014	0.3	0.31	0.01	0.00317	0.05467		CI
2014	0.31	0.32	0.01	0.00329	0.05797		CI
2014	0.32	0.33	0.01	0.00339	0.06135		CI
2014	0.33	0.34	0.01	0.00345	0.06481		CI
2014	0.34	0.35	0.01	0.00353	0.06834		CI
2014	0.35	0.36	0.01	0.00364	0.07197		CI
2014	0.36	0.37	0.01	0.00378	0.07575		CI
2014	0.37	0.38	0.01	0.00392	0.07967		CI
2014	0.38	0.39	0.01	0.00402	0.08369		CI
2014	0.39	0.4	0.01	0.00409	0.08778		CI
2014	0.4	0.41	0.01	0.00417	0.09195		CI
2014	0.41	0.42	0.01	0.00429	0.09624		CI
2014	0.42	0.43	0.01	0.0044	0.10065		CI
2014	0.43	0.44	0.01	0.0045	0.10515		CI
2014	0.44	0.45	0.01	0.00461	0.10976		CI
2014	0.45	0.46	0.01	0.00472	0.11448		CI
2014	0.46	0.47	0.01	0.00483	0.11931		CI
2014	0.47	0.48	0.01	0.00493	0.12424		CI
2014	0.48	0.49	0.01	0.00505	0.12929		CI
2014	0.49	0.5	0.01	0.00519	0.13448		CI
2014	0.5	0.51	0.01	0.00532	0.1398		CI
2014	0.51	0.52	0.01	0.00544	0.14524		CI
2014	0.52	0.53	0.01	0.00557	0.1508		CI
2014	0.53	0.54	0.01	0.00571	0.15652		CI
2014	0.54	0.55	0.01	0.00586	0.16237		CI
2014	0.55	0.56	0.01	0.006	0.16837		CI
2014	0.56	0.57	0.01	0.00617	0.17453		CI
2014	0.57	0.58	0.01	0.00638	0.18091		CI
2014	0.58	0.59	0.01	0.00656	0.18747		CI
