year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	-0.00003	-0.00003		CN-RU
2015	0.01	0.02	0.01	0.00025	0.00022		CN-RU
2015	0.02	0.03	0.01	0.00046	0.00067		CN-RU
2015	0.03	0.04	0.01	0.00065	0.00132		CN-RU
2015	0.04	0.05	0.01	0.00085	0.00217		CN-RU
2015	0.05	0.06	0.01	0.00104	0.00321		CN-RU
2015	0.06	0.07	0.01	0.00122	0.00443		CN-RU
2015	0.07	0.08	0.01	0.00141	0.00584		CN-RU
2015	0.08	0.09	0.01	0.0016	0.00744		CN-RU
2015	0.09	0.1	0.01	0.00178	0.00922		CN-RU
2015	0.1	0.11	0.01	0.00197	0.01119		CN-RU
2015	0.11	0.12	0.01	0.00215	0.01335		CN-RU
2015	0.12	0.13	0.01	0.00234	0.01568		CN-RU
2015	0.13	0.14	0.01	0.00252	0.0182		CN-RU
2015	0.14	0.15	0.01	0.0027	0.02091		CN-RU
2015	0.15	0.16	0.01	0.00289	0.0238		CN-RU
2015	0.16	0.17	0.01	0.00307	0.02687		CN-RU
2015	0.17	0.18	0.01	0.00325	0.03012		CN-RU
2015	0.18	0.19	0.01	0.00343	0.03356		CN-RU
2015	0.19	0.2	0.01	0.00359	0.03715		CN-RU
2015	0.2	0.21	0.01	0.00371	0.04086		CN-RU
2015	0.21	0.22	0.01	0.00381	0.04467		CN-RU
2015	0.22	0.23	0.01	0.0039	0.04856		CN-RU
2015	0.23	0.24	0.01	0.00398	0.05254		CN-RU
2015	0.24	0.25	0.01	0.00407	0.05661		CN-RU
2015	0.25	0.26	0.01	0.00415	0.06077		CN-RU
2015	0.26	0.27	0.01	0.00424	0.065		CN-RU
2015	0.27	0.28	0.01	0.00432	0.06933		CN-RU
2015	0.28	0.29	0.01	0.00441	0.07373		CN-RU
2015	0.29	0.3	0.01	0.00449	0.07822		CN-RU
2015	0.3	0.31	0.01	0.00457	0.0828		CN-RU
2015	0.31	0.32	0.01	0.00466	0.08746		CN-RU
2015	0.32	0.33	0.01	0.00474	0.0922		CN-RU
2015	0.33	0.34	0.01	0.00483	0.09703		CN-RU
2015	0.34	0.35	0.01	0.00491	0.10194		CN-RU
2015	0.35	0.36	0.01	0.005	0.10694		CN-RU
2015	0.36	0.37	0.01	0.00508	0.11202		CN-RU
2015	0.37	0.38	0.01	0.00517	0.11719		CN-RU
2015	0.38	0.39	0.01	0.00525	0.12244		CN-RU
2015	0.39	0.4	0.01	0.00534	0.12777		CN-RU
2015	0.4	0.41	0.01	0.00542	0.1332		CN-RU
2015	0.41	0.42	0.01	0.00551	0.1387		CN-RU
2015	0.42	0.43	0.01	0.00559	0.14429		CN-RU
2015	0.43	0.44	0.01	0.00568	0.14997		CN-RU
2015	0.44	0.45	0.01	0.00576	0.15574		CN-RU
2015	0.45	0.46	0.01	0.00585	0.16159		CN-RU
2015	0.46	0.47	0.01	0.00594	0.16752		CN-RU
2015	0.47	0.48	0.01	0.00602	0.17355		CN-RU
2015	0.48	0.49	0.01	0.00611	0.17966		CN-RU
2015	0.49	0.5	0.01	0.0062	0.18587		CN-RU
2015	0.5	0.51	0.01	0.0063	0.19216		CN-RU
2015	0.51	0.52	0.01	0.00639	0.19856		CN-RU
2015	0.52	0.53	0.01	0.00649	0.20505		CN-RU
2015	0.53	0.54	0.01	0.00659	0.21164		CN-RU
2015	0.54	0.55	0.01	0.0067	0.21834		CN-RU
2015	0.55	0.56	0.01	0.00681	0.22514		CN-RU
2015	0.56	0.57	0.01	0.00692	0.23206		CN-RU
2015	0.57	0.58	0.01	0.00703	0.23909		CN-RU
2015	0.58	0.59	0.01	0.00716	0.24625		CN-RU
2015	0.59	0.6	0.01	0.00728	0.25353		CN-RU
2015	0.6	0.61	0.01	0.00741	0.26094		CN-RU
2015	0.61	0.62	0.01	0.00755	0.26849		CN-RU
2015	0.62	0.63	0.01	0.00769	0.27617		CN-RU
2015	0.63	0.64	0.01	0.00783	0.28401		CN-RU
2015	0.64	0.65	0.01	0.00799	0.29199		CN-RU
2015	0.65	0.66	0.01	0.00815	0.30014		CN-RU
2015	0.66	0.67	0.01	0.00832	0.30846		CN-RU
2015	0.67	0.68	0.01	0.00849	0.31695		CN-RU
2015	0.68	0.69	0.01	0.00867	0.32562		CN-RU
2015	0.69	0.7	0.01	0.00887	0.33449		CN-RU
2015	0.7	0.71	0.01	0.00907	0.34356		CN-RU
2015	0.71	0.72	0.01	0.00928	0.35284		CN-RU
2015	0.72	0.73	0.01	0.00951	0.36236		CN-RU
2015	0.73	0.74	0.01	0.00975	0.37211		CN-RU
2015	0.74	0.75	0.01	0.01	0.38211		CN-RU
2015	0.75	0.76	0.01	0.01027	0.39238		CN-RU
2015	0.76	0.77	0.01	0.01056	0.40294		CN-RU
2015	0.77	0.78	0.01	0.01086	0.4138		CN-RU
2015	0.78	0.79	0.01	0.01119	0.42498		CN-RU
2015	0.79	0.8	0.01	0.01154	0.43652		CN-RU
2015	0.8	0.81	0.01	0.01191	0.44844		CN-RU
2015	0.81	0.82	0.01	0.01232	0.46076		CN-RU
2015	0.82	0.83	0.01	0.01276	0.47352		CN-RU
2015	0.83	0.84	0.01	0.01325	0.48677		CN-RU
2015	0.84	0.85	0.01	0.01378	0.50055		CN-RU
2015	0.85	0.86	0.01	0.01436	0.51491		CN-RU
2015	0.86	0.87	0.01	0.01501	0.52992		CN-RU
2015	0.87	0.88	0.01	0.01575	0.54567		CN-RU
2015	0.88	0.89	0.01	0.01658	0.56225		CN-RU
2015	0.89	0.9	0.01	0.01754	0.57979		CN-RU
2015	0.9	0.91	0.01	0.01865	0.59843		CN-RU
2015	0.91	0.92	0.01	0.01996	0.6184		CN-RU
2015	0.92	0.93	0.01	0.02154	0.63993		CN-RU
2015	0.93	0.94	0.01	0.02345	0.66339		CN-RU
2015	0.94	0.95	0.01	0.02583	0.68922		CN-RU
2015	0.95	0.96	0.01	0.02885	0.71807		CN-RU
2015	0.96	0.97	0.01	0.03288	0.75095		CN-RU
2015	0.97	0.98	0.01	0.03872	0.78966		CN-RU
2015	0.98	0.99	0.01	0.04888	0.83854		CN-RU
2015	0.99	0.991	0.001	0.00589	0.84444		CN-RU
2015	0.991	0.992	0.001	0.00622	0.85066		CN-RU
2015	0.992	0.993	0.001	0.0066	0.85725		CN-RU
2015	0.993	0.994	0.001	0.00706	0.86432		CN-RU
2015	0.994	0.995	0.001	0.00759	0.87191		CN-RU
2015	0.995	0.996	0.001	0.00828	0.88019		CN-RU
2015	0.996	0.997	0.001	0.00935	0.88954		CN-RU
