year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	0.00001	0.00001		CN-UR
2015	0.01	0.02	0.01	0.00035	0.00036		CN-UR
2015	0.02	0.03	0.01	0.00062	0.00098		CN-UR
2015	0.03	0.04	0.01	0.00088	0.00186		CN-UR
2015	0.04	0.05	0.01	0.00114	0.003		CN-UR
2015	0.05	0.06	0.01	0.0014	0.00439		CN-UR
2015	0.06	0.07	0.01	0.00165	0.00604		CN-UR
2015	0.07	0.08	0.01	0.0019	0.00794		CN-UR
2015	0.08	0.09	0.01	0.00215	0.0101		CN-UR
2015	0.09	0.1	0.01	0.0024	0.0125		CN-UR
2015	0.1	0.11	0.01	0.00265	0.01515		CN-UR
2015	0.11	0.12	0.01	0.0029	0.01806		CN-UR
2015	0.12	0.13	0.01	0.00315	0.02121		CN-UR
2015	0.13	0.14	0.01	0.0034	0.02461		CN-UR
2015	0.14	0.15	0.01	0.00365	0.02826		CN-UR
2015	0.15	0.16	0.01	0.0039	0.03216		CN-UR
2015	0.16	0.17	0.01	0.00414	0.03631		CN-UR
2015	0.17	0.18	0.01	0.00434	0.04064		CN-UR
2015	0.18	0.19	0.01	0.00445	0.04509		CN-UR
2015	0.19	0.2	0.01	0.00454	0.04964		CN-UR
2015	0.2	0.21	0.01	0.00463	0.05427		CN-UR
2015	0.21	0.22	0.01	0.00471	0.05898		CN-UR
2015	0.22	0.23	0.01	0.00479	0.06377		CN-UR
2015	0.23	0.24	0.01	0.00487	0.06864		CN-UR
2015	0.24	0.25	0.01	0.00495	0.07359		CN-UR
2015	0.25	0.26	0.01	0.00503	0.07862		CN-UR
2015	0.26	0.27	0.01	0.00511	0.08373		CN-UR
2015	0.27	0.28	0.01	0.00519	0.08891		CN-UR
2015	0.28	0.29	0.01	0.00526	0.09418		CN-UR
2015	0.29	0.3	0.01	0.00534	0.09952		CN-UR
2015	0.3	0.31	0.01	0.00542	0.10494		CN-UR
2015	0.31	0.32	0.01	0.0055	0.11044		CN-UR
2015	0.32	0.33	0.01	0.00558	0.11602		CN-UR
2015	0.33	0.34	0.01	0.00566	0.12168		CN-UR
2015	0.34	0.35	0.01	0.00574	0.12742		CN-UR
2015	0.35	0.36	0.01	0.00582	0.13323		CN-UR
2015	0.36	0.37	0.01	0.00589	0.13913		CN-UR
2015	0.37	0.38	0.01	0.00597	0.1451		CN-UR
2015	0.38	0.39	0.01	0.00605	0.15116		CN-UR
2015	0.39	0.4	0.01	0.00613	0.15729		CN-UR
2015	0.4	0.41	0.01	0.00621	0.1635		CN-UR
2015	0.41	0.42	0.01	0.00629	0.16979		CN-UR
2015	0.42	0.43	0.01	0.00637	0.17617		CN-UR
2015	0.43	0.44	0.01	0.00645	0.18262		CN-UR
2015	0.44	0.45	0.01	0.00653	0.18915		CN-UR
2015	0.45	0.46	0.01	0.00661	0.19577		CN-UR
2015	0.46	0.47	0.01	0.0067	0.20246		CN-UR
2015	0.47	0.48	0.01	0.00678	0.20924		CN-UR
2015	0.48	0.49	0.01	0.00686	0.2161		CN-UR
2015	0.49	0.5	0.01	0.00695	0.22305		CN-UR
2015	0.5	0.51	0.01	0.00703	0.23008		CN-UR
2015	0.51	0.52	0.01	0.00712	0.2372		CN-UR
2015	0.52	0.53	0.01	0.00722	0.24442		CN-UR
2015	0.53	0.54	0.01	0.00731	0.25173		CN-UR
2015	0.54	0.55	0.01	0.00741	0.25914		CN-UR
2015	0.55	0.56	0.01	0.00751	0.26665		CN-UR
2015	0.56	0.57	0.01	0.00761	0.27426		CN-UR
2015	0.57	0.58	0.01	0.00772	0.28198		CN-UR
2015	0.58	0.59	0.01	0.00783	0.28982		CN-UR
2015	0.59	0.6	0.01	0.00795	0.29777		CN-UR
2015	0.6	0.61	0.01	0.00807	0.30584		CN-UR
2015	0.61	0.62	0.01	0.00819	0.31403		CN-UR
2015	0.62	0.63	0.01	0.00832	0.32235		CN-UR
2015	0.63	0.64	0.01	0.00846	0.33081		CN-UR
2015	0.64	0.65	0.01	0.0086	0.33941		CN-UR
2015	0.65	0.66	0.01	0.00874	0.34815		CN-UR
2015	0.66	0.67	0.01	0.00889	0.35704		CN-UR
2015	0.67	0.68	0.01	0.00905	0.3661		CN-UR
2015	0.68	0.69	0.01	0.00922	0.37532		CN-UR
2015	0.69	0.7	0.01	0.00939	0.38471		CN-UR
2015	0.7	0.71	0.01	0.00957	0.39428		CN-UR
2015	0.71	0.72	0.01	0.00976	0.40404		CN-UR
2015	0.72	0.73	0.01	0.00996	0.41401		CN-UR
2015	0.73	0.74	0.01	0.01017	0.42418		CN-UR
2015	0.74	0.75	0.01	0.0104	0.43458		CN-UR
2015	0.75	0.76	0.01	0.01063	0.44521		CN-UR
2015	0.76	0.77	0.01	0.01088	0.45609		CN-UR
2015	0.77	0.78	0.01	0.01114	0.46723		CN-UR
2015	0.78	0.79	0.01	0.01143	0.47866		CN-UR
2015	0.79	0.8	0.01	0.01173	0.49038		CN-UR
2015	0.8	0.81	0.01	0.01205	0.50243		CN-UR
2015	0.81	0.82	0.01	0.01239	0.51482		CN-UR
2015	0.82	0.83	0.01	0.01277	0.52759		CN-UR
2015	0.83	0.84	0.01	0.01318	0.54077		CN-UR
2015	0.84	0.85	0.01	0.01362	0.55439		CN-UR
2015	0.85	0.86	0.01	0.01411	0.56849		CN-UR
2015	0.86	0.87	0.01	0.01465	0.58314		CN-UR
2015	0.87	0.88	0.01	0.01526	0.5984		CN-UR
2015	0.88	0.89	0.01	0.01595	0.61434		CN-UR
2015	0.89	0.9	0.01	0.01674	0.63108		CN-UR
2015	0.9	0.91	0.01	0.01766	0.64874		CN-UR
2015	0.91	0.92	0.01	0.01876	0.6675		CN-UR
2015	0.92	0.93	0.01	0.02008	0.68759		CN-UR
2015	0.93	0.94	0.01	0.02171	0.70929		CN-UR
2015	0.94	0.95	0.01	0.02373	0.73303		CN-UR
2015	0.95	0.96	0.01	0.02632	0.75935		CN-UR
2015	0.96	0.97	0.01	0.0298	0.78915		CN-UR
2015	0.97	0.98	0.01	0.03483	0.82398		CN-UR
2015	0.98	0.99	0.01	0.04343	0.86741		CN-UR
2015	0.99	0.991	0.001	0.00518	0.87259		CN-UR
2015	0.991	0.992	0.001	0.00543	0.87802		CN-UR
2015	0.992	0.993	0.001	0.00574	0.88376		CN-UR
2015	0.993	0.994	0.001	0.0061	0.88986		CN-UR
2015	0.994	0.995	0.001	0.00652	0.89639		CN-UR
2015	0.995	0.996	0.001	0.00707	0.90346		CN-UR
2015	0.996	0.997	0.001	0.00792	0.91137		CN-UR
2015	0.997	0.998	0.001	0.00941	0.92078		CN-UR
2015	0.998	0.999	0.001	0.0128	0.93358		CN-UR
2015	0.999	0.9991	0.0001	0.00168	0.93526		CN-UR
2015	0.9991	0.9992	0.0001	0.00181	0.93707		CN-UR
2015	0.9992	0.9993	0.0001	0.00197	0.93905		CN-UR
