year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	0.00079	0.00079		CZ
2015	0.01	0.02	0.01	0.00237	0.00315		CZ
2015	0.02	0.03	0.01	0.00357	0.00673		CZ
2015	0.03	0.04	0.01	0.00377	0.0105		CZ
2015	0.04	0.05	0.01	0.00391	0.0144		CZ
2015	0.05	0.06	0.01	0.00404	0.01845		CZ
2015	0.06	0.07	0.01	0.00418	0.02263		CZ
2015	0.07	0.08	0.01	0.00432	0.02695		CZ
2015	0.08	0.09	0.01	0.00446	0.03141		CZ
2015	0.09	0.1	0.01	0.0046	0.03601		CZ
2015	0.1	0.11	0.01	0.00471	0.04072		CZ
2015	0.11	0.12	0.01	0.00481	0.04553		CZ
2015	0.12	0.13	0.01	0.00491	0.05044		CZ
2015	0.13	0.14	0.01	0.00501	0.05545		CZ
2015	0.14	0.15	0.01	0.00509	0.06054		CZ
2015	0.15	0.16	0.01	0.00515	0.06569		CZ
2015	0.16	0.17	0.01	0.0052	0.0709		CZ
2015	0.17	0.18	0.01	0.00526	0.07616		CZ
2015	0.18	0.19	0.01	0.00531	0.08147		CZ
2015	0.19	0.2	0.01	0.00537	0.08684		CZ
2015	0.2	0.21	0.01	0.00541	0.09225		CZ
2015	0.21	0.22	0.01	0.00546	0.09771		CZ
2015	0.22	0.23	0.01	0.00553	0.10324		CZ
2015	0.23	0.24	0.01	0.00561	0.10885		CZ
2015	0.24	0.25	0.01	0.00571	0.11456		CZ
2015	0.25	0.26	0.01	0.0058	0.12036		CZ
2015	0.26	0.27	0.01	0.00589	0.12625		CZ
2015	0.27	0.28	0.01	0.00597	0.13222		CZ
2015	0.28	0.29	0.01	0.00605	0.13827		CZ
2015	0.29	0.3	0.01	0.00612	0.14439		CZ
2015	0.3	0.31	0.01	0.00619	0.15058		CZ
2015	0.31	0.32	0.01	0.00625	0.15683		CZ
2015	0.32	0.33	0.01	0.00632	0.16315		CZ
2015	0.33	0.34	0.01	0.00639	0.16954		CZ
2015	0.34	0.35	0.01	0.00646	0.17601		CZ
2015	0.35	0.36	0.01	0.00654	0.18255		CZ
