year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	0.0001	0.0001		DE
2016	0.01	0.02	0.01	0.0008	0.0009		DE
2016	0.02	0.03	0.01	0.0013	0.0022		DE
2016	0.03	0.04	0.01	0.0014	0.0036		DE
2016	0.04	0.05	0.01	0.0016	0.0052		DE
2016	0.05	0.06	0.01	0.0018	0.007		DE
2016	0.06	0.07	0.01	0.002	0.009		DE
2016	0.07	0.08	0.01	0.0022	0.0112		DE
2016	0.08	0.09	0.01	0.0024	0.0136		DE
2016	0.09	0.1	0.01	0.0024	0.016		DE
2016	0.1	0.11	0.01	0.0027	0.0187		DE
2016	0.11	0.12	0.01	0.0029	0.0216		DE
2016	0.12	0.13	0.01	0.0031	0.0247		DE
2016	0.13	0.14	0.01	0.0032	0.0279		DE
2016	0.14	0.15	0.01	0.0034	0.0313		DE
2016	0.15	0.16	0.01	0.0035	0.0348		DE
2016	0.16	0.17	0.01	0.0036	0.0384		DE
2016	0.17	0.18	0.01	0.0037	0.0421		DE
2016	0.18	0.19	0.01	0.0038	0.0459		DE
2016	0.19	0.2	0.01	0.0038	0.0497		DE
2016	0.2	0.21	0.01	0.004	0.0537		DE
2016	0.21	0.22	0.01	0.0041	0.0578		DE
2016	0.22	0.23	0.01	0.0042	0.062		DE
2016	0.23	0.24	0.01	0.0043	0.0663		DE
2016	0.24	0.25	0.01	0.0044	0.0707		DE
2016	0.25	0.26	0.01	0.0045	0.0752		DE
2016	0.26	0.27	0.01	0.0046	0.0798		DE
2016	0.27	0.28	0.01	0.0047	0.0845		DE
2016	0.28	0.29	0.01	0.0048	0.0893		DE
2016	0.29	0.3	0.01	0.005	0.0943		DE
2016	0.3	0.31	0.01	0.005	0.0993		DE
2016	0.31	0.32	0.01	0.0051	0.1044		DE
2016	0.32	0.33	0.01	0.0052	0.1096		DE
2016	0.33	0.34	0.01	0.0053	0.1149		DE
2016	0.34	0.35	0.01	0.0054	0.1203		DE
2016	0.35	0.36	0.01	0.0055	0.1258		DE
2016	0.36	0.37	0.01	0.0055	0.1313		DE
2016	0.37	0.38	0.01	0.0056	0.1369		DE
2016	0.38	0.39	0.01	0.0057	0.1426		DE
2016	0.39	0.4	0.01	0.0059	0.1485		DE
2016	0.4	0.41	0.01	0.006	0.1545		DE
2016	0.41	0.42	0.01	0.0061	0.1606		DE
2016	0.42	0.43	0.01	0.0062	0.1668		DE
2016	0.43	0.44	0.01	0.0063	0.1731		DE
2016	0.44	0.45	0.01	0.0064	0.1795		DE
