year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	0.00101	0.00101		EG
2015	0.01	0.02	0.01	0.00169	0.0027		EG
2015	0.02	0.03	0.01	0.00195	0.00464		EG
2015	0.03	0.04	0.01	0.00206	0.00671		EG
2015	0.04	0.05	0.01	0.00214	0.00885		EG
2015	0.05	0.06	0.01	0.00227	0.01112		EG
2015	0.06	0.07	0.01	0.0024	0.01352		EG
2015	0.07	0.08	0.01	0.00249	0.01601		EG
2015	0.08	0.09	0.01	0.00257	0.01859		EG
2015	0.09	0.1	0.01	0.00266	0.02124		EG
2015	0.1	0.11	0.01	0.00274	0.02398		EG
2015	0.11	0.12	0.01	0.00281	0.02679		EG
2015	0.12	0.13	0.01	0.00288	0.02968		EG
2015	0.13	0.14	0.01	0.00295	0.03263		EG
2015	0.14	0.15	0.01	0.00302	0.03566		EG
2015	0.15	0.16	0.01	0.00309	0.03875		EG
2015	0.16	0.17	0.01	0.00316	0.04191		EG
2015	0.17	0.18	0.01	0.00322	0.04513		EG
2015	0.18	0.19	0.01	0.00329	0.04842		EG
2015	0.19	0.2	0.01	0.00335	0.05177		EG
2015	0.2	0.21	0.01	0.00341	0.05518		EG
2015	0.21	0.22	0.01	0.00348	0.05866		EG
2015	0.22	0.23	0.01	0.00354	0.06219		EG
2015	0.23	0.24	0.01	0.0036	0.06579		EG
2015	0.24	0.25	0.01	0.00366	0.06945		EG
2015	0.25	0.26	0.01	0.00372	0.07317		EG
2015	0.26	0.27	0.01	0.00379	0.07697		EG
2015	0.27	0.28	0.01	0.00386	0.08082		EG
2015	0.28	0.29	0.01	0.00392	0.08474		EG
2015	0.29	0.3	0.01	0.00398	0.08872		EG
2015	0.3	0.31	0.01	0.00404	0.09277		EG
2015	0.31	0.32	0.01	0.00411	0.09688		EG
2015	0.32	0.33	0.01	0.00417	0.10105		EG
2015	0.33	0.34	0.01	0.00424	0.10529		EG
2015	0.34	0.35	0.01	0.0043	0.10959		EG
2015	0.35	0.36	0.01	0.00437	0.11395		EG
2015	0.36	0.37	0.01	0.00443	0.11839		EG
2015	0.37	0.38	0.01	0.0045	0.12289		EG
2015	0.38	0.39	0.01	0.00457	0.12745		EG
2015	0.39	0.4	0.01	0.00463	0.13209		EG
2015	0.4	0.41	0.01	0.0047	0.13679		EG
2015	0.41	0.42	0.01	0.00477	0.14155		EG
2015	0.42	0.43	0.01	0.00484	0.14639		EG
2015	0.43	0.44	0.01	0.00491	0.15129		EG
2015	0.44	0.45	0.01	0.00498	0.15627		EG
2015	0.45	0.46	0.01	0.00505	0.16133		EG
2015	0.46	0.47	0.01	0.00513	0.16645		EG
2015	0.47	0.48	0.01	0.0052	0.17165		EG
2015	0.48	0.49	0.01	0.00528	0.17693		EG
2015	0.49	0.5	0.01	0.00535	0.18229		EG
2015	0.5	0.51	0.01	0.00543	0.18772		EG
2015	0.51	0.52	0.01	0.00551	0.19323		EG
2015	0.52	0.53	0.01	0.0056	0.19883		EG
2015	0.53	0.54	0.01	0.00568	0.20451		EG
2015	0.54	0.55	0.01	0.00577	0.21027		EG
2015	0.55	0.56	0.01	0.00585	0.21613		EG
2015	0.56	0.57	0.01	0.00594	0.22207		EG
2015	0.57	0.58	0.01	0.00603	0.22811		EG
2015	0.58	0.59	0.01	0.00613	0.23424		EG
