year	low	high	width	share	cumul	# sptinc992i	country
2014	0	0.01	0.01	0	0		FR
2014	0.01	0.02	0.01	0	0		FR
2014	0.02	0.03	0.01	0	0		FR
2014	0.03	0.04	0.01	0	0		FR
2014	0.04	0.05	0.01	0.00001	0.00002		FR
2014	0.05	0.06	0.01	0.00005	0.00006		FR
2014	0.06	0.07	0.01	0.00011	0.00018		FR
2014	0.07	0.08	0.01	0.00022	0.00039		FR
2014	0.08	0.09	0.01	0.00038	0.00078		FR
2014	0.09	0.1	0.01	0.0006	0.00137		FR
2014	0.1	0.11	0.01	0.00082	0.00219		FR
2014	0.11	0.12	0.01	0.00105	0.00324		FR
2014	0.12	0.13	0.01	0.00129	0.00454		FR
2014	0.13	0.14	0.01	0.00155	0.00609		FR
2014	0.14	0.15	0.01	0.00181	0.0079		FR
2014	0.15	0.16	0.01	0.00208	0.00998		FR
2014	0.16	0.17	0.01	0.00235	0.01234		FR
2014	0.17	0.18	0.01	0.00263	0.01497		FR
2014	0.18	0.19	0.01	0.0029	0.01786		FR
2014	0.19	0.2	0.01	0.00316	0.02102		FR
2014	0.2	0.21	0.01	0.00341	0.02443		FR
2014	0.21	0.22	0.01	0.00365	0.02808		FR
2014	0.22	0.23	0.01	0.00388	0.03196		FR
2014	0.23	0.24	0.01	0.0041	0.03606		FR
2014	0.24	0.25	0.01	0.00432	0.04038		FR
2014	0.25	0.26	0.01	0.00453	0.04491		FR
2014	0.26	0.27	0.01	0.00473	0.04964		FR
2014	0.27	0.28	0.01	0.00493	0.05457		FR
2014	0.28	0.29	0.01	0.00513	0.0597		FR
2014	0.29	0.3	0.01	0.00531	0.06501		FR
2014	0.3	0.31	0.01	0.00549	0.0705		FR
2014	0.31	0.32	0.01	0.00566	0.07616		FR
2014	0.32	0.33	0.01	0.00581	0.08197		FR
2014	0.33	0.34	0.01	0.00596	0.08793		FR
2014	0.34	0.35	0.01	0.00611	0.09404		FR
2014	0.35	0.36	0.01	0.00625	0.10028		FR
2014	0.36	0.37	0.01	0.00638	0.10666		FR
2014	0.37	0.38	0.01	0.00652	0.11318		FR
2014	0.38	0.39	0.01	0.00665	0.11984		FR
2014	0.39	0.4	0.01	0.00679	0.12662		FR
2014	0.4	0.41	0.01	0.00692	0.13354		FR
2014	0.41	0.42	0.01	0.00705	0.14059		FR
2014	0.42	0.43	0.01	0.00718	0.14776		FR
2014	0.43	0.44	0.01	0.0073	0.15507		FR
2014	0.44	0.45	0.01	0.00743	0.1625		FR
2014	0.45	0.46	0.01	0.00756	0.17006		FR
2014	0.46	0.47	0.01	0.00768	0.17774		FR
2014	0.47	0.48	0.01	0.00781	0.18555		FR
2014	0.48	0.49	0.01	0.00794	0.19348		FR
2014	0.49	0.5	0.01	0.00806	0.20155		FR
2014	0.5	0.51	0.01	0.00819	0.20974		FR
2014	0.51	0.52	0.01	0.00832	0.21805		FR
2014	0.52	0.53	0.01	0.00844	0.22649		FR
2014	0.53	0.54	0.01	0.00857	0.23506		FR
2014	0.54	0.55	0.01	0.0087	0.24376		FR
2014	0.55	0.56	0.01	0.00882	0.25258		FR
2014	0.56	0.57	0.01	0.00895	0.26153		FR
2014	0.57	0.58	0.01	0.00908	0.27062		FR
2014	0.58	0.59	0.01	0.00922	0.27983		FR
2014	0.59	0.6	0.01	0.00935	0.28919		FR
2014	0.6	0.61	0.01	0.00949	0.29868		FR
2014	0.61	0.62	0.01	0.00963	0.30831		FR
2014	0.62	0.63	0.01	0.00978	0.31808		FR
2014	0.63	0.64	0.01	0.00992	0.32801		FR
2014	0.64	0.65	0.01	0.01008	0.33808		FR
2014	0.65	0.66	0.01	0.01024	0.34832		FR
2014	0.66	0.67	0.01	0.01041	0.35873		FR
2014	0.67	0.68	0.01	0.01058	0.36931		FR
2014	0.68	0.69	0.01	0.01076	0.38007		FR
2014	0.69	0.7	0.01	0.01094	0.39101		FR
2014	0.7	0.71	0.01	0.01113	0.40215		FR
2014	0.71	0.72	0.01	0.01133	0.41347		FR
2014	0.72	0.73	0.01	0.01153	0.425		FR
2014	0.73	0.74	0.01	0.01173	0.43674		FR
2014	0.74	0.75	0.01	0.01195	0.44868		FR
2014	0.75	0.76	0.01	0.01217	0.46085		FR
2014	0.76	0.77	0.01	0.0124	0.47325		FR
2014	0.77	0.78	0.01	0.01264	0.4859		FR
2014	0.78	0.79	0.01	0.0129	0.4988		FR
2014	0.79	0.8	0.01	0.01317	0.51197		FR
2014	0.8	0.81	0.01	0.01347	0.52544		FR
2014	0.81	0.82	0.01	0.01378	0.53922		FR
2014	0.82	0.83	0.01	0.01412	0.55333		FR
2014	0.83	0.84	0.01	0.01448	0.56782		FR
2014	0.84	0.85	0.01	0.01488	0.5827		FR
2014	0.85	0.86	0.01	0.01531	0.59801		FR
2014	0.86	0.87	0.01	0.01578	0.61378		FR
2014	0.87	0.88	0.01	0.01629	0.63007		FR
