year	low	high	width	share	cumul	# sptinc992j	country
2013	0	0.01	0.01	0.00071	0.00071		IN
2013	0.01	0.02	0.01	0.00093	0.00163		IN
2013	0.02	0.03	0.01	0.00116	0.00279		IN
2013	0.03	0.04	0.01	0.00136	0.00415		IN
2013	0.04	0.05	0.01	0.00151	0.00566		IN
2013	0.05	0.06	0.01	0.00165	0.00731		IN
2013	0.06	0.07	0.01	0.00177	0.00907		IN
2013	0.07	0.08	0.01	0.00185	0.01093		IN
2013	0.08	0.09	0.01	0.00195	0.01288		IN
2013	0.09	0.1	0.01	0.00203	0.0149		IN
2013	0.1	0.11	0.01	0.0021	0.01701		IN
2013	0.11	0.12	0.01	0.00218	0.01918		IN
2013	0.12	0.13	0.01	0.00225	0.02144		IN
2013	0.13	0.14	0.01	0.00232	0.02376		IN
2013	0.14	0.15	0.01	0.00239	0.02615		IN
2013	0.15	0.16	0.01	0.00246	0.0286		IN
2013	0.16	0.17	0.01	0.00252	0.03113		IN
2013	0.17	0.18	0.01	0.0026	0.03372		IN
2013	0.18	0.19	0.01	0.00266	0.03639		IN
2013	0.19	0.2	0.01	0.00272	0.03911		IN
2013	0.2	0.21	0.01	0.00278	0.04189		IN
2013	0.21	0.22	0.01	0.00284	0.04473		IN
2013	0.22	0.23	0.01	0.0029	0.04764		IN
2013	0.23	0.24	0.01	0.00296	0.0506		IN
2013	0.24	0.25	0.01	0.00302	0.05363		IN
2013	0.25	0.26	0.01	0.00308	0.05671		IN
2013	0.26	0.27	0.01	0.00314	0.05985		IN
2013	0.27	0.28	0.01	0.00319	0.06304		IN
2013	0.28	0.29	0.01	0.00325	0.06629		IN
2013	0.29	0.3	0.01	0.00331	0.0696		IN
2013	0.3	0.31	0.01	0.00338	0.07298		IN
2013	0.31	0.32	0.01	0.00344	0.07642		IN
2013	0.32	0.33	0.01	0.0035	0.07992		IN
2013	0.33	0.34	0.01	0.00355	0.08347		IN
2013	0.34	0.35	0.01	0.00361	0.08708		IN
2013	0.35	0.36	0.01	0.00367	0.09075		IN
2013	0.36	0.37	0.01	0.00373	0.09448		IN
2013	0.37	0.38	0.01	0.00379	0.09827		IN
