year	low	high	width	share	cumul	# sptinc992j	country
2007	0	0.01	0.01	0.00017	0.00017		IQ
2007	0.01	0.02	0.01	0.00072	0.00089		IQ
2007	0.02	0.03	0.01	0.00106	0.00195		IQ
2007	0.03	0.04	0.01	0.00123	0.00318		IQ
2007	0.04	0.05	0.01	0.00136	0.00454		IQ
2007	0.05	0.06	0.01	0.0015	0.00604		IQ
2007	0.06	0.07	0.01	0.00164	0.00769		IQ
2007	0.07	0.08	0.01	0.00177	0.00946		IQ
2007	0.08	0.09	0.01	0.00188	0.01133		IQ
2007	0.09	0.1	0.01	0.00197	0.01331		IQ
2007	0.1	0.11	0.01	0.00207	0.01538		IQ
2007	0.11	0.12	0.01	0.00216	0.01753		IQ
2007	0.12	0.13	0.01	0.00222	0.01976		IQ
2007	0.13	0.14	0.01	0.00229	0.02205		IQ
2007	0.14	0.15	0.01	0.00238	0.02443		IQ
2007	0.15	0.16	0.01	0.00247	0.0269		IQ
2007	0.16	0.17	0.01	0.00255	0.02944		IQ
2007	0.17	0.18	0.01	0.00262	0.03207		IQ
2007	0.18	0.19	0.01	0.0027	0.03477		IQ
2007	0.19	0.2	0.01	0.00278	0.03755		IQ
2007	0.2	0.21	0.01	0.00283	0.04037		IQ
2007	0.21	0.22	0.01	0.00288	0.04325		IQ
2007	0.22	0.23	0.01	0.00294	0.04619		IQ
2007	0.23	0.24	0.01	0.003	0.04919		IQ
2007	0.24	0.25	0.01	0.00307	0.05226		IQ
2007	0.25	0.26	0.01	0.00313	0.05539		IQ
2007	0.26	0.27	0.01	0.0032	0.05859		IQ
2007	0.27	0.28	0.01	0.00327	0.06186		IQ
2007	0.28	0.29	0.01	0.00334	0.06519		IQ
2007	0.29	0.3	0.01	0.0034	0.0686		IQ
2007	0.3	0.31	0.01	0.00347	0.07207		IQ
2007	0.31	0.32	0.01	0.00354	0.07561		IQ
2007	0.32	0.33	0.01	0.0036	0.07921		IQ
2007	0.33	0.34	0.01	0.00367	0.08287		IQ
2007	0.34	0.35	0.01	0.00374	0.08661		IQ
2007	0.35	0.36	0.01	0.00381	0.09042		IQ
2007	0.36	0.37	0.01	0.00388	0.09429		IQ
2007	0.37	0.38	0.01	0.00395	0.09824		IQ
2007	0.38	0.39	0.01	0.00402	0.10226		IQ
2007	0.39	0.4	0.01	0.00409	0.10635		IQ
2007	0.4	0.41	0.01	0.00417	0.11052		IQ
2007	0.41	0.42	0.01	0.00425	0.11478		IQ
2007	0.42	0.43	0.01	0.00434	0.11911		IQ
2007	0.43	0.44	0.01	0.00442	0.12353		IQ
2007	0.44	0.45	0.01	0.0045	0.12802		IQ
