year	low	high	width	share	cumul	# sptinc992j	country
2013	0	0.01	0.01	0.0006	0.0006		IR
2013	0.01	0.02	0.01	0.00115	0.00175		IR
2013	0.02	0.03	0.01	0.00134	0.00308		IR
2013	0.03	0.04	0.01	0.00152	0.00461		IR
2013	0.04	0.05	0.01	0.00168	0.00628		IR
2013	0.05	0.06	0.01	0.00181	0.00809		IR
2013	0.06	0.07	0.01	0.00192	0.01001		IR
2013	0.07	0.08	0.01	0.00203	0.01204		IR
2013	0.08	0.09	0.01	0.00211	0.01415		IR
2013	0.09	0.1	0.01	0.00217	0.01632		IR
2013	0.1	0.11	0.01	0.00226	0.01858		IR
2013	0.11	0.12	0.01	0.00235	0.02093		IR
2013	0.12	0.13	0.01	0.00244	0.02337		IR
2013	0.13	0.14	0.01	0.00253	0.0259		IR
2013	0.14	0.15	0.01	0.00262	0.02852		IR
2013	0.15	0.16	0.01	0.00269	0.03121		IR
2013	0.16	0.17	0.01	0.00276	0.03397		IR
2013	0.17	0.18	0.01	0.00284	0.03681		IR
2013	0.18	0.19	0.01	0.00292	0.03973		IR
2013	0.19	0.2	0.01	0.00299	0.04272		IR
2013	0.2	0.21	0.01	0.00307	0.04579		IR
2013	0.21	0.22	0.01	0.00314	0.04893		IR
2013	0.22	0.23	0.01	0.00321	0.05214		IR
2013	0.23	0.24	0.01	0.00329	0.05543		IR
2013	0.24	0.25	0.01	0.00337	0.0588		IR
2013	0.25	0.26	0.01	0.00344	0.06224		IR
2013	0.26	0.27	0.01	0.00352	0.06576		IR
2013	0.27	0.28	0.01	0.00359	0.06935		IR
2013	0.28	0.29	0.01	0.00366	0.07302		IR
2013	0.29	0.3	0.01	0.00374	0.07675		IR
2013	0.3	0.31	0.01	0.00381	0.08056		IR
2013	0.31	0.32	0.01	0.00388	0.08445		IR
2013	0.32	0.33	0.01	0.00396	0.0884		IR
2013	0.33	0.34	0.01	0.00403	0.09243		IR
2013	0.34	0.35	0.01	0.0041	0.09653		IR
2013	0.35	0.36	0.01	0.00418	0.10071		IR
2013	0.36	0.37	0.01	0.00426	0.10497		IR
2013	0.37	0.38	0.01	0.00434	0.10931		IR
2013	0.38	0.39	0.01	0.00442	0.11373		IR
2013	0.39	0.4	0.01	0.0045	0.11822		IR
2013	0.4	0.41	0.01	0.00458	0.1228		IR
2013	0.41	0.42	0.01	0.00466	0.12746		IR
2013	0.42	0.43	0.01	0.00474	0.13221		IR
2013	0.43	0.44	0.01	0.00482	0.13703		IR
2013	0.44	0.45	0.01	0.00491	0.14194		IR
2013	0.45	0.46	0.01	0.005	0.14694		IR
2013	0.46	0.47	0.01	0.00508	0.15202		IR
2013	0.47	0.48	0.01	0.00517	0.15719		IR
2013	0.48	0.49	0.01	0.00526	0.16244		IR
2013	0.49	0.5	0.01	0.00535	0.16779		IR
2013	0.5	0.51	0.01	0.00543	0.17322		IR
2013	0.51	0.52	0.01	0.00553	0.17875		IR
2013	0.52	0.53	0.01	0.00562	0.18437		IR
2013	0.53	0.54	0.01	0.00571	0.19008		IR
2013	0.54	0.55	0.01	0.00581	0.1959		IR
2013	0.55	0.56	0.01	0.00591	0.20181		IR
2013	0.56	0.57	0.01	0.00602	0.20783		IR
2013	0.57	0.58	0.01	0.00612	0.21395		IR
2013	0.58	0.59	0.01	0.00623	0.22017		IR
2013	0.59	0.6	0.01	0.00633	0.22651		IR
2013	0.6	0.61	0.01	0.00644	0.23295		IR
2013	0.61	0.62	0.01	0.00655	0.2395		IR
2013	0.62	0.63	0.01	0.00667	0.24617		IR
2013	0.63	0.64	0.01	0.00679	0.25296		IR
2013	0.64	0.65	0.01	0.00691	0.25988		IR
2013	0.65	0.66	0.01	0.00704	0.26692		IR
2013	0.66	0.67	0.01	0.00717	0.27409		IR
2013	0.67	0.68	0.01	0.00731	0.2814		IR
2013	0.68	0.69	0.01	0.00745	0.28885		IR
2013	0.69	0.7	0.01	0.00759	0.29645		IR
2013	0.7	0.71	0.01	0.00774	0.30419		IR
2013	0.71	0.72	0.01	0.00789	0.31208		IR
2013	0.72	0.73	0.01	0.00805	0.32013		IR
2013	0.73	0.74	0.01	0.00821	0.32834		IR
2013	0.74	0.75	0.01	0.00838	0.33672		IR
2013	0.75	0.76	0.01	0.00856	0.34529		IR
2013	0.76	0.77	0.01	0.00875	0.35404		IR
2013	0.77	0.78	0.01	0.00896	0.363		IR
