year	low	high	width	share	cumul	# sptinc992j	country
2013	0	0.01	0.01	0.00053	0.00053		JO
2013	0.01	0.02	0.01	0.00113	0.00166		JO
2013	0.02	0.03	0.01	0.00145	0.00311		JO
2013	0.03	0.04	0.01	0.00159	0.00469		JO
2013	0.04	0.05	0.01	0.00168	0.00637		JO
2013	0.05	0.06	0.01	0.00181	0.00818		JO
2013	0.06	0.07	0.01	0.00195	0.01013		JO
2013	0.07	0.08	0.01	0.00206	0.01219		JO
2013	0.08	0.09	0.01	0.00215	0.01434		JO
2013	0.09	0.1	0.01	0.00224	0.01658		JO
2013	0.1	0.11	0.01	0.00232	0.0189		JO
2013	0.11	0.12	0.01	0.0024	0.0213		JO
2013	0.12	0.13	0.01	0.0025	0.0238		JO
2013	0.13	0.14	0.01	0.0026	0.02641		JO
2013	0.14	0.15	0.01	0.0027	0.02911		JO
2013	0.15	0.16	0.01	0.00278	0.03189		JO
2013	0.16	0.17	0.01	0.00285	0.03474		JO
2013	0.17	0.18	0.01	0.00293	0.03767		JO
2013	0.18	0.19	0.01	0.00302	0.04069		JO
2013	0.19	0.2	0.01	0.00309	0.04377		JO
2013	0.2	0.21	0.01	0.00315	0.04692		JO
2013	0.21	0.22	0.01	0.00321	0.05013		JO
2013	0.22	0.23	0.01	0.0033	0.05343		JO
2013	0.23	0.24	0.01	0.00337	0.0568		JO
2013	0.24	0.25	0.01	0.00344	0.06025		JO
2013	0.25	0.26	0.01	0.00351	0.06375		JO
2013	0.26	0.27	0.01	0.00358	0.06733		JO
2013	0.27	0.28	0.01	0.00365	0.07099		JO
2013	0.28	0.29	0.01	0.00373	0.07472		JO
2013	0.29	0.3	0.01	0.00382	0.07854		JO
2013	0.3	0.31	0.01	0.0039	0.08244		JO
2013	0.31	0.32	0.01	0.00398	0.08642		JO
2013	0.32	0.33	0.01	0.00406	0.09048		JO
2013	0.33	0.34	0.01	0.00414	0.09462		JO
2013	0.34	0.35	0.01	0.00422	0.09884		JO
2013	0.35	0.36	0.01	0.0043	0.10314		JO
2013	0.36	0.37	0.01	0.00437	0.10751		JO
2013	0.37	0.38	0.01	0.00445	0.11196		JO
2013	0.38	0.39	0.01	0.00454	0.1165		JO
2013	0.39	0.4	0.01	0.00463	0.12113		JO
2013	0.4	0.41	0.01	0.00471	0.12584		JO
2013	0.41	0.42	0.01	0.0048	0.13064		JO
2013	0.42	0.43	0.01	0.00489	0.13553		JO
2013	0.43	0.44	0.01	0.00498	0.14051		JO
2013	0.44	0.45	0.01	0.00507	0.14558		JO
2013	0.45	0.46	0.01	0.00516	0.15073		JO
2013	0.46	0.47	0.01	0.00525	0.15598		JO
2013	0.47	0.48	0.01	0.00533	0.16131		JO
2013	0.48	0.49	0.01	0.00542	0.16673		JO
2013	0.49	0.5	0.01	0.0055	0.17223		JO
2013	0.5	0.51	0.01	0.00559	0.17782		JO
2013	0.51	0.52	0.01	0.00568	0.18351		JO
2013	0.52	0.53	0.01	0.00577	0.18928		JO
2013	0.53	0.54	0.01	0.00587	0.19515		JO
2013	0.54	0.55	0.01	0.00597	0.20112		JO
2013	0.55	0.56	0.01	0.00607	0.20719		JO
2013	0.56	0.57	0.01	0.00617	0.21336		JO
2013	0.57	0.58	0.01	0.00627	0.21963		JO
2013	0.58	0.59	0.01	0.00637	0.226		JO
2013	0.59	0.6	0.01	0.00647	0.23247		JO
2013	0.6	0.61	0.01	0.00657	0.23904		JO
2013	0.61	0.62	0.01	0.00667	0.24572		JO
2013	0.62	0.63	0.01	0.00678	0.25249		JO
2013	0.63	0.64	0.01	0.00689	0.25938		JO
2013	0.64	0.65	0.01	0.007	0.26638		JO
2013	0.65	0.66	0.01	0.00712	0.2735		JO
2013	0.66	0.67	0.01	0.00724	0.28074		JO
2013	0.67	0.68	0.01	0.00736	0.2881		JO
2013	0.68	0.69	0.01	0.00749	0.29559		JO
2013	0.69	0.7	0.01	0.00762	0.3032		JO
2013	0.7	0.71	0.01	0.00775	0.31095		JO
2013	0.71	0.72	0.01	0.0079	0.31885		JO
2013	0.72	0.73	0.01	0.00805	0.3269		JO
2013	0.73	0.74	0.01	0.00821	0.33511		JO
2013	0.74	0.75	0.01	0.00839	0.3435		JO
2013	0.75	0.76	0.01	0.00858	0.35208		JO
2013	0.76	0.77	0.01	0.0088	0.36088		JO
2013	0.77	0.78	0.01	0.00904	0.36991		JO
2013	0.78	0.79	0.01	0.00932	0.37923		JO
2013	0.79	0.8	0.01	0.00965	0.38888		JO
2013	0.8	0.81	0.01	0.01004	0.39892		JO
2013	0.81	0.82	0.01	0.01051	0.40943		JO
2013	0.82	0.83	0.01	0.01104	0.42047		JO
2013	0.83	0.84	0.01	0.01167	0.43214		JO
2013	0.84	0.85	0.01	0.01245	0.44459		JO
2013	0.85	0.86	0.01	0.01339	0.45798		JO
2013	0.86	0.87	0.01	0.0145	0.47248		JO
2013	0.87	0.88	0.01	0.01575	0.48824		JO
2013	0.88	0.89	0.01	0.01724	0.50548		JO
2013	0.89	0.9	0.01	0.01898	0.52446		JO
2013	0.9	0.91	0.01	0.02087	0.54533		JO
2013	0.91	0.92	0.01	0.02294	0.56827		JO
2013	0.92	0.93	0.01	0.02536	0.59363		JO
2013	0.93	0.94	0.01	0.0282	0.62183		JO
2013	0.94	0.95	0.01	0.03132	0.65315		JO
2013	0.95	0.96	0.01	0.03479	0.68794		JO
2013	0.96	0.97	0.01	0.03995	0.7279		JO
2013	0.97	0.98	0.01	0.04919	0.77709		JO
2013	0.98	0.99	0.01	0.06193	0.83901		JO
2013	0.99	0.991	0.001	0.00725	0.84626		JO
2013	0.991	0.992	0.001	0.00755	0.85381		JO
2013	0.992	0.993	0.001	0.00793	0.86175		JO
2013	0.993	0.994	0.001	0.00838	0.87013		JO
2013	0.994	0.995	0.001	0.00898	0.87911		JO
2013	0.995	0.996	0.001	0.00978	0.88889		JO
2013	0.996	0.997	0.001	0.01097	0.89987		JO
2013	0.997	0.998	0.001	0.01295	0.91281		JO
2013	0.998	0.999	0.001	0.01719	0.93		JO
2013	0.999	0.9991	0.0001	0.0022	0.9322		JO
2013	0.9991	0.9992	0.0001	0.00235	0.93455		JO
2013	0.9992	0.9993	0.0001	0.00254	0.93709		JO
2013	0.9993	0.9994	0.0001	0.00278	0.93987		JO
2013	0.9994	0.9995	0.0001	0.0031	0.94297		JO
2013	0.9995	0.9996	0.0001	0.00353	0.9465		JO
2013	0.9996	0.9997	0.0001	0.00418	0.95068		JO
2013	0.9997	0.9998	0.0001	0.00529	0.95597		JO
2013	0.9998	0.9999	0.0001	0.00771	0.96368		JO
2013	0.9999	0.99991	0.00001	0.00105	0.96473		JO
2013	0.99991	0.99992	0.00001	0.00114	0.96586		JO
2013	0.99992	0.99993	0.00001	0.00124	0.96711		JO
2013	0.99993	0.99994	0.00001	0.00138	0.96849		JO
2013	0.99994	0.99995	0.00001	0.00156	0.97005		JO
2013	0.99995	0.99996	0.00001	0.00181	0.97187		JO
2013	0.99996	0.99997	0.00001	0.00219	0.97405		JO
2013	0.99997	0.99998	0.00001	0.00281	0.97686		JO
2013	0.99998	0.99999	0.00001	0.00414	0.981		JO
2013	0.99999	1	0.00001	0.019	1		JO
2010	0	0.01	0.01	0.0008	0.0008		JO
2010	0.01	0.02	0.01	0.00131	0.00211		JO
2010	0.02	0.03	0.01	0.00158	0.00369		JO
2010	0.03	0.04	0.01	0.0017	0.00538		JO
2010	0.04	0.05	0.01	0.00176	0.00714		JO
2010	0.05	0.06	0.01	0.00184	0.00898		JO
2010	0.06	0.07	0.01	0.00194	0.01092		JO
2010	0.07	0.08	0.01	0.00203	0.01295		JO
2010	0.08	0.09	0.01	0.00211	0.01506		JO
2010	0.09	0.1	0.01	0.00219	0.01725		JO
2010	0.1	0.11	0.01	0.00228	0.01953		JO
2010	0.11	0.12	0.01	0.00238	0.02191		JO
2010	0.12	0.13	0.01	0.00247	0.02438		JO
2010	0.13	0.14	0.01	0.00256	0.02694		JO
2010	0.14	0.15	0.01	0.00264	0.02958		JO
