year	low	high	width	share	cumul	# sptinc992i	country
2016	0	0.9	0.9	0.5668	0.5668		KR
2016	0.9	0.95	0.05	0.1405	0.7073		KR
2016	0.95	0.99	0.04	0.1711	0.8784		KR
2016	0.99	0.995	0.005	0.034	0.9124		KR
2016	0.995	0.999	0.004	0.0446	0.957		KR
2016	0.999	0.9995	0.0005	0.0112	0.9682		KR
2016	0.9995	0.9999	0.0004	0.0159	0.9841		KR
2016	0.9999	1	0.0001	0.0159	1		KR
2015	0	0.9	0.9	0.5687	0.5687		KR
2015	0.9	0.95	0.05	0.1395	0.7082		KR
2015	0.95	0.99	0.04	0.171	0.8792		KR
2015	0.99	0.995	0.005	0.0338	0.913		KR
2015	0.995	0.999	0.004	0.0439	0.9569		KR
2015	0.999	0.9995	0.0005	0.011	0.9679		KR
2015	0.9995	0.9999	0.0004	0.0156	0.9835		KR
2015	0.9999	1	0.0001	0.0165	1		KR
2014	0	0.9	0.9	0.5731	0.5731		KR
2014	0.9	0.95	0.05	0.1386	0.7117		KR
2014	0.95	0.99	0.04	0.1705	0.8822		KR
2014	0.99	0.995	0.005	0.0335	0.9157		KR
2014	0.995	0.999	0.004	0.043	0.9587		KR
2014	0.999	0.9995	0.0005	0.0107	0.9694		KR
2014	0.9995	0.9999	0.0004	0.0152	0.9846		KR
2014	0.9999	1	0.0001	0.0154	1		KR
2013	0	0.9	0.9	0.5745	0.5745		KR
2013	0.9	0.95	0.05	0.139	0.7135		KR
2013	0.95	0.99	0.04	0.1702	0.8837		KR
2013	0.99	0.995	0.005	0.0333	0.917		KR
2013	0.995	0.999	0.004	0.0422	0.9592		KR
2013	0.999	0.9995	0.0005	0.0104	0.9696		KR
2013	0.9995	0.9999	0.0004	0.015	0.9846		KR
2013	0.9999	1	0.0001	0.0154	1		KR
2012	0	0.9	0.9	0.5726	0.5726		KR
2012	0.9	0.95	0.05	0.1389	0.7115		KR
2012	0.95	0.99	0.04	0.1711	0.8826		KR
2012	0.99	0.995	0.005	0.0335	0.9161		KR
2012	0.995	0.999	0.004	0.0421	0.9582		KR
2012	0.999	0.9995	0.0005	0.0105	0.9687		KR
2012	0.9995	0.9999	0.0004	0.0153	0.984		KR
2012	0.9999	1	0.0001	0.016	1		KR
2011	0	0.9	0.9	0.5687	0.5687		KR
2011	0.9	0.95	0.05	0.1388	0.7075		KR
2011	0.95	0.99	0.04	0.1723	0.8798		KR
2011	0.99	0.995	0.005	0.034	0.9138		KR
2011	0.995	0.999	0.004	0.0428	0.9566		KR
2011	0.999	0.9995	0.0005	0.0108	0.9674		KR
2011	0.9995	0.9999	0.0004	0.016	0.9834		KR
2011	0.9999	1	0.0001	0.0166	1		KR
2010	0	0.9	0.9	0.5697	0.5697		KR
2010	0.9	0.95	0.05	0.1396	0.7093		KR
2010	0.95	0.99	0.04	0.1733	0.8826		KR
2010	0.99	0.995	0.005	0.0339	0.9165		KR
2010	0.995	0.999	0.004	0.0418	0.9583		KR
2010	0.999	0.9995	0.0005	0.0102	0.9685		KR
2010	0.9995	0.9999	0.0004	0.0149	0.9834		KR
2010	0.9999	1	0.0001	0.0166	1		KR
2009	0	0.9	0.9	0.5753	0.5753		KR
2009	0.9	0.95	0.05	0.1395	0.7148		KR
2009	0.95	0.99	0.04	0.1721	0.8869		KR
2009	0.99	0.995	0.005	0.033	0.9199		KR
2009	0.995	0.999	0.004	0.0405	0.9604		KR
2009	0.999	0.9995	0.0005	0.0097	0.9701		KR
2009	0.9995	0.9999	0.0004	0.0142	0.9843		KR
2009	0.9999	1	0.0001	0.0157	1		KR
2008	0	0.9	0.9	0.5713	0.5713		KR
2008	0.9	0.95	0.05	0.1408	0.7121		KR
2008	0.95	0.99	0.04	0.1741	0.8862		KR
2008	0.99	0.995	0.005	0.0334	0.9196		KR
2008	0.995	0.999	0.004	0.0404	0.96		KR
2008	0.999	0.9995	0.0005	0.0097	0.9697		KR
2008	0.9995	0.9999	0.0004	0.0145	0.9842		KR
2008	0.9999	1	0.0001	0.0158	1		KR
2007	0	0.9	0.9	0.5765	0.5765		KR
2007	0.9	0.95	0.05	0.1389	0.7154		KR
2007	0.95	0.99	0.04	0.1717	0.8871		KR
2007	0.99	0.995	0.005	0.0331	0.9202		KR
2007	0.995	0.999	0.004	0.0399	0.9601		KR
2007	0.999	0.9995	0.0005	0.0095	0.9696		KR
2007	0.9995	0.9999	0.0004	0.0144	0.984		KR
2007	0.9999	1	0.0001	0.016	1		KR
2006	0	0.9	0.9	0.5817	0.5817		KR
2006	0.9	0.95	0.05	0.1376	0.7193		KR
2006	0.95	0.99	0.04	0.1743	0.8936		KR
2006	0.99	0.995	0.005	0.0326	0.9262		KR
2006	0.995	0.999	0.004	0.0379	0.9641		KR
2006	0.999	0.9995	0.0005	0.0088	0.9729		KR
2006	0.9995	0.9999	0.0004	0.0129	0.9858		KR
2006	0.9999	1	0.0001	0.0142	1		KR
2005	0	0.9	0.9	0.629	0.629		KR
2005	0.9	0.95	0.05	0.1198	0.7488		KR
2005	0.95	0.99	0.04	0.1552	0.904		KR
2005	0.99	0.995	0.005	0.0291	0.9331		KR
2005	0.995	0.999	0.004	0.0343	0.9674		KR
2005	0.999	0.9995	0.0005	0.0081	0.9755		KR
2005	0.9995	0.9999	0.0004	0.0116	0.9871		KR
