year	low	high	width	share	cumul	# sptinc992j	country
2013	0	0.01	0.01	0.00032	0.00032		KW
2013	0.01	0.02	0.01	0.00111	0.00143		KW
2013	0.02	0.03	0.01	0.00143	0.00286		KW
2013	0.03	0.04	0.01	0.00155	0.00441		KW
2013	0.04	0.05	0.01	0.00161	0.00601		KW
2013	0.05	0.06	0.01	0.00165	0.00767		KW
2013	0.06	0.07	0.01	0.00169	0.00936		KW
2013	0.07	0.08	0.01	0.00173	0.01109		KW
2013	0.08	0.09	0.01	0.00177	0.01286		KW
2013	0.09	0.1	0.01	0.00181	0.01467		KW
2013	0.1	0.11	0.01	0.00184	0.01652		KW
2013	0.11	0.12	0.01	0.00188	0.0184		KW
2013	0.12	0.13	0.01	0.00191	0.02031		KW
2013	0.13	0.14	0.01	0.00196	0.02227		KW
2013	0.14	0.15	0.01	0.00201	0.02427		KW
2013	0.15	0.16	0.01	0.00208	0.02635		KW
2013	0.16	0.17	0.01	0.00217	0.02852		KW
2013	0.17	0.18	0.01	0.00228	0.0308		KW
2013	0.18	0.19	0.01	0.00239	0.0332		KW
2013	0.19	0.2	0.01	0.00251	0.03571		KW
2013	0.2	0.21	0.01	0.00263	0.03834		KW
2013	0.21	0.22	0.01	0.00272	0.04106		KW
2013	0.22	0.23	0.01	0.00279	0.04385		KW
2013	0.23	0.24	0.01	0.00283	0.04668		KW
2013	0.24	0.25	0.01	0.00287	0.04955		KW
2013	0.25	0.26	0.01	0.0029	0.05246		KW
2013	0.26	0.27	0.01	0.00294	0.05539		KW
2013	0.27	0.28	0.01	0.00296	0.05836		KW
2013	0.28	0.29	0.01	0.00299	0.06135		KW
2013	0.29	0.3	0.01	0.00301	0.06436		KW
2013	0.3	0.31	0.01	0.00304	0.0674		KW
2013	0.31	0.32	0.01	0.00307	0.07047		KW
2013	0.32	0.33	0.01	0.00309	0.07356		KW
2013	0.33	0.34	0.01	0.00312	0.07668		KW
2013	0.34	0.35	0.01	0.00314	0.07982		KW
2013	0.35	0.36	0.01	0.00317	0.08299		KW
2013	0.36	0.37	0.01	0.0032	0.08619		KW
2013	0.37	0.38	0.01	0.00324	0.08943		KW
2013	0.38	0.39	0.01	0.00328	0.09272		KW
2013	0.39	0.4	0.01	0.00332	0.09604		KW
2013	0.4	0.41	0.01	0.00337	0.0994		KW
2013	0.41	0.42	0.01	0.00341	0.10281		KW
2013	0.42	0.43	0.01	0.00345	0.10626		KW
2013	0.43	0.44	0.01	0.00349	0.10975		KW
2013	0.44	0.45	0.01	0.00353	0.11328		KW
2013	0.45	0.46	0.01	0.00357	0.11686		KW
2013	0.46	0.47	0.01	0.00361	0.12047		KW
2013	0.47	0.48	0.01	0.00366	0.12412		KW
2013	0.48	0.49	0.01	0.0037	0.12782		KW
2013	0.49	0.5	0.01	0.00374	0.13156		KW
2013	0.5	0.51	0.01	0.00379	0.13535		KW
2013	0.51	0.52	0.01	0.00384	0.13919		KW
2013	0.52	0.53	0.01	0.0039	0.14309		KW
2013	0.53	0.54	0.01	0.00395	0.14704		KW
2013	0.54	0.55	0.01	0.00401	0.15105		KW
2013	0.55	0.56	0.01	0.00407	0.15512		KW
2013	0.56	0.57	0.01	0.00413	0.15924		KW
2013	0.57	0.58	0.01	0.00419	0.16343		KW
2013	0.58	0.59	0.01	0.00427	0.1677		KW
2013	0.59	0.6	0.01	0.00434	0.17204		KW
2013	0.6	0.61	0.01	0.00442	0.17646		KW
2013	0.61	0.62	0.01	0.00451	0.18097		KW
2013	0.62	0.63	0.01	0.0046	0.18557		KW
2013	0.63	0.64	0.01	0.00471	0.19027		KW
2013	0.64	0.65	0.01	0.00483	0.1951		KW
2013	0.65	0.66	0.01	0.00497	0.20007		KW
2013	0.66	0.67	0.01	0.00512	0.20519		KW
2013	0.67	0.68	0.01	0.00531	0.21049		KW
2013	0.68	0.69	0.01	0.00553	0.21602		KW
2013	0.69	0.7	0.01	0.00577	0.22179		KW
2013	0.7	0.71	0.01	0.00605	0.22785		KW
2013	0.71	0.72	0.01	0.00637	0.23422		KW
2013	0.72	0.73	0.01	0.00672	0.24094		KW
2013	0.73	0.74	0.01	0.00709	0.24803		KW
2013	0.74	0.75	0.01	0.00751	0.25555		KW
2013	0.75	0.76	0.01	0.00803	0.26357		KW
2013	0.76	0.77	0.01	0.00869	0.27226		KW
2013	0.77	0.78	0.01	0.00949	0.28175		KW
2013	0.78	0.79	0.01	0.01022	0.29197		KW
2013	0.79	0.8	0.01	0.01081	0.30279		KW
2013	0.8	0.81	0.01	0.01132	0.3141		KW
2013	0.81	0.82	0.01	0.01181	0.32592		KW
2013	0.82	0.83	0.01	0.01234	0.33826		KW
2013	0.83	0.84	0.01	0.01296	0.35122		KW
2013	0.84	0.85	0.01	0.01377	0.36498		KW
2013	0.85	0.86	0.01	0.01497	0.37995		KW
2013	0.86	0.87	0.01	0.01664	0.3966		KW
2013	0.87	0.88	0.01	0.01836	0.41495		KW
2013	0.88	0.89	0.01	0.02025	0.4352		KW
2013	0.89	0.9	0.01	0.02246	0.45766		KW
2013	0.9	0.91	0.01	0.02493	0.48259		KW
2013	0.91	0.92	0.01	0.02741	0.50999		KW
2013	0.92	0.93	0.01	0.03017	0.54017		KW
2013	0.93	0.94	0.01	0.03351	0.57368		KW
2013	0.94	0.95	0.01	0.03728	0.61097		KW
2013	0.95	0.96	0.01	0.04161	0.65258		KW
2013	0.96	0.97	0.01	0.04707	0.69965		KW
2013	0.97	0.98	0.01	0.05489	0.75454		KW
2013	0.98	0.99	0.01	0.06856	0.82309		KW
2013	0.99	0.991	0.001	0.00818	0.83127		KW
2013	0.991	0.992	0.001	0.00855	0.83982		KW
2013	0.992	0.993	0.001	0.00902	0.84884		KW
2013	0.993	0.994	0.001	0.00958	0.85842		KW
2013	0.994	0.995	0.001	0.01031	0.86873		KW
2013	0.995	0.996	0.001	0.01129	0.88001		KW
2013	0.996	0.997	0.001	0.01272	0.89273		KW
2013	0.997	0.998	0.001	0.01508	0.90782		KW
2013	0.998	0.999	0.001	0.02001	0.92783		KW
2013	0.999	0.9991	0.0001	0.00254	0.93037		KW
2013	0.9991	0.9992	0.0001	0.00271	0.93307		KW
2013	0.9992	0.9993	0.0001	0.00292	0.93599		KW
2013	0.9993	0.9994	0.0001	0.00317	0.93916		KW
2013	0.9994	0.9995	0.0001	0.0035	0.94266		KW
2013	0.9995	0.9996	0.0001	0.00396	0.94662		KW
2013	0.9996	0.9997	0.0001	0.00465	0.95127		KW
2013	0.9997	0.9998	0.0001	0.00579	0.95706		KW
2013	0.9998	0.9999	0.0001	0.00825	0.96531		KW
2013	0.9999	0.99991	0.00001	0.0011	0.9664		KW
