year	low	high	width	share	cumul	# sptinc992j	country
2014	0	0.01	0.01	-0.00048	-0.00048		LB
2014	0.01	0.02	0.01	-0.00007	-0.00056		LB
2014	0.02	0.03	0.01	0.00006	-0.0005		LB
2014	0.03	0.04	0.01	0.0002	-0.0003		LB
2014	0.04	0.05	0.01	0.00039	0.00009		LB
2014	0.05	0.06	0.01	0.00061	0.00071		LB
2014	0.06	0.07	0.01	0.00076	0.00147		LB
2014	0.07	0.08	0.01	0.00088	0.00234		LB
2014	0.08	0.09	0.01	0.00099	0.00333		LB
2014	0.09	0.1	0.01	0.0011	0.00443		LB
2014	0.1	0.11	0.01	0.00121	0.00564		LB
2014	0.11	0.12	0.01	0.0013	0.00694		LB
2014	0.12	0.13	0.01	0.00139	0.00833		LB
2014	0.13	0.14	0.01	0.00146	0.0098		LB
2014	0.14	0.15	0.01	0.00153	0.01133		LB
2014	0.15	0.16	0.01	0.00159	0.01292		LB
2014	0.16	0.17	0.01	0.00165	0.01456		LB
2014	0.17	0.18	0.01	0.0017	0.01626		LB
2014	0.18	0.19	0.01	0.00176	0.01802		LB
2014	0.19	0.2	0.01	0.00181	0.01983		LB
2014	0.2	0.21	0.01	0.00187	0.02171		LB
2014	0.21	0.22	0.01	0.00194	0.02365		LB
2014	0.22	0.23	0.01	0.00201	0.02565		LB
2014	0.23	0.24	0.01	0.00208	0.02773		LB
2014	0.24	0.25	0.01	0.00215	0.02988		LB
2014	0.25	0.26	0.01	0.00222	0.0321		LB
2014	0.26	0.27	0.01	0.00229	0.03439		LB
2014	0.27	0.28	0.01	0.00235	0.03673		LB
2014	0.28	0.29	0.01	0.0024	0.03914		LB
2014	0.29	0.3	0.01	0.00246	0.0416		LB
2014	0.3	0.31	0.01	0.00252	0.04412		LB
2014	0.31	0.32	0.01	0.00258	0.04669		LB
2014	0.32	0.33	0.01	0.00264	0.04933		LB
2014	0.33	0.34	0.01	0.0027	0.05203		LB
2014	0.34	0.35	0.01	0.00277	0.0548		LB
2014	0.35	0.36	0.01	0.00285	0.05765		LB
2014	0.36	0.37	0.01	0.00292	0.06057		LB
2014	0.37	0.38	0.01	0.003	0.06357		LB
2014	0.38	0.39	0.01	0.00308	0.06665		LB
2014	0.39	0.4	0.01	0.00316	0.06981		LB
2014	0.4	0.41	0.01	0.00324	0.07306		LB
2014	0.41	0.42	0.01	0.00333	0.07639		LB
2014	0.42	0.43	0.01	0.00342	0.0798		LB
2014	0.43	0.44	0.01	0.00351	0.08331		LB
2014	0.44	0.45	0.01	0.0036	0.08691		LB
2014	0.45	0.46	0.01	0.0037	0.09061		LB
2014	0.46	0.47	0.01	0.00379	0.0944		LB
2014	0.47	0.48	0.01	0.0039	0.0983		LB
2014	0.48	0.49	0.01	0.004	0.1023		LB
2014	0.49	0.5	0.01	0.00411	0.1064		LB
2014	0.5	0.51	0.01	0.00422	0.11062		LB
2014	0.51	0.52	0.01	0.00433	0.11495		LB
2014	0.52	0.53	0.01	0.00445	0.1194		LB
2014	0.53	0.54	0.01	0.00456	0.12396		LB
2014	0.54	0.55	0.01	0.00468	0.12864		LB
2014	0.55	0.56	0.01	0.0048	0.13343		LB
2014	0.56	0.57	0.01	0.00492	0.13835		LB
2014	0.57	0.58	0.01	0.00504	0.14339		LB
2014	0.58	0.59	0.01	0.00517	0.14856		LB
