year	low	high	width	share	cumul	# sptinc992j	country
2014	0	0.01	0.01	0.00093	0.00093		MY
2014	0.01	0.02	0.01	0.00129	0.00222		MY
2014	0.02	0.03	0.01	0.00148	0.0037		MY
2014	0.03	0.04	0.01	0.00165	0.00535		MY
2014	0.04	0.05	0.01	0.0018	0.00715		MY
2014	0.05	0.06	0.01	0.00193	0.00908		MY
2014	0.06	0.07	0.01	0.00205	0.01113		MY
2014	0.07	0.08	0.01	0.00217	0.0133		MY
2014	0.08	0.09	0.01	0.00227	0.01557		MY
2014	0.09	0.1	0.01	0.00237	0.01794		MY
2014	0.1	0.11	0.01	0.00247	0.02041		MY
2014	0.11	0.12	0.01	0.00257	0.02298		MY
2014	0.12	0.13	0.01	0.00267	0.02565		MY
2014	0.13	0.14	0.01	0.00277	0.02842		MY
2014	0.14	0.15	0.01	0.00286	0.03128		MY
2014	0.15	0.16	0.01	0.00295	0.03423		MY
2014	0.16	0.17	0.01	0.00304	0.03728		MY
2014	0.17	0.18	0.01	0.00314	0.04041		MY
2014	0.18	0.19	0.01	0.00323	0.04364		MY
2014	0.19	0.2	0.01	0.00332	0.04696		MY
2014	0.2	0.21	0.01	0.00341	0.05037		MY
2014	0.21	0.22	0.01	0.0035	0.05387		MY
2014	0.22	0.23	0.01	0.00359	0.05746		MY
2014	0.23	0.24	0.01	0.00368	0.06114		MY
2014	0.24	0.25	0.01	0.00377	0.06491		MY
2014	0.25	0.26	0.01	0.00387	0.06878		MY
2014	0.26	0.27	0.01	0.00396	0.07274		MY
2014	0.27	0.28	0.01	0.00404	0.07678		MY
2014	0.28	0.29	0.01	0.00413	0.08091		MY
2014	0.29	0.3	0.01	0.00423	0.08514		MY
2014	0.3	0.31	0.01	0.00432	0.08946		MY
2014	0.31	0.32	0.01	0.00441	0.09388		MY
2014	0.32	0.33	0.01	0.0045	0.09838		MY
2014	0.33	0.34	0.01	0.0046	0.10298		MY
2014	0.34	0.35	0.01	0.00469	0.10767		MY
2014	0.35	0.36	0.01	0.00479	0.11246		MY
2014	0.36	0.37	0.01	0.00489	0.11735		MY
2014	0.37	0.38	0.01	0.00499	0.12234		MY
2014	0.38	0.39	0.01	0.0051	0.12744		MY
2014	0.39	0.4	0.01	0.0052	0.13264		MY
2014	0.4	0.41	0.01	0.0053	0.13794		MY
2014	0.41	0.42	0.01	0.00541	0.14336		MY
2014	0.42	0.43	0.01	0.00553	0.14888		MY
2014	0.43	0.44	0.01	0.00563	0.15451		MY
2014	0.44	0.45	0.01	0.00574	0.16025		MY
2014	0.45	0.46	0.01	0.00585	0.1661		MY
2014	0.46	0.47	0.01	0.00596	0.17206		MY
2014	0.47	0.48	0.01	0.00608	0.17815		MY
2014	0.48	0.49	0.01	0.00619	0.18434		MY
