year	low	high	width	share	cumul	# sptinc992j	country
2010	0	0.01	0.01	-0.0003	-0.0003		OM
2010	0.01	0.02	0.01	-0.00002	-0.00032		OM
2010	0.02	0.03	0.01	0.00011	-0.00021		OM
2010	0.03	0.04	0.01	0.00038	0.00016		OM
2010	0.04	0.05	0.01	0.00054	0.0007		OM
2010	0.05	0.06	0.01	0.00059	0.00129		OM
2010	0.06	0.07	0.01	0.00062	0.00191		OM
2010	0.07	0.08	0.01	0.00066	0.00257		OM
2010	0.08	0.09	0.01	0.0007	0.00327		OM
2010	0.09	0.1	0.01	0.00077	0.00403		OM
2010	0.1	0.11	0.01	0.00092	0.00496		OM
2010	0.11	0.12	0.01	0.00111	0.00606		OM
2010	0.12	0.13	0.01	0.00117	0.00724		OM
2010	0.13	0.14	0.01	0.00121	0.00844		OM
2010	0.14	0.15	0.01	0.00124	0.00968		OM
2010	0.15	0.16	0.01	0.00127	0.01095		OM
2010	0.16	0.17	0.01	0.00132	0.01227		OM
2010	0.17	0.18	0.01	0.00139	0.01366		OM
2010	0.18	0.19	0.01	0.00152	0.01518		OM
2010	0.19	0.2	0.01	0.00169	0.01687		OM
2010	0.2	0.21	0.01	0.00176	0.01863		OM
2010	0.21	0.22	0.01	0.0018	0.02043		OM
2010	0.22	0.23	0.01	0.00184	0.02226		OM
2010	0.23	0.24	0.01	0.00188	0.02414		OM
2010	0.24	0.25	0.01	0.00192	0.02606		OM
2010	0.25	0.26	0.01	0.00199	0.02805		OM
2010	0.26	0.27	0.01	0.0021	0.03015		OM
2010	0.27	0.28	0.01	0.00225	0.0324		OM
2010	0.28	0.29	0.01	0.00235	0.03475		OM
2010	0.29	0.3	0.01	0.0024	0.03715		OM
2010	0.3	0.31	0.01	0.00245	0.0396		OM
2010	0.31	0.32	0.01	0.0025	0.0421		OM
2010	0.32	0.33	0.01	0.00258	0.04468		OM
2010	0.33	0.34	0.01	0.00269	0.04736		OM
2010	0.34	0.35	0.01	0.00282	0.05019		OM
2010	0.35	0.36	0.01	0.00293	0.05312		OM
2010	0.36	0.37	0.01	0.003	0.05612		OM
2010	0.37	0.38	0.01	0.00306	0.05918		OM
2010	0.38	0.39	0.01	0.00314	0.06231		OM
2010	0.39	0.4	0.01	0.00324	0.06556		OM
2010	0.4	0.41	0.01	0.00337	0.06892		OM
2010	0.41	0.42	0.01	0.00349	0.07241		OM
2010	0.42	0.43	0.01	0.00357	0.07598		OM
2010	0.43	0.44	0.01	0.00364	0.07963		OM
2010	0.44	0.45	0.01	0.00373	0.08336		OM
2010	0.45	0.46	0.01	0.00384	0.0872		OM
2010	0.46	0.47	0.01	0.00396	0.09117		OM
2010	0.47	0.48	0.01	0.00408	0.09525		OM
2010	0.48	0.49	0.01	0.00416	0.09941		OM
2010	0.49	0.5	0.01	0.00423	0.10364		OM
2010	0.5	0.51	0.01	0.00432	0.10796		OM
2010	0.51	0.52	0.01	0.00441	0.11237		OM
2010	0.52	0.53	0.01	0.00451	0.11687		OM
2010	0.53	0.54	0.01	0.00461	0.12148		OM
2010	0.54	0.55	0.01	0.0047	0.12618		OM
2010	0.55	0.56	0.01	0.00479	0.13098		OM
2010	0.56	0.57	0.01	0.0049	0.13588		OM
2010	0.57	0.58	0.01	0.00502	0.1409		OM
2010	0.58	0.59	0.01	0.00516	0.14606		OM
2010	0.59	0.6	0.01	0.00532	0.15138		OM
2010	0.6	0.61	0.01	0.00546	0.15684		OM
2010	0.61	0.62	0.01	0.00564	0.16248		OM
2010	0.62	0.63	0.01	0.00581	0.16829		OM
2010	0.63	0.64	0.01	0.00596	0.17425		OM
2010	0.64	0.65	0.01	0.00611	0.18036		OM
2010	0.65	0.66	0.01	0.00625	0.18662		OM
2010	0.66	0.67	0.01	0.00644	0.19306		OM
2010	0.67	0.68	0.01	0.00665	0.1997		OM
2010	0.68	0.69	0.01	0.00692	0.20662		OM
2010	0.69	0.7	0.01	0.00723	0.21385		OM
2010	0.7	0.71	0.01	0.00752	0.22137		OM
2010	0.71	0.72	0.01	0.0078	0.22917		OM
2010	0.72	0.73	0.01	0.00807	0.23724		OM
2010	0.73	0.74	0.01	0.00834	0.24557		OM
2010	0.74	0.75	0.01	0.0086	0.25417		OM
2010	0.75	0.76	0.01	0.00887	0.26305		OM
2010	0.76	0.77	0.01	0.00916	0.27221		OM
2010	0.77	0.78	0.01	0.00947	0.28168		OM
2010	0.78	0.79	0.01	0.00981	0.29148		OM
2010	0.79	0.8	0.01	0.01019	0.30167		OM
2010	0.8	0.81	0.01	0.01064	0.31231		OM
2010	0.81	0.82	0.01	0.01117	0.32348		OM
2010	0.82	0.83	0.01	0.01182	0.3353		OM
2010	0.83	0.84	0.01	0.01259	0.34789		OM
2010	0.84	0.85	0.01	0.01351	0.36141		OM
2010	0.85	0.86	0.01	0.0146	0.376		OM
2010	0.86	0.87	0.01	0.01587	0.39187		OM
2010	0.87	0.88	0.01	0.01736	0.40923		OM
2010	0.88	0.89	0.01	0.01911	0.42834		OM
2010	0.89	0.9	0.01	0.02111	0.44945		OM
2010	0.9	0.91	0.01	0.02338	0.47283		OM
2010	0.91	0.92	0.01	0.02596	0.49879		OM
2010	0.92	0.93	0.01	0.02891	0.52769		OM
2010	0.93	0.94	0.01	0.03234	0.56004		OM
2010	0.94	0.95	0.01	0.03644	0.59648		OM
2010	0.95	0.96	0.01	0.04149	0.63797		OM
2010	0.96	0.97	0.01	0.04801	0.68598		OM
2010	0.97	0.98	0.01	0.05714	0.74312		OM
2010	0.98	0.99	0.01	0.07253	0.81565		OM
2010	0.99	1	0.01	0.18435	1		OM
