year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	0.0003	0.0003		PL
2015	0.01	0.02	0.01	0.0008	0.0011		PL
2015	0.02	0.03	0.01	0.0013	0.0024		PL
2015	0.03	0.04	0.01	0.0018	0.0042		PL
2015	0.04	0.05	0.01	0.0023	0.0065		PL
2015	0.05	0.06	0.01	0.0026	0.0091		PL
2015	0.06	0.07	0.01	0.0029	0.012		PL
2015	0.07	0.08	0.01	0.0031	0.0151		PL
2015	0.08	0.09	0.01	0.0032	0.0183		PL
2015	0.09	0.1	0.01	0.0034	0.0217		PL
2015	0.1	0.11	0.01	0.0035	0.0252		PL
2015	0.11	0.12	0.01	0.0036	0.0288		PL
2015	0.12	0.13	0.01	0.0037	0.0325		PL
2015	0.13	0.14	0.01	0.0039	0.0364		PL
2015	0.14	0.15	0.01	0.004	0.0404		PL
2015	0.15	0.16	0.01	0.0041	0.0445		PL
2015	0.16	0.17	0.01	0.0042	0.0487		PL
2015	0.17	0.18	0.01	0.0044	0.0531		PL
2015	0.18	0.19	0.01	0.0045	0.0576		PL
2015	0.19	0.2	0.01	0.0045	0.0621		PL
2015	0.2	0.21	0.01	0.0047	0.0668		PL
2015	0.21	0.22	0.01	0.0048	0.0716		PL
2015	0.22	0.23	0.01	0.0049	0.0765		PL
2015	0.23	0.24	0.01	0.005	0.0815		PL
2015	0.24	0.25	0.01	0.0051	0.0866		PL
2015	0.25	0.26	0.01	0.0052	0.0918		PL
2015	0.26	0.27	0.01	0.0053	0.0971		PL
2015	0.27	0.28	0.01	0.0054	0.1025		PL
2015	0.28	0.29	0.01	0.0054	0.1079		PL
2015	0.29	0.3	0.01	0.0054	0.1133		PL
2015	0.3	0.31	0.01	0.0056	0.1189		PL
2015	0.31	0.32	0.01	0.0057	0.1246		PL
2015	0.32	0.33	0.01	0.0058	0.1304		PL
2015	0.33	0.34	0.01	0.0059	0.1363		PL
2015	0.34	0.35	0.01	0.006	0.1423		PL
2015	0.35	0.36	0.01	0.0061	0.1484		PL
2015	0.36	0.37	0.01	0.0062	0.1546		PL
2015	0.37	0.38	0.01	0.0063	0.1609		PL
2015	0.38	0.39	0.01	0.0063	0.1672		PL
2015	0.39	0.4	0.01	0.0064	0.1736		PL
2015	0.4	0.41	0.01	0.0065	0.1801		PL
2015	0.41	0.42	0.01	0.0066	0.1867		PL
2015	0.42	0.43	0.01	0.0067	0.1934		PL
2015	0.43	0.44	0.01	0.0068	0.2002		PL
2015	0.44	0.45	0.01	0.0069	0.2071		PL
2015	0.45	0.46	0.01	0.007	0.2141		PL
2015	0.46	0.47	0.01	0.0071	0.2212		PL
2015	0.47	0.48	0.01	0.0071	0.2283		PL
2015	0.48	0.49	0.01	0.0072	0.2355		PL
2015	0.49	0.5	0.01	0.0072	0.2427		PL
2015	0.5	0.51	0.01	0.0074	0.2501		PL
2015	0.51	0.52	0.01	0.0076	0.2577		PL
2015	0.52	0.53	0.01	0.0077	0.2654		PL
2015	0.53	0.54	0.01	0.0078	0.2732		PL
2015	0.54	0.55	0.01	0.0079	0.2811		PL
2015	0.55	0.56	0.01	0.008	0.2891		PL
2015	0.56	0.57	0.01	0.0081	0.2972		PL
2015	0.57	0.58	0.01	0.0082	0.3054		PL
2015	0.58	0.59	0.01	0.0083	0.3137		PL
2015	0.59	0.6	0.01	0.0083	0.322		PL
2015	0.6	0.61	0.01	0.0085	0.3305		PL
2015	0.61	0.62	0.01	0.0086	0.3391		PL
2015	0.62	0.63	0.01	0.0088	0.3479		PL
2015	0.63	0.64	0.01	0.0089	0.3568		PL
2015	0.64	0.65	0.01	0.009	0.3658		PL
2015	0.65	0.66	0.01	0.0091	0.3749		PL
2015	0.66	0.67	0.01	0.0093	0.3842		PL
2015	0.67	0.68	0.01	0.0094	0.3936		PL
2015	0.68	0.69	0.01	0.0096	0.4032		PL
2015	0.69	0.7	0.01	0.0097	0.4129		PL
2015	0.7	0.71	0.01	0.0099	0.4228		PL
2015	0.71	0.72	0.01	0.01	0.4328		PL
2015	0.72	0.73	0.01	0.0102	0.443		PL
2015	0.73	0.74	0.01	0.0104	0.4534		PL
2015	0.74	0.75	0.01	0.0106	0.464		PL
2015	0.75	0.76	0.01	0.0107	0.4747		PL
2015	0.76	0.77	0.01	0.0109	0.4856		PL
2015	0.77	0.78	0.01	0.0111	0.4967		PL
2015	0.78	0.79	0.01	0.0113	0.508		PL
2015	0.79	0.8	0.01	0.0117	0.5197		PL
2015	0.8	0.81	0.01	0.0118	0.5315		PL
2015	0.81	0.82	0.01	0.0121	0.5436		PL
2015	0.82	0.83	0.01	0.0123	0.5559		PL
2015	0.83	0.84	0.01	0.0127	0.5686		PL
2015	0.84	0.85	0.01	0.013	0.5816		PL
2015	0.85	0.86	0.01	0.0134	0.595		PL
2015	0.86	0.87	0.01	0.0139	0.6089		PL
2015	0.87	0.88	0.01	0.0144	0.6233		PL
2015	0.88	0.89	0.01	0.015	0.6383		PL
2015	0.89	0.9	0.01	0.0155	0.6538		PL
2015	0.9	0.91	0.01	0.0163	0.6701		PL
2015	0.91	0.92	0.01	0.0172	0.6873		PL
2015	0.92	0.93	0.01	0.0182	0.7055		PL
2015	0.93	0.94	0.01	0.0195	0.725		PL
2015	0.94	0.95	0.01	0.0209	0.7459		PL
2015	0.95	0.96	0.01	0.0223	0.7682		PL
2015	0.96	0.97	0.01	0.0277	0.7959		PL
2015	0.97	0.98	0.01	0.034	0.8299		PL
2015	0.98	0.99	0.01	0.0455	0.8754		PL
2015	0.99	0.991	0.001	0.0055	0.8809		PL
2015	0.991	0.992	0.001	0.0061	0.887		PL
2015	0.992	0.993	0.001	0.0065	0.8935		PL
2015	0.993	0.994	0.001	0.007	0.9005		PL
2015	0.994	0.995	0.001	0.0077	0.9082		PL
2015	0.995	0.996	0.001	0.0086	0.9168		PL
2015	0.996	0.997	0.001	0.0101	0.9269		PL
2015	0.997	0.998	0.001	0.0123	0.9392		PL
2015	0.998	0.999	0.001	0.0166	0.9558		PL
2015	0.999	0.9991	0.0001	0.0021	0.9579		PL
2015	0.9991	0.9992	0.0001	0.0022	0.9601		PL
2015	0.9992	0.9993	0.0001	0.0024	0.9625		PL
2015	0.9993	0.9994	0.0001	0.0026	0.9651		PL
2015	0.9994	0.9995	0.0001	0.0029	0.968		PL
2015	0.9995	0.9996	0.0001	0.0032	0.9712		PL
2015	0.9996	0.9997	0.0001	0.0037	0.9749		PL
2015	0.9997	0.9998	0.0001	0.0044	0.9793		PL
2015	0.9998	0.9999	0.0001	0.0058	0.9851		PL
2015	0.9999	0.99991	0.00001	0.0007	0.9858		PL
2015	0.99991	0.99992	0.00001	0.0008	0.9866		PL
2015	0.99992	0.99993	0.00001	0.0008	0.9874		PL
2015	0.99993	0.99994	0.00001	0.0009	0.9883		PL
2015	0.99994	0.99995	0.00001	0.001	0.9893		PL
2015	0.99995	0.99996	0.00001	0.0011	0.9904		PL
2015	0.99996	0.99997	0.00001	0.0012	0.9916		PL
2015	0.99997	0.99998	0.00001	0.0015	0.9931		PL
2015	0.99998	0.99999	0.00001	0.002	0.9951		PL
2015	0.99999	1	0.00001	0.0049	1		PL
2014	0	0.01	0.01	0.0003	0.0003		PL
2014	0.01	0.02	0.01	0.0008	0.0011		PL
2014	0.02	0.03	0.01	0.0013	0.0024		PL
2014	0.03	0.04	0.01	0.0017	0.0041		PL
