year	low	high	width	share	cumul	# sptinc992j	country
2011	0	0.01	0.01	0.00017	0.00017		PS
2011	0.01	0.02	0.01	0.0006	0.00077		PS
2011	0.02	0.03	0.01	0.00083	0.00161		PS
2011	0.03	0.04	0.01	0.00095	0.00255		PS
2011	0.04	0.05	0.01	0.00102	0.00357		PS
2011	0.05	0.06	0.01	0.00112	0.00469		PS
2011	0.06	0.07	0.01	0.00122	0.00591		PS
2011	0.07	0.08	0.01	0.00131	0.00722		PS
2011	0.08	0.09	0.01	0.00139	0.00861		PS
2011	0.09	0.1	0.01	0.00147	0.01008		PS
2011	0.1	0.11	0.01	0.00155	0.01163		PS
2011	0.11	0.12	0.01	0.00163	0.01326		PS
2011	0.12	0.13	0.01	0.00169	0.01495		PS
2011	0.13	0.14	0.01	0.00176	0.01672		PS
2011	0.14	0.15	0.01	0.00184	0.01856		PS
2011	0.15	0.16	0.01	0.00192	0.02048		PS
2011	0.16	0.17	0.01	0.00201	0.02249		PS
2011	0.17	0.18	0.01	0.00209	0.02458		PS
2011	0.18	0.19	0.01	0.00217	0.02675		PS
2011	0.19	0.2	0.01	0.00225	0.029		PS
2011	0.2	0.21	0.01	0.00232	0.03132		PS
2011	0.21	0.22	0.01	0.0024	0.03372		PS
2011	0.22	0.23	0.01	0.00248	0.0362		PS
2011	0.23	0.24	0.01	0.00256	0.03876		PS
2011	0.24	0.25	0.01	0.00263	0.04139		PS
2011	0.25	0.26	0.01	0.0027	0.04409		PS
2011	0.26	0.27	0.01	0.00279	0.04688		PS
2011	0.27	0.28	0.01	0.00288	0.04975		PS
2011	0.28	0.29	0.01	0.00297	0.05272		PS
2011	0.29	0.3	0.01	0.00305	0.05577		PS
2011	0.3	0.31	0.01	0.00314	0.05891		PS
2011	0.31	0.32	0.01	0.00322	0.06213		PS
2011	0.32	0.33	0.01	0.00331	0.06544		PS
2011	0.33	0.34	0.01	0.00339	0.06882		PS
2011	0.34	0.35	0.01	0.00346	0.07229		PS
2011	0.35	0.36	0.01	0.00354	0.07583		PS
2011	0.36	0.37	0.01	0.00363	0.07946		PS
2011	0.37	0.38	0.01	0.00371	0.08316		PS
2011	0.38	0.39	0.01	0.00379	0.08695		PS
2011	0.39	0.4	0.01	0.00387	0.09083		PS
2011	0.4	0.41	0.01	0.00396	0.09479		PS
2011	0.41	0.42	0.01	0.00406	0.09884		PS
2011	0.42	0.43	0.01	0.00415	0.103		PS
2011	0.43	0.44	0.01	0.00426	0.10726		PS
2011	0.44	0.45	0.01	0.00436	0.11161		PS
2011	0.45	0.46	0.01	0.00446	0.11607		PS
2011	0.46	0.47	0.01	0.00456	0.12062		PS
2011	0.47	0.48	0.01	0.00466	0.12529		PS
2011	0.48	0.49	0.01	0.00477	0.13006		PS
