year	low	high	width	share	cumul	# sptinc992j	country
2012	0	0.01	0.01	-0.00008	-0.00008		QA
2012	0.01	0.02	0.01	0.00048	0.00039		QA
2012	0.02	0.03	0.01	0.0008	0.00119		QA
2012	0.03	0.04	0.01	0.00106	0.00226		QA
2012	0.04	0.05	0.01	0.00127	0.00353		QA
2012	0.05	0.06	0.01	0.00142	0.00495		QA
2012	0.06	0.07	0.01	0.00152	0.00646		QA
2012	0.07	0.08	0.01	0.00158	0.00804		QA
2012	0.08	0.09	0.01	0.00165	0.00969		QA
2012	0.09	0.1	0.01	0.00172	0.01141		QA
2012	0.1	0.11	0.01	0.0018	0.01322		QA
2012	0.11	0.12	0.01	0.0019	0.01512		QA
2012	0.12	0.13	0.01	0.002	0.01712		QA
2012	0.13	0.14	0.01	0.00209	0.01921		QA
2012	0.14	0.15	0.01	0.00216	0.02137		QA
2012	0.15	0.16	0.01	0.00223	0.0236		QA
2012	0.16	0.17	0.01	0.00229	0.02589		QA
2012	0.17	0.18	0.01	0.00235	0.02824		QA
2012	0.18	0.19	0.01	0.00241	0.03065		QA
2012	0.19	0.2	0.01	0.00248	0.03314		QA
2012	0.2	0.21	0.01	0.00255	0.03569		QA
2012	0.21	0.22	0.01	0.00263	0.03832		QA
2012	0.22	0.23	0.01	0.0027	0.04101		QA
2012	0.23	0.24	0.01	0.00276	0.04378		QA
2012	0.24	0.25	0.01	0.00283	0.04661		QA
2012	0.25	0.26	0.01	0.00289	0.04949		QA
2012	0.26	0.27	0.01	0.00295	0.05244		QA
2012	0.27	0.28	0.01	0.00301	0.05544		QA
2012	0.28	0.29	0.01	0.00307	0.05851		QA
2012	0.29	0.3	0.01	0.00313	0.06164		QA
2012	0.3	0.31	0.01	0.00319	0.06483		QA
2012	0.31	0.32	0.01	0.00326	0.0681		QA
2012	0.32	0.33	0.01	0.00333	0.07143		QA
2012	0.33	0.34	0.01	0.0034	0.07482		QA
2012	0.34	0.35	0.01	0.00347	0.07829		QA
2012	0.35	0.36	0.01	0.00354	0.08183		QA
2012	0.36	0.37	0.01	0.00361	0.08544		QA
2012	0.37	0.38	0.01	0.00368	0.08911		QA
2012	0.38	0.39	0.01	0.00375	0.09286		QA
2012	0.39	0.4	0.01	0.00382	0.09669		QA
2012	0.4	0.41	0.01	0.0039	0.10059		QA
2012	0.41	0.42	0.01	0.00397	0.10456		QA
2012	0.42	0.43	0.01	0.00405	0.10861		QA
2012	0.43	0.44	0.01	0.00413	0.11274		QA
2012	0.44	0.45	0.01	0.00421	0.11695		QA
2012	0.45	0.46	0.01	0.00429	0.12124		QA
2012	0.46	0.47	0.01	0.00437	0.12561		QA
2012	0.47	0.48	0.01	0.00445	0.13006		QA
2012	0.48	0.49	0.01	0.00454	0.1346		QA
2012	0.49	0.5	0.01	0.00463	0.13923		QA
2012	0.5	0.51	0.01	0.00471	0.14394		QA
2012	0.51	0.52	0.01	0.00481	0.14875		QA
2012	0.52	0.53	0.01	0.0049	0.15364		QA
2012	0.53	0.54	0.01	0.00499	0.15864		QA
2012	0.54	0.55	0.01	0.00509	0.16372		QA
2012	0.55	0.56	0.01	0.00519	0.16891		QA
2012	0.56	0.57	0.01	0.00529	0.1742		QA
2012	0.57	0.58	0.01	0.0054	0.1796		QA
2012	0.58	0.59	0.01	0.0055	0.1851		QA
2012	0.59	0.6	0.01	0.00562	0.19072		QA
2012	0.6	0.61	0.01	0.00573	0.19645		QA
2012	0.61	0.62	0.01	0.00585	0.2023		QA
2012	0.62	0.63	0.01	0.00598	0.20828		QA
2012	0.63	0.64	0.01	0.0061	0.21438		QA
2012	0.64	0.65	0.01	0.00624	0.22062		QA
2012	0.65	0.66	0.01	0.00638	0.227		QA
2012	0.66	0.67	0.01	0.00652	0.23352		QA
2012	0.67	0.68	0.01	0.00667	0.24019		QA
2012	0.68	0.69	0.01	0.00683	0.24702		QA
2012	0.69	0.7	0.01	0.00699	0.25401		QA
2012	0.7	0.71	0.01	0.00716	0.26117		QA
2012	0.71	0.72	0.01	0.00734	0.26851		QA
2012	0.72	0.73	0.01	0.00753	0.27604		QA
2012	0.73	0.74	0.01	0.00772	0.28376		QA
2012	0.74	0.75	0.01	0.00793	0.29169		QA
2012	0.75	0.76	0.01	0.00815	0.29984		QA
2012	0.76	0.77	0.01	0.00839	0.30823		QA
2012	0.77	0.78	0.01	0.00866	0.31689		QA
2012	0.78	0.79	0.01	0.00895	0.32583		QA
2012	0.79	0.8	0.01	0.00928	0.33511		QA
2012	0.8	0.81	0.01	0.00966	0.34477		QA
2012	0.81	0.82	0.01	0.01011	0.35489		QA
2012	0.82	0.83	0.01	0.01065	0.36554		QA
2012	0.83	0.84	0.01	0.0113	0.37684		QA
2012	0.84	0.85	0.01	0.01209	0.38893		QA
2012	0.85	0.86	0.01	0.01303	0.40197		QA
2012	0.86	0.87	0.01	0.01417	0.41614		QA
2012	0.87	0.88	0.01	0.01553	0.43168		QA
2012	0.88	0.89	0.01	0.0171	0.44878		QA
2012	0.89	0.9	0.01	0.01893	0.46771		QA
2012	0.9	0.91	0.01	0.02111	0.48883		QA
2012	0.91	0.92	0.01	0.02355	0.51238		QA
2012	0.92	0.93	0.01	0.02627	0.53865		QA
2012	0.93	0.94	0.01	0.02952	0.56817		QA
2012	0.94	0.95	0.01	0.03332	0.60149		QA
2012	0.95	0.96	0.01	0.03813	0.63963		QA
2012	0.96	0.97	0.01	0.04486	0.68448		QA
2012	0.97	0.98	0.01	0.05532	0.73981		QA
2012	0.98	0.99	0.01	0.07335	0.81315		QA
2012	0.99	0.991	0.001	0.00903	0.82218		QA
2012	0.991	0.992	0.001	0.00953	0.83171		QA
2012	0.992	0.993	0.001	0.01012	0.84182		QA
2012	0.993	0.994	0.001	0.01083	0.85265		QA
2012	0.994	0.995	0.001	0.01173	0.86437		QA
2012	0.995	0.996	0.001	0.01293	0.87731		QA
2012	0.996	0.997	0.001	0.01466	0.89196		QA
2012	0.997	0.998	0.001	0.01741	0.90938		QA
2012	0.998	0.999	0.001	0.02291	0.93229		QA
2012	0.999	0.9991	0.0001	0.00287	0.93516		QA
2012	0.9991	0.9992	0.0001	0.00304	0.9382		QA
2012	0.9992	0.9993	0.0001	0.00325	0.94144		QA
2012	0.9993	0.9994	0.0001	0.0035	0.94494		QA
2012	0.9994	0.9995	0.0001	0.00383	0.94877		QA
2012	0.9995	0.9996	0.0001	0.00427	0.95304		QA
