year	low	high	width	share	cumul	# sptinc992j	country
2015	0	0.01	0.01	-0.00009	-0.00009		RU
2015	0.01	0.02	0.01	0.00001	-0.00009		RU
2015	0.02	0.03	0.01	0.00005	-0.00004		RU
2015	0.03	0.04	0.01	0.00009	0.00005		RU
2015	0.04	0.05	0.01	0.00012	0.00017		RU
2015	0.05	0.06	0.01	0.00016	0.00033		RU
2015	0.06	0.07	0.01	0.00019	0.00052		RU
2015	0.07	0.08	0.01	0.00024	0.00076		RU
2015	0.08	0.09	0.01	0.00043	0.00119		RU
2015	0.09	0.1	0.01	0.00108	0.00227		RU
2015	0.1	0.11	0.01	0.00163	0.0039		RU
2015	0.11	0.12	0.01	0.00193	0.00583		RU
2015	0.12	0.13	0.01	0.0022	0.00802		RU
2015	0.13	0.14	0.01	0.00242	0.01045		RU
2015	0.14	0.15	0.01	0.00261	0.01306		RU
2015	0.15	0.16	0.01	0.00278	0.01584		RU
2015	0.16	0.17	0.01	0.00293	0.01877		RU
2015	0.17	0.18	0.01	0.00306	0.02183		RU
2015	0.18	0.19	0.01	0.00318	0.02501		RU
2015	0.19	0.2	0.01	0.00329	0.0283		RU
2015	0.2	0.21	0.01	0.0034	0.0317		RU
2015	0.21	0.22	0.01	0.0035	0.0352		RU
2015	0.22	0.23	0.01	0.0036	0.0388		RU
2015	0.23	0.24	0.01	0.00369	0.04249		RU
2015	0.24	0.25	0.01	0.00378	0.04628		RU
2015	0.25	0.26	0.01	0.00388	0.05015		RU
2015	0.26	0.27	0.01	0.00396	0.05412		RU
2015	0.27	0.28	0.01	0.00405	0.05817		RU
2015	0.28	0.29	0.01	0.00414	0.06231		RU
2015	0.29	0.3	0.01	0.00424	0.06655		RU
2015	0.3	0.31	0.01	0.00433	0.07088		RU
2015	0.31	0.32	0.01	0.00442	0.0753		RU
2015	0.32	0.33	0.01	0.00452	0.07982		RU
2015	0.33	0.34	0.01	0.00461	0.08443		RU
2015	0.34	0.35	0.01	0.0047	0.08913		RU
2015	0.35	0.36	0.01	0.00478	0.09392		RU
2015	0.36	0.37	0.01	0.00487	0.09878		RU
2015	0.37	0.38	0.01	0.00495	0.10373		RU
2015	0.38	0.39	0.01	0.00503	0.10876		RU
2015	0.39	0.4	0.01	0.00512	0.11388		RU
2015	0.4	0.41	0.01	0.00521	0.11909		RU
2015	0.41	0.42	0.01	0.0053	0.12439		RU
2015	0.42	0.43	0.01	0.0054	0.12979		RU
2015	0.43	0.44	0.01	0.00549	0.13527		RU
2015	0.44	0.45	0.01	0.00557	0.14084		RU
2015	0.45	0.46	0.01	0.00565	0.1465		RU
2015	0.46	0.47	0.01	0.00573	0.15223		RU
2015	0.47	0.48	0.01	0.00581	0.15803		RU
2015	0.48	0.49	0.01	0.00589	0.16392		RU
2015	0.49	0.5	0.01	0.00598	0.1699		RU
2015	0.5	0.51	0.01	0.00607	0.17597		RU
2015	0.51	0.52	0.01	0.00618	0.18215		RU
2015	0.52	0.53	0.01	0.00629	0.18844		RU
2015	0.53	0.54	0.01	0.00642	0.19485		RU
2015	0.54	0.55	0.01	0.00654	0.2014		RU
2015	0.55	0.56	0.01	0.00667	0.20807		RU
2015	0.56	0.57	0.01	0.0068	0.21488		RU
2015	0.57	0.58	0.01	0.00693	0.22181		RU
2015	0.58	0.59	0.01	0.00706	0.22886		RU
2015	0.59	0.6	0.01	0.00718	0.23605		RU
2015	0.6	0.61	0.01	0.00731	0.24336		RU
2015	0.61	0.62	0.01	0.00744	0.2508		RU
2015	0.62	0.63	0.01	0.00758	0.25838		RU
2015	0.63	0.64	0.01	0.00772	0.26609		RU
2015	0.64	0.65	0.01	0.00786	0.27395		RU
2015	0.65	0.66	0.01	0.008	0.28195		RU
2015	0.66	0.67	0.01	0.00815	0.29011		RU
2015	0.67	0.68	0.01	0.00831	0.29842		RU
2015	0.68	0.69	0.01	0.00848	0.3069		RU
2015	0.69	0.7	0.01	0.00866	0.31556		RU
2015	0.7	0.71	0.01	0.00885	0.32441		RU
2015	0.71	0.72	0.01	0.00906	0.33347		RU
2015	0.72	0.73	0.01	0.00928	0.34275		RU
2015	0.73	0.74	0.01	0.00951	0.35226		RU
2015	0.74	0.75	0.01	0.00976	0.36202		RU
2015	0.75	0.76	0.01	0.01002	0.37204		RU
2015	0.76	0.77	0.01	0.01028	0.38231		RU
2015	0.77	0.78	0.01	0.01054	0.39286		RU
2015	0.78	0.79	0.01	0.01082	0.40368		RU
2015	0.79	0.8	0.01	0.0111	0.41477		RU
2015	0.8	0.81	0.01	0.01139	0.42616		RU
2015	0.81	0.82	0.01	0.01169	0.43785		RU
2015	0.82	0.83	0.01	0.012	0.44985		RU
2015	0.83	0.84	0.01	0.01233	0.46218		RU
2015	0.84	0.85	0.01	0.01268	0.47486		RU
2015	0.85	0.86	0.01	0.01305	0.48791		RU
2015	0.86	0.87	0.01	0.01346	0.50137		RU
2015	0.87	0.88	0.01	0.0139	0.51527		RU
2015	0.88	0.89	0.01	0.01442	0.52969		RU
2015	0.89	0.9	0.01	0.01513	0.54482		RU
2015	0.9	0.91	0.01	0.01643	0.56125		RU
