year	low	high	width	share	cumul	# sptinc992j	country
2008	0	0.01	0.01	0.00035	0.00035		SA
2008	0.01	0.02	0.01	0.00059	0.00094		SA
2008	0.02	0.03	0.01	0.00074	0.00167		SA
2008	0.03	0.04	0.01	0.00094	0.00261		SA
2008	0.04	0.05	0.01	0.0011	0.00371		SA
2008	0.05	0.06	0.01	0.0012	0.00491		SA
2008	0.06	0.07	0.01	0.00132	0.00623		SA
2008	0.07	0.08	0.01	0.00144	0.00767		SA
2008	0.08	0.09	0.01	0.00156	0.00923		SA
2008	0.09	0.1	0.01	0.00169	0.01092		SA
2008	0.1	0.11	0.01	0.00182	0.01274		SA
2008	0.11	0.12	0.01	0.00192	0.01466		SA
2008	0.12	0.13	0.01	0.002	0.01666		SA
2008	0.13	0.14	0.01	0.00204	0.0187		SA
2008	0.14	0.15	0.01	0.00208	0.02078		SA
2008	0.15	0.16	0.01	0.00211	0.02289		SA
2008	0.16	0.17	0.01	0.00215	0.02504		SA
2008	0.17	0.18	0.01	0.00219	0.02723		SA
2008	0.18	0.19	0.01	0.00224	0.02947		SA
2008	0.19	0.2	0.01	0.0023	0.03177		SA
2008	0.2	0.21	0.01	0.00239	0.03416		SA
2008	0.21	0.22	0.01	0.00246	0.03662		SA
2008	0.22	0.23	0.01	0.00251	0.03913		SA
2008	0.23	0.24	0.01	0.00256	0.04169		SA
2008	0.24	0.25	0.01	0.00261	0.0443		SA
2008	0.25	0.26	0.01	0.00267	0.04697		SA
2008	0.26	0.27	0.01	0.00273	0.0497		SA
2008	0.27	0.28	0.01	0.0028	0.0525		SA
2008	0.28	0.29	0.01	0.00288	0.05537		SA
2008	0.29	0.3	0.01	0.00299	0.05836		SA
2008	0.3	0.31	0.01	0.00308	0.06144		SA
2008	0.31	0.32	0.01	0.00314	0.06458		SA
2008	0.32	0.33	0.01	0.0032	0.06778		SA
2008	0.33	0.34	0.01	0.00325	0.07103		SA
2008	0.34	0.35	0.01	0.00331	0.07434		SA
2008	0.35	0.36	0.01	0.00337	0.07771		SA
2008	0.36	0.37	0.01	0.00345	0.08116		SA
2008	0.37	0.38	0.01	0.00354	0.08471		SA
2008	0.38	0.39	0.01	0.00363	0.08833		SA
2008	0.39	0.4	0.01	0.00371	0.09204		SA
2008	0.4	0.41	0.01	0.00377	0.09581		SA
2008	0.41	0.42	0.01	0.00383	0.09964		SA
2008	0.42	0.43	0.01	0.0039	0.10354		SA
2008	0.43	0.44	0.01	0.00398	0.10751		SA
2008	0.44	0.45	0.01	0.00405	0.11156		SA
2008	0.45	0.46	0.01	0.00412	0.11568		SA
2008	0.46	0.47	0.01	0.00419	0.11987		SA
2008	0.47	0.48	0.01	0.00425	0.12412		SA
2008	0.48	0.49	0.01	0.00432	0.12845		SA
2008	0.49	0.5	0.01	0.0044	0.13285		SA
2008	0.5	0.51	0.01	0.0045	0.13734		SA
2008	0.51	0.52	0.01	0.0046	0.14195		SA
2008	0.52	0.53	0.01	0.00471	0.14666		SA
2008	0.53	0.54	0.01	0.00481	0.15147		SA
2008	0.54	0.55	0.01	0.00491	0.15638		SA
2008	0.55	0.56	0.01	0.00502	0.1614		SA
2008	0.56	0.57	0.01	0.00513	0.16653		SA
2008	0.57	0.58	0.01	0.00525	0.17178		SA
2008	0.58	0.59	0.01	0.00537	0.17715		SA
2008	0.59	0.6	0.01	0.00548	0.18263		SA
2008	0.6	0.61	0.01	0.00561	0.18824		SA
2008	0.61	0.62	0.01	0.00577	0.19402		SA
2008	0.62	0.63	0.01	0.00594	0.19996		SA
2008	0.63	0.64	0.01	0.00609	0.20605		SA
2008	0.64	0.65	0.01	0.00622	0.21227		SA
2008	0.65	0.66	0.01	0.00636	0.21863		SA
2008	0.66	0.67	0.01	0.00652	0.22515		SA
2008	0.67	0.68	0.01	0.00669	0.23184		SA
2008	0.68	0.69	0.01	0.00688	0.23872		SA
2008	0.69	0.7	0.01	0.00711	0.24582		SA
2008	0.7	0.71	0.01	0.00738	0.2532		SA
2008	0.71	0.72	0.01	0.00759	0.26079		SA
2008	0.72	0.73	0.01	0.00777	0.26855		SA
2008	0.73	0.74	0.01	0.00796	0.27651		SA
2008	0.74	0.75	0.01	0.00816	0.28467		SA
2008	0.75	0.76	0.01	0.0084	0.29307		SA
2008	0.76	0.77	0.01	0.00865	0.30172		SA
2008	0.77	0.78	0.01	0.00892	0.31064		SA
2008	0.78	0.79	0.01	0.0092	0.31984		SA
2008	0.79	0.8	0.01	0.00955	0.3294		SA
2008	0.8	0.81	0.01	0.01005	0.33945		SA
