year	low	high	width	share	cumul	# sptinc992j	country
2012	0	0.5	0.5	0.24558	0.24558		SI
2012	0.5	0.9	0.4	0.44894	0.69452		SI
2012	0.9	1	0.1	0.30548	1		SI
2011	0	0.5	0.5	0.26118	0.26118		SI
2011	0.5	0.9	0.4	0.44233	0.7035		SI
2011	0.9	1	0.1	0.2965	1		SI
2010	0	0.5	0.5	0.25605	0.25605		SI
2010	0.5	0.9	0.4	0.43996	0.69601		SI
2010	0.9	1	0.1	0.30399	1		SI
2009	0	0.5	0.5	0.26174	0.26174		SI
2009	0.5	0.9	0.4	0.43617	0.69792		SI
2009	0.9	1	0.1	0.30208	1		SI
2008	0	0.5	0.5	0.27059	0.27059		SI
2008	0.5	0.9	0.4	0.4309	0.70149		SI
2008	0.9	1	0.1	0.29851	1		SI
2007	0	0.5	0.5	0.26978	0.26978		SI
2007	0.5	0.9	0.4	0.43156	0.70134		SI
2007	0.9	1	0.1	0.29866	1		SI
2006	0	0.5	0.5	0.25623	0.25623		SI
2006	0.5	0.9	0.4	0.44046	0.69668		SI
2006	0.9	1	0.1	0.30332	1		SI
2005	0	0.5	0.5	0.24499	0.24499		SI
2005	0.5	0.9	0.4	0.44744	0.69243		SI
2005	0.9	1	0.1	0.30757	1		SI
2004	0	0.5	0.5	0.2367	0.2367		SI
2004	0.5	0.9	0.4	0.45593	0.69263		SI
2004	0.9	1	0.1	0.30737	1		SI
2003	0	0.5	0.5	0.23535	0.23535		SI
2003	0.5	0.9	0.4	0.45862	0.69397		SI
2003	0.9	1	0.1	0.30603	1		SI
2002	0	0.5	0.5	0.24289	0.24289		SI
2002	0.5	0.9	0.4	0.45446	0.69735		SI
2002	0.9	1	0.1	0.30265	1		SI
2001	0	0.5	0.5	0.25517	0.25517		SI
2001	0.5	0.9	0.4	0.44976	0.70492		SI
2001	0.9	1	0.1	0.29508	1		SI
2000	0	0.5	0.5	0.24604	0.24604		SI
2000	0.5	0.9	0.4	0.45374	0.69978		SI
2000	0.9	1	0.1	0.30022	1		SI
1999	0	0.5	0.5	0.23892	0.23892		SI
1999	0.5	0.9	0.4	0.45842	0.69734		SI
1999	0.9	1	0.1	0.30266	1		SI
1998	0	0.5	0.5	0.24201	0.24201		SI
1998	0.5	0.9	0.4	0.46124	0.70325		SI
1998	0.9	1	0.1	0.29675	1		SI
1997	0	0.5	0.5	0.24708	0.24708		SI
1997	0.5	0.9	0.4	0.45842	0.7055		SI
1997	0.9	1	0.1	0.2945	1		SI
1996	0	0.5	0.5	0.23286	0.23286		SI
1996	0.5	0.9	0.4	0.46826	0.70112		SI
1996	0.9	1	0.1	0.29888	1		SI
1995	0	0.5	0.5	0.24094	0.24094		SI
1995	0.5	0.9	0.4	0.46931	0.71025		SI
1995	0.9	1	0.1	0.28975	1		SI
1994	0	0.5	0.5	0.29358	0.29358		SI
1994	0.5	0.9	0.4	0.43749	0.73107		SI
1994	0.9	1	0.1	0.26893	1		SI
1993	0	0.5	0.5	0.25262	0.25262		SI
1993	0.5	0.9	0.4	0.47022	0.72284		SI
1993	0.9	1	0.1	0.27716	1		SI
1992	0	0.5	0.5	0.31835	0.31835		SI
1992	0.5	0.9	0.4	0.4383	0.75666		SI
1992	0.9	1	0.1	0.24334	1		SI
