year	low	high	width	share	cumul	# sptinc992j	country
2004	0	0.01	0.01	0.00027	0.00027		SY
2004	0.01	0.02	0.01	0.00072	0.00099		SY
2004	0.02	0.03	0.01	0.0009	0.00189		SY
2004	0.03	0.04	0.01	0.00103	0.00292		SY
2004	0.04	0.05	0.01	0.00113	0.00404		SY
2004	0.05	0.06	0.01	0.00122	0.00526		SY
2004	0.06	0.07	0.01	0.00131	0.00657		SY
2004	0.07	0.08	0.01	0.00141	0.00798		SY
2004	0.08	0.09	0.01	0.00151	0.00948		SY
2004	0.09	0.1	0.01	0.0016	0.01109		SY
2004	0.1	0.11	0.01	0.00169	0.01278		SY
2004	0.11	0.12	0.01	0.00177	0.01454		SY
2004	0.12	0.13	0.01	0.00184	0.01638		SY
2004	0.13	0.14	0.01	0.00192	0.0183		SY
2004	0.14	0.15	0.01	0.002	0.0203		SY
2004	0.15	0.16	0.01	0.00208	0.02238		SY
2004	0.16	0.17	0.01	0.00217	0.02454		SY
2004	0.17	0.18	0.01	0.00225	0.02679		SY
2004	0.18	0.19	0.01	0.00232	0.02912		SY
2004	0.19	0.2	0.01	0.00239	0.03151		SY
2004	0.2	0.21	0.01	0.00246	0.03397		SY
2004	0.21	0.22	0.01	0.00255	0.03652		SY
2004	0.22	0.23	0.01	0.00263	0.03915		SY
2004	0.23	0.24	0.01	0.0027	0.04185		SY
2004	0.24	0.25	0.01	0.00276	0.04462		SY
2004	0.25	0.26	0.01	0.00283	0.04744		SY
2004	0.26	0.27	0.01	0.00291	0.05035		SY
2004	0.27	0.28	0.01	0.00299	0.05334		SY
2004	0.28	0.29	0.01	0.00307	0.05642		SY
2004	0.29	0.3	0.01	0.00316	0.05958		SY
2004	0.3	0.31	0.01	0.00325	0.06282		SY
2004	0.31	0.32	0.01	0.00333	0.06616		SY
2004	0.32	0.33	0.01	0.00342	0.06958		SY
2004	0.33	0.34	0.01	0.0035	0.07308		SY
2004	0.34	0.35	0.01	0.00358	0.07667		SY
2004	0.35	0.36	0.01	0.00366	0.08033		SY
2004	0.36	0.37	0.01	0.00374	0.08407		SY
2004	0.37	0.38	0.01	0.00383	0.08789		SY
2004	0.38	0.39	0.01	0.00391	0.0918		SY
2004	0.39	0.4	0.01	0.004	0.0958		SY
2004	0.4	0.41	0.01	0.0041	0.0999		SY
2004	0.41	0.42	0.01	0.0042	0.10411		SY
2004	0.42	0.43	0.01	0.00431	0.10842		SY
2004	0.43	0.44	0.01	0.00441	0.11283		SY
2004	0.44	0.45	0.01	0.00452	0.11735		SY
2004	0.45	0.46	0.01	0.00463	0.12198		SY
2004	0.46	0.47	0.01	0.00474	0.12672		SY
2004	0.47	0.48	0.01	0.00485	0.13157		SY
2004	0.48	0.49	0.01	0.00496	0.13653		SY
2004	0.49	0.5	0.01	0.00508	0.1416		SY
2004	0.5	0.51	0.01	0.0052	0.1468		SY
2004	0.51	0.52	0.01	0.00532	0.15211		SY
2004	0.52	0.53	0.01	0.00544	0.15756		SY
2004	0.53	0.54	0.01	0.00557	0.16312		SY
2004	0.54	0.55	0.01	0.00569	0.16882		SY
2004	0.55	0.56	0.01	0.00582	0.17464		SY
2004	0.56	0.57	0.01	0.00596	0.18059		SY
2004	0.57	0.58	0.01	0.00609	0.18668		SY
2004	0.58	0.59	0.01	0.00622	0.19291		SY
2004	0.59	0.6	0.01	0.00636	0.19927		SY
2004	0.6	0.61	0.01	0.00649	0.20576		SY
2004	0.61	0.62	0.01	0.00663	0.21239		SY
2004	0.62	0.63	0.01	0.00677	0.21917		SY
2004	0.63	0.64	0.01	0.00692	0.22608		SY
2004	0.64	0.65	0.01	0.00707	0.23316		SY
2004	0.65	0.66	0.01	0.00724	0.24039		SY
2004	0.66	0.67	0.01	0.00741	0.2478		SY
2004	0.67	0.68	0.01	0.00759	0.25538		SY
2004	0.68	0.69	0.01	0.00777	0.26316		SY
2004	0.69	0.7	0.01	0.00797	0.27112		SY
2004	0.7	0.71	0.01	0.00817	0.27929		SY
2004	0.71	0.72	0.01	0.00838	0.28767		SY
2004	0.72	0.73	0.01	0.00858	0.29625		SY
2004	0.73	0.74	0.01	0.00879	0.30504		SY
2004	0.74	0.75	0.01	0.00899	0.31403		SY
2004	0.75	0.76	0.01	0.00921	0.32324		SY
2004	0.76	0.77	0.01	0.00944	0.33268		SY
2004	0.77	0.78	0.01	0.00969	0.34237		SY
2004	0.78	0.79	0.01	0.00997	0.35234		SY
2004	0.79	0.8	0.01	0.0103	0.36263		SY
2004	0.8	0.81	0.01	0.01069	0.37332		SY
2004	0.81	0.82	0.01	0.01119	0.38452		SY
2004	0.82	0.83	0.01	0.01182	0.39634		SY
2004	0.83	0.84	0.01	0.01257	0.40891		SY
2004	0.84	0.85	0.01	0.01346	0.42237		SY
2004	0.85	0.86	0.01	0.01449	0.43686		SY
2004	0.86	0.87	0.01	0.01577	0.45263		SY
2004	0.87	0.88	0.01	0.01731	0.46994		SY
2004	0.88	0.89	0.01	0.01912	0.48906		SY
2004	0.89	0.9	0.01	0.0212	0.51026		SY
2004	0.9	0.91	0.01	0.02369	0.53394		SY
2004	0.91	0.92	0.01	0.02657	0.56051		SY
2004	0.92	0.93	0.01	0.02952	0.59003		SY
2004	0.93	0.94	0.01	0.03252	0.62255		SY
2004	0.94	0.95	0.01	0.03643	0.65898		SY
2004	0.95	0.96	0.01	0.04105	0.70003		SY
2004	0.96	0.97	0.01	0.0449	0.74493		SY
