year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	-0.00003	-0.00003		TR
2016	0.01	0.02	0.01	0.00026	0.00024		TR
2016	0.02	0.03	0.01	0.00049	0.00072		TR
2016	0.03	0.04	0.01	0.00071	0.00143		TR
2016	0.04	0.05	0.01	0.00092	0.00235		TR
2016	0.05	0.06	0.01	0.00114	0.00349		TR
2016	0.06	0.07	0.01	0.00135	0.00484		TR
2016	0.07	0.08	0.01	0.00155	0.00639		TR
2016	0.08	0.09	0.01	0.00175	0.00814		TR
2016	0.09	0.1	0.01	0.00194	0.01008		TR
2016	0.1	0.11	0.01	0.00212	0.0122		TR
2016	0.11	0.12	0.01	0.00229	0.01449		TR
2016	0.12	0.13	0.01	0.00245	0.01694		TR
2016	0.13	0.14	0.01	0.0026	0.01954		TR
2016	0.14	0.15	0.01	0.00273	0.02226		TR
2016	0.15	0.16	0.01	0.00284	0.02511		TR
2016	0.16	0.17	0.01	0.00294	0.02805		TR
2016	0.17	0.18	0.01	0.00302	0.03107		TR
2016	0.18	0.19	0.01	0.00309	0.03416		TR
2016	0.19	0.2	0.01	0.00312	0.03728		TR
2016	0.2	0.21	0.01	0.00314	0.04042		TR
2016	0.21	0.22	0.01	0.00315	0.04357		TR
2016	0.22	0.23	0.01	0.00317	0.04674		TR
2016	0.23	0.24	0.01	0.00318	0.04992		TR
2016	0.24	0.25	0.01	0.0032	0.05312		TR
2016	0.25	0.26	0.01	0.00321	0.05632		TR
2016	0.26	0.27	0.01	0.00322	0.05955		TR
2016	0.27	0.28	0.01	0.00324	0.06279		TR
2016	0.28	0.29	0.01	0.00326	0.06605		TR
2016	0.29	0.3	0.01	0.00329	0.06933		TR
2016	0.3	0.31	0.01	0.00331	0.07265		TR
2016	0.31	0.32	0.01	0.00334	0.07599		TR
2016	0.32	0.33	0.01	0.00337	0.07937		TR
2016	0.33	0.34	0.01	0.00341	0.08277		TR
2016	0.34	0.35	0.01	0.00344	0.08622		TR
2016	0.35	0.36	0.01	0.00348	0.0897		TR
2016	0.36	0.37	0.01	0.00352	0.09322		TR
2016	0.37	0.38	0.01	0.00357	0.09679		TR
2016	0.38	0.39	0.01	0.00362	0.10042		TR
2016	0.39	0.4	0.01	0.00368	0.1041		TR
2016	0.4	0.41	0.01	0.00375	0.10785		TR
2016	0.41	0.42	0.01	0.00382	0.11167		TR
2016	0.42	0.43	0.01	0.00391	0.11558		TR
2016	0.43	0.44	0.01	0.00401	0.11959		TR
2016	0.44	0.45	0.01	0.00411	0.1237		TR
2016	0.45	0.46	0.01	0.00423	0.12793		TR
2016	0.46	0.47	0.01	0.00435	0.13228		TR
2016	0.47	0.48	0.01	0.00448	0.13676		TR
2016	0.48	0.49	0.01	0.00461	0.14137		TR
2016	0.49	0.5	0.01	0.00475	0.14613		TR
2016	0.5	0.51	0.01	0.00489	0.15102		TR
2016	0.51	0.52	0.01	0.00503	0.15604		TR
2016	0.52	0.53	0.01	0.00517	0.16121		TR
2016	0.53	0.54	0.01	0.0053	0.16651		TR
2016	0.54	0.55	0.01	0.00543	0.17195		TR
2016	0.55	0.56	0.01	0.00556	0.17751		TR
2016	0.56	0.57	0.01	0.00568	0.18319		TR
2016	0.57	0.58	0.01	0.00579	0.18897		TR
2016	0.58	0.59	0.01	0.00589	0.19486		TR
2016	0.59	0.6	0.01	0.00598	0.20084		TR
2016	0.6	0.61	0.01	0.00607	0.20691		TR
2016	0.61	0.62	0.01	0.00616	0.21307		TR
2016	0.62	0.63	0.01	0.00624	0.21931		TR
2016	0.63	0.64	0.01	0.00632	0.22563		TR
2016	0.64	0.65	0.01	0.0064	0.23203		TR
2016	0.65	0.66	0.01	0.00648	0.23851		TR
2016	0.66	0.67	0.01	0.00656	0.24507		TR
2016	0.67	0.68	0.01	0.00665	0.25172		TR
2016	0.68	0.69	0.01	0.00674	0.25846		TR
2016	0.69	0.7	0.01	0.00684	0.2653		TR
2016	0.7	0.71	0.01	0.00694	0.27225		TR
2016	0.71	0.72	0.01	0.00706	0.27931		TR
2016	0.72	0.73	0.01	0.00719	0.28649		TR
2016	0.73	0.74	0.01	0.00733	0.29382		TR
2016	0.74	0.75	0.01	0.00748	0.3013		TR
2016	0.75	0.76	0.01	0.00765	0.30895		TR
2016	0.76	0.77	0.01	0.00784	0.31679		TR
2016	0.77	0.78	0.01	0.00805	0.32483		TR
2016	0.78	0.79	0.01	0.00827	0.33311		TR
2016	0.79	0.8	0.01	0.00853	0.34164		TR
2016	0.8	0.81	0.01	0.00884	0.35048		TR
2016	0.81	0.82	0.01	0.00921	0.35969		TR
2016	0.82	0.83	0.01	0.00967	0.36937		TR
2016	0.83	0.84	0.01	0.01024	0.37961		TR
2016	0.84	0.85	0.01	0.01092	0.39053		TR
2016	0.85	0.86	0.01	0.01173	0.40225		TR
2016	0.86	0.87	0.01	0.0127	0.41495		TR
2016	0.87	0.88	0.01	0.01383	0.42878		TR
2016	0.88	0.89	0.01	0.01518	0.44395		TR
2016	0.89	0.9	0.01	0.01674	0.46069		TR
