year	low	high	width	share	cumul	# sptinc992j	country
2014	0	0.01	0.01	-0.00068	-0.00068		US
2014	0.01	0.02	0.01	-0.00031	-0.00099		US
2014	0.02	0.03	0.01	-0.00011	-0.0011		US
2014	0.03	0.04	0.01	-0.00001	-0.00111		US
2014	0.04	0.05	0.01	0.00005	-0.00106		US
2014	0.05	0.06	0.01	0.00026	-0.0008		US
2014	0.06	0.07	0.01	0.00044	-0.00036		US
2014	0.07	0.08	0.01	0.00061	0.00025		US
2014	0.08	0.09	0.01	0.00078	0.00103		US
2014	0.09	0.1	0.01	0.00091	0.00194		US
2014	0.1	0.11	0.01	0.00104	0.00298		US
2014	0.11	0.12	0.01	0.00116	0.00414		US
2014	0.12	0.13	0.01	0.00126	0.0054		US
2014	0.13	0.14	0.01	0.00135	0.00675		US
2014	0.14	0.15	0.01	0.00144	0.00819		US
2014	0.15	0.16	0.01	0.00154	0.00973		US
2014	0.16	0.17	0.01	0.00163	0.01136		US
2014	0.17	0.18	0.01	0.00173	0.01309		US
2014	0.18	0.19	0.01	0.00182	0.01491		US
2014	0.19	0.2	0.01	0.00193	0.01684		US
2014	0.2	0.21	0.01	0.00203	0.01887		US
2014	0.21	0.22	0.01	0.00213	0.021		US
2014	0.22	0.23	0.01	0.00222	0.02322		US
2014	0.23	0.24	0.01	0.00232	0.02554		US
2014	0.24	0.25	0.01	0.00243	0.02797		US
2014	0.25	0.26	0.01	0.00253	0.0305		US
2014	0.26	0.27	0.01	0.00263	0.03313		US
2014	0.27	0.28	0.01	0.00274	0.03587		US
2014	0.28	0.29	0.01	0.00285	0.03872		US
2014	0.29	0.3	0.01	0.00296	0.04168		US
2014	0.3	0.31	0.01	0.00306	0.04474		US
2014	0.31	0.32	0.01	0.00316	0.0479		US
2014	0.32	0.33	0.01	0.00326	0.05116		US
2014	0.33	0.34	0.01	0.00338	0.05454		US
2014	0.34	0.35	0.01	0.00349	0.05803		US
2014	0.35	0.36	0.01	0.00361	0.06164		US
2014	0.36	0.37	0.01	0.00372	0.06536		US
2014	0.37	0.38	0.01	0.00383	0.06919		US
2014	0.38	0.39	0.01	0.00395	0.07314		US
2014	0.39	0.4	0.01	0.00408	0.07722		US
2014	0.4	0.41	0.01	0.0042	0.08142		US
2014	0.41	0.42	0.01	0.00433	0.08575		US
2014	0.42	0.43	0.01	0.00447	0.09022		US
2014	0.43	0.44	0.01	0.0046	0.09482		US
2014	0.44	0.45	0.01	0.00473	0.09955		US
2014	0.45	0.46	0.01	0.00488	0.10443		US
2014	0.46	0.47	0.01	0.00503	0.10946		US
2014	0.47	0.48	0.01	0.00518	0.11464		US
2014	0.48	0.49	0.01	0.00533	0.11997		US
2014	0.49	0.5	0.01	0.00549	0.12546		US
2014	0.5	0.51	0.01	0.00565	0.13111		US
2014	0.51	0.52	0.01	0.0058	0.13691		US
2014	0.52	0.53	0.01	0.00597	0.14288		US
2014	0.53	0.54	0.01	0.00613	0.14901		US
2014	0.54	0.55	0.01	0.00629	0.1553		US
2014	0.55	0.56	0.01	0.00646	0.16176		US
2014	0.56	0.57	0.01	0.00664	0.1684		US
2014	0.57	0.58	0.01	0.00683	0.17523		US
2014	0.58	0.59	0.01	0.00701	0.18224		US
2014	0.59	0.6	0.01	0.00719	0.18943		US
2014	0.6	0.61	0.01	0.00737	0.1968		US
2014	0.61	0.62	0.01	0.00757	0.20437		US
2014	0.62	0.63	0.01	0.00777	0.21214		US
2014	0.63	0.64	0.01	0.00796	0.2201		US
2014	0.64	0.65	0.01	0.00816	0.22826		US
2014	0.65	0.66	0.01	0.00837	0.23663		US
2014	0.66	0.67	0.01	0.00859	0.24522		US
2014	0.67	0.68	0.01	0.00882	0.25404		US
2014	0.68	0.69	0.01	0.00905	0.26309		US
2014	0.69	0.7	0.01	0.00928	0.27237		US
2014	0.7	0.71	0.01	0.00951	0.28188		US
2014	0.71	0.72	0.01	0.00975	0.29163		US
2014	0.72	0.73	0.01	0.01	0.30163		US
2014	0.73	0.74	0.01	0.01026	0.31189		US
2014	0.74	0.75	0.01	0.01053	0.32242		US
2014	0.75	0.76	0.01	0.01084	0.33326		US
2014	0.76	0.77	0.01	0.01115	0.34441		US
2014	0.77	0.78	0.01	0.0115	0.35591		US
2014	0.78	0.79	0.01	0.01189	0.3678		US
2014	0.79	0.8	0.01	0.01227	0.38007		US
2014	0.8	0.81	0.01	0.01268	0.39275		US
2014	0.81	0.82	0.01	0.01309	0.40584		US
2014	0.82	0.83	0.01	0.01352	0.41936		US
2014	0.83	0.84	0.01	0.01398	0.43334		US
2014	0.84	0.85	0.01	0.01447	0.44781		US
2014	0.85	0.86	0.01	0.01502	0.46283		US
2014	0.86	0.87	0.01	0.01564	0.47847		US
2014	0.87	0.88	0.01	0.01632	0.49479		US
2014	0.88	0.89	0.01	0.0171	0.51189		US
2014	0.89	0.9	0.01	0.01799	0.52988		US
2014	0.9	0.91	0.01	0.01897	0.54885		US
2014	0.91	0.92	0.01	0.02013	0.56898		US
2014	0.92	0.93	0.01	0.02151	0.59049		US
2014	0.93	0.94	0.01	0.02322	0.61371		US
2014	0.94	0.95	0.01	0.02545	0.63916		US
2014	0.95	0.96	0.01	0.02852	0.66768		US
2014	0.96	0.97	0.01	0.03306	0.70074		US
2014	0.97	0.98	0.01	0.04075	0.74149		US
2014	0.98	0.99	0.01	0.05656	0.79805		US
2014	0.99	0.991	0.001	0.00731	0.80536		US
2014	0.991	0.992	0.001	0.00783	0.81319		US
2014	0.992	0.993	0.001	0.00847	0.82166		US
2014	0.993	0.994	0.001	0.00925	0.83091		US
2014	0.994	0.995	0.001	0.01026	0.84117		US
2014	0.995	0.996	0.001	0.0116	0.85277		US
2014	0.996	0.997	0.001	0.01354	0.86631		US
2014	0.997	0.998	0.001	0.01681	0.88312		US
2014	0.998	0.999	0.001	0.02373	0.90685		US
2014	0.999	0.9991	0.0001	0.00315	0.91		US
2014	0.9991	0.9992	0.0001	0.0034	0.9134		US
2014	0.9992	0.9993	0.0001	0.0037	0.9171		US
2014	0.9993	0.9994	0.0001	0.00407	0.92117		US
2014	0.9994	0.9995	0.0001	0.00457	0.92574		US
2014	0.9995	0.9996	0.0001	0.00523	0.93097		US
2014	0.9996	0.9997	0.0001	0.00623	0.9372		US
2014	0.9997	0.9998	0.0001	0.00789	0.94509		US
2014	0.9998	0.9999	0.0001	0.01143	0.95652		US
2014	0.9999	0.99991	0.00001	0.00154	0.95806		US
2014	0.99991	0.99992	0.00001	0.00165	0.95971		US
2014	0.99992	0.99993	0.00001	0.00181	0.96152		US
2014	0.99993	0.99994	0.00001	0.002	0.96352		US
2014	0.99994	0.99995	0.00001	0.00223	0.96575		US
2014	0.99995	0.99996	0.00001	0.0026	0.96835		US
2014	0.99996	0.99997	0.00001	0.00311	0.97146		US
2014	0.99997	0.99998	0.00001	0.00391	0.97537		US
2014	0.99998	0.99999	0.00001	0.00568	0.98105		US
2014	0.99999	1	0.00001	0.019	1.00005		US
2013	0	0.01	0.01	-0.00065	-0.00065		US
2013	0.01	0.02	0.01	-0.00028	-0.00093		US
2013	0.02	0.03	0.01	-0.00008	-0.00101		US
2013	0.03	0.04	0.01	0	-0.00101		US
2013	0.04	0.05	0.01	0.00011	-0.0009		US
2013	0.05	0.06	0.01	0.00031	-0.00059		US
2013	0.06	0.07	0.01	0.00049	-0.0001		US
2013	0.07	0.08	0.01	0.00066	0.00056		US
2013	0.08	0.09	0.01	0.00082	0.00138		US
2013	0.09	0.1	0.01	0.00095	0.00233		US
2013	0.1	0.11	0.01	0.00107	0.0034		US
2013	0.11	0.12	0.01	0.00118	0.00458		US
2013	0.12	0.13	0.01	0.00129	0.00587		US
2013	0.13	0.14	0.01	0.00138	0.00725		US
2013	0.14	0.15	0.01	0.00149	0.00874		US
2013	0.15	0.16	0.01	0.00159	0.01033		US
2013	0.16	0.17	0.01	0.00168	0.01201		US
2013	0.17	0.18	0.01	0.00177	0.01378		US
2013	0.18	0.19	0.01	0.00186	0.01564		US
2013	0.19	0.2	0.01	0.00196	0.0176		US
2013	0.2	0.21	0.01	0.00205	0.01965		US
2013	0.21	0.22	0.01	0.00214	0.02179		US
2013	0.22	0.23	0.01	0.00224	0.02403		US
2013	0.23	0.24	0.01	0.00234	0.02637		US
2013	0.24	0.25	0.01	0.00244	0.02881		US
2013	0.25	0.26	0.01	0.00253	0.03134		US
2013	0.26	0.27	0.01	0.00264	0.03398		US
2013	0.27	0.28	0.01	0.00274	0.03672		US
2013	0.28	0.29	0.01	0.00284	0.03956		US
2013	0.29	0.3	0.01	0.00297	0.04253		US
2013	0.3	0.31	0.01	0.00307	0.0456		US
2013	0.31	0.32	0.01	0.00317	0.04877		US
2013	0.32	0.33	0.01	0.00328	0.05205		US
2013	0.33	0.34	0.01	0.00339	0.05544		US
2013	0.34	0.35	0.01	0.00352	0.05896		US
2013	0.35	0.36	0.01	0.00364	0.0626		US
2013	0.36	0.37	0.01	0.00377	0.06637		US
2013	0.37	0.38	0.01	0.0039	0.07027		US
2013	0.38	0.39	0.01	0.00404	0.07431		US
2013	0.39	0.4	0.01	0.00416	0.07847		US
2013	0.4	0.41	0.01	0.00428	0.08275		US
2013	0.41	0.42	0.01	0.00442	0.08717		US
2013	0.42	0.43	0.01	0.00456	0.09173		US
2013	0.43	0.44	0.01	0.00469	0.09642		US
2013	0.44	0.45	0.01	0.00483	0.10125		US
2013	0.45	0.46	0.01	0.00498	0.10623		US
2013	0.46	0.47	0.01	0.00513	0.11136		US
2013	0.47	0.48	0.01	0.00528	0.11664		US
2013	0.48	0.49	0.01	0.00544	0.12208		US
2013	0.49	0.5	0.01	0.0056	0.12768		US
2013	0.5	0.51	0.01	0.00575	0.13343		US
2013	0.51	0.52	0.01	0.00591	0.13934		US
2013	0.52	0.53	0.01	0.00607	0.14541		US
2013	0.53	0.54	0.01	0.00623	0.15164		US
2013	0.54	0.55	0.01	0.0064	0.15804		US
2013	0.55	0.56	0.01	0.00657	0.16461		US
2013	0.56	0.57	0.01	0.00676	0.17137		US
2013	0.57	0.58	0.01	0.00694	0.17831		US
2013	0.58	0.59	0.01	0.00712	0.18543		US
2013	0.59	0.6	0.01	0.0073	0.19273		US
2013	0.6	0.61	0.01	0.0075	0.20023		US
2013	0.61	0.62	0.01	0.00769	0.20792		US
2013	0.62	0.63	0.01	0.00788	0.2158		US
2013	0.63	0.64	0.01	0.00807	0.22387		US
2013	0.64	0.65	0.01	0.00828	0.23215		US
2013	0.65	0.66	0.01	0.00849	0.24064		US
2013	0.66	0.67	0.01	0.00871	0.24935		US
2013	0.67	0.68	0.01	0.00893	0.25828		US
2013	0.68	0.69	0.01	0.00917	0.26745		US
2013	0.69	0.7	0.01	0.00939	0.27684		US
2013	0.7	0.71	0.01	0.00963	0.28647		US
2013	0.71	0.72	0.01	0.00987	0.29634		US
2013	0.72	0.73	0.01	0.01013	0.30647		US
2013	0.73	0.74	0.01	0.01041	0.31688		US
2013	0.74	0.75	0.01	0.01069	0.32757		US
2013	0.75	0.76	0.01	0.01099	0.33856		US
2013	0.76	0.77	0.01	0.01131	0.34987		US
2013	0.77	0.78	0.01	0.01165	0.36152		US
2013	0.78	0.79	0.01	0.01202	0.37354		US
2013	0.79	0.8	0.01	0.01239	0.38593		US
2013	0.8	0.81	0.01	0.01279	0.39872		US
2013	0.81	0.82	0.01	0.01322	0.41194		US
2013	0.82	0.83	0.01	0.01365	0.42559		US
2013	0.83	0.84	0.01	0.0141	0.43969		US
2013	0.84	0.85	0.01	0.01458	0.45427		US
2013	0.85	0.86	0.01	0.01513	0.4694		US
2013	0.86	0.87	0.01	0.01573	0.48513		US
2013	0.87	0.88	0.01	0.01642	0.50155		US
2013	0.88	0.89	0.01	0.0172	0.51875		US
2013	0.89	0.9	0.01	0.01806	0.53681		US
2013	0.9	0.91	0.01	0.01902	0.55583		US
2013	0.91	0.92	0.01	0.02017	0.576		US
2013	0.92	0.93	0.01	0.02155	0.59755		US
2013	0.93	0.94	0.01	0.02326	0.62081		US
2013	0.94	0.95	0.01	0.02539	0.6462		US
2013	0.95	0.96	0.01	0.02843	0.67463		US
2013	0.96	0.97	0.01	0.03295	0.70758		US
2013	0.97	0.98	0.01	0.04049	0.74807		US
2013	0.98	0.99	0.01	0.05598	0.80405		US
2013	0.99	0.991	0.001	0.00721	0.81126		US
2013	0.991	0.992	0.001	0.00771	0.81897		US
2013	0.992	0.993	0.001	0.00834	0.82731		US
2013	0.993	0.994	0.001	0.0091	0.83641		US
2013	0.994	0.995	0.001	0.01008	0.84649		US
2013	0.995	0.996	0.001	0.0114	0.85789		US
2013	0.996	0.997	0.001	0.01334	0.87123		US
2013	0.997	0.998	0.001	0.01644	0.88767		US
2013	0.998	0.999	0.001	0.02301	0.91068		US
2013	0.999	0.9991	0.0001	0.00302	0.9137		US
2013	0.9991	0.9992	0.0001	0.00326	0.91696		US
2013	0.9992	0.9993	0.0001	0.00353	0.92049		US
2013	0.9993	0.9994	0.0001	0.0039	0.92439		US
2013	0.9994	0.9995	0.0001	0.00438	0.92877		US
2013	0.9995	0.9996	0.0001	0.00502	0.93379		US
2013	0.9996	0.9997	0.0001	0.00597	0.93976		US
2013	0.9997	0.9998	0.0001	0.0075	0.94726		US
2013	0.9998	0.9999	0.0001	0.01082	0.95808		US
2013	0.9999	0.99991	0.00001	0.00146	0.95954		US
2013	0.99991	0.99992	0.00001	0.00158	0.96112		US
2013	0.99992	0.99993	0.00001	0.00171	0.96283		US
2013	0.99993	0.99994	0.00001	0.00191	0.96474		US
2013	0.99994	0.99995	0.00001	0.00213	0.96687		US
2013	0.99995	0.99996	0.00001	0.00247	0.96934		US
2013	0.99996	0.99997	0.00001	0.00297	0.97231		US
2013	0.99997	0.99998	0.00001	0.00374	0.97605		US
2013	0.99998	0.99999	0.00001	0.00547	0.98152		US
2013	0.99999	1	0.00001	0.01845	0.99997		US
2012	0	0.01	0.01	-0.00075	-0.00075		US
2012	0.01	0.02	0.01	-0.00033	-0.00108		US
2012	0.02	0.03	0.01	-0.00013	-0.00121		US
2012	0.03	0.04	0.01	0	-0.00121		US
2012	0.04	0.05	0.01	0.00005	-0.00116		US
2012	0.05	0.06	0.01	0.00025	-0.00091		US
2012	0.06	0.07	0.01	0.00043	-0.00048		US
2012	0.07	0.08	0.01	0.0006	0.00012		US
2012	0.08	0.09	0.01	0.00075	0.00087		US
2012	0.09	0.1	0.01	0.00089	0.00176		US
2012	0.1	0.11	0.01	0.00101	0.00277		US
2012	0.11	0.12	0.01	0.00112	0.00389		US
2012	0.12	0.13	0.01	0.00123	0.00512		US
2012	0.13	0.14	0.01	0.00133	0.00645		US
2012	0.14	0.15	0.01	0.00143	0.00788		US
2012	0.15	0.16	0.01	0.00152	0.0094		US
2012	0.16	0.17	0.01	0.00161	0.01101		US
2012	0.17	0.18	0.01	0.0017	0.01271		US
2012	0.18	0.19	0.01	0.00179	0.0145		US
2012	0.19	0.2	0.01	0.00188	0.01638		US
2012	0.2	0.21	0.01	0.00197	0.01835		US
2012	0.21	0.22	0.01	0.00206	0.02041		US
2012	0.22	0.23	0.01	0.00216	0.02257		US
2012	0.23	0.24	0.01	0.00226	0.02483		US
2012	0.24	0.25	0.01	0.00236	0.02719		US
2012	0.25	0.26	0.01	0.00246	0.02965		US
2012	0.26	0.27	0.01	0.00256	0.03221		US
2012	0.27	0.28	0.01	0.00266	0.03487		US
2012	0.28	0.29	0.01	0.00277	0.03764		US
2012	0.29	0.3	0.01	0.00287	0.04051		US
2012	0.3	0.31	0.01	0.00298	0.04349		US
2012	0.31	0.32	0.01	0.00309	0.04658		US
2012	0.32	0.33	0.01	0.0032	0.04978		US
2012	0.33	0.34	0.01	0.00332	0.0531		US
2012	0.34	0.35	0.01	0.00343	0.05653		US
2012	0.35	0.36	0.01	0.00356	0.06009		US
2012	0.36	0.37	0.01	0.00367	0.06376		US
2012	0.37	0.38	0.01	0.0038	0.06756		US
2012	0.38	0.39	0.01	0.00392	0.07148		US
2012	0.39	0.4	0.01	0.00405	0.07553		US
2012	0.4	0.41	0.01	0.00418	0.07971		US
2012	0.41	0.42	0.01	0.00431	0.08402		US
2012	0.42	0.43	0.01	0.00444	0.08846		US
