year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	0.0003	0.0003		XF-MER
2016	0.01	0.02	0.01	0.0007	0.001		XF-MER
2016	0.02	0.03	0.01	0.0008	0.0018		XF-MER
2016	0.03	0.04	0.01	0.0009	0.0027		XF-MER
2016	0.04	0.05	0.01	0.001	0.0037		XF-MER
2016	0.05	0.06	0.01	0.0011	0.0048		XF-MER
2016	0.06	0.07	0.01	0.0012	0.006		XF-MER
2016	0.07	0.08	0.01	0.0013	0.0073		XF-MER
2016	0.08	0.09	0.01	0.0014	0.0087		XF-MER
2016	0.09	0.1	0.01	0.0014	0.0101		XF-MER
2016	0.1	0.11	0.01	0.0015	0.0116		XF-MER
2016	0.11	0.12	0.01	0.0016	0.0132		XF-MER
2016	0.12	0.13	0.01	0.0016	0.0148		XF-MER
2016	0.13	0.14	0.01	0.0017	0.0165		XF-MER
2016	0.14	0.15	0.01	0.0018	0.0183		XF-MER
2016	0.15	0.16	0.01	0.0018	0.0201		XF-MER
2016	0.16	0.17	0.01	0.0019	0.022		XF-MER
2016	0.17	0.18	0.01	0.002	0.024		XF-MER
2016	0.18	0.19	0.01	0.002	0.026		XF-MER
2016	0.19	0.2	0.01	0.0021	0.0281		XF-MER
2016	0.2	0.21	0.01	0.0021	0.0302		XF-MER
2016	0.21	0.22	0.01	0.0022	0.0324		XF-MER
2016	0.22	0.23	0.01	0.0023	0.0347		XF-MER
2016	0.23	0.24	0.01	0.0023	0.037		XF-MER
2016	0.24	0.25	0.01	0.0024	0.0394		XF-MER
2016	0.25	0.26	0.01	0.0024	0.0418		XF-MER
2016	0.26	0.27	0.01	0.0025	0.0443		XF-MER
2016	0.27	0.28	0.01	0.0026	0.0469		XF-MER
2016	0.28	0.29	0.01	0.0026	0.0495		XF-MER
2016	0.29	0.3	0.01	0.0027	0.0522		XF-MER
2016	0.3	0.31	0.01	0.0028	0.055		XF-MER
2016	0.31	0.32	0.01	0.0028	0.0578		XF-MER
2016	0.32	0.33	0.01	0.0029	0.0607		XF-MER
2016	0.33	0.34	0.01	0.003	0.0637		XF-MER
2016	0.34	0.35	0.01	0.003	0.0667		XF-MER
2016	0.35	0.36	0.01	0.0031	0.0698		XF-MER
2016	0.36	0.37	0.01	0.0032	0.073		XF-MER
2016	0.37	0.38	0.01	0.0032	0.0762		XF-MER
2016	0.38	0.39	0.01	0.0033	0.0795		XF-MER
2016	0.39	0.4	0.01	0.0034	0.0829		XF-MER
