year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	0.0001	0.0001		XL-MER
2016	0.01	0.02	0.01	0.0002	0.0003		XL-MER
2016	0.02	0.03	0.01	0.0002	0.0005		XL-MER
2016	0.03	0.04	0.01	0.0002	0.0007		XL-MER
2016	0.04	0.05	0.01	0.0002	0.0009		XL-MER
2016	0.05	0.06	0.01	0.0002	0.0011		XL-MER
2016	0.06	0.07	0.01	0.0002	0.0013		XL-MER
2016	0.07	0.08	0.01	0.0002	0.0015		XL-MER
2016	0.08	0.09	0.01	0.0003	0.0018		XL-MER
2016	0.09	0.1	0.01	0.0003	0.0021		XL-MER
2016	0.1	0.11	0.01	0.0004	0.0025		XL-MER
2016	0.11	0.12	0.01	0.0006	0.0031		XL-MER
2016	0.12	0.13	0.01	0.0009	0.004		XL-MER
2016	0.13	0.14	0.01	0.0013	0.0053		XL-MER
2016	0.14	0.15	0.01	0.0016	0.0069		XL-MER
2016	0.15	0.16	0.01	0.0019	0.0088		XL-MER
2016	0.16	0.17	0.01	0.002	0.0108		XL-MER
2016	0.17	0.18	0.01	0.002	0.0128		XL-MER
2016	0.18	0.19	0.01	0.0021	0.0149		XL-MER
2016	0.19	0.2	0.01	0.0021	0.017		XL-MER
2016	0.2	0.21	0.01	0.0021	0.0191		XL-MER
2016	0.21	0.22	0.01	0.0022	0.0213		XL-MER
2016	0.22	0.23	0.01	0.0023	0.0236		XL-MER
2016	0.23	0.24	0.01	0.0025	0.0261		XL-MER
2016	0.24	0.25	0.01	0.0026	0.0287		XL-MER
2016	0.25	0.26	0.01	0.0028	0.0315		XL-MER
2016	0.26	0.27	0.01	0.003	0.0345		XL-MER
2016	0.27	0.28	0.01	0.0031	0.0376		XL-MER
2016	0.28	0.29	0.01	0.0033	0.0409		XL-MER
2016	0.29	0.3	0.01	0.0033	0.0442		XL-MER
2016	0.3	0.31	0.01	0.0034	0.0476		XL-MER
2016	0.31	0.32	0.01	0.0035	0.0511		XL-MER
2016	0.32	0.33	0.01	0.0036	0.0547		XL-MER
2016	0.33	0.34	0.01	0.0036	0.0583		XL-MER
2016	0.34	0.35	0.01	0.0036	0.0619		XL-MER
2016	0.35	0.36	0.01	0.0036	0.0655		XL-MER
2016	0.36	0.37	0.01	0.0036	0.0691		XL-MER
2016	0.37	0.38	0.01	0.0037	0.0728		XL-MER
2016	0.38	0.39	0.01	0.0037	0.0765		XL-MER
2016	0.39	0.4	0.01	0.0037	0.0802		XL-MER
2016	0.4	0.41	0.01	0.0038	0.084		XL-MER
2016	0.41	0.42	0.01	0.0039	0.0879		XL-MER
2016	0.42	0.43	0.01	0.004	0.0919		XL-MER
2016	0.43	0.44	0.01	0.0041	0.096		XL-MER
2016	0.44	0.45	0.01	0.0042	0.1002		XL-MER
2016	0.45	0.46	0.01	0.0043	0.1045		XL-MER
2016	0.46	0.47	0.01	0.0044	0.1089		XL-MER
2016	0.47	0.48	0.01	0.0045	0.1134		XL-MER
2016	0.48	0.49	0.01	0.0046	0.118		XL-MER
2016	0.49	0.5	0.01	0.0045	0.1225		XL-MER
2016	0.5	0.51	0.01	0.0048	0.1273		XL-MER
2016	0.51	0.52	0.01	0.0049	0.1322		XL-MER
2016	0.52	0.53	0.01	0.005	0.1372		XL-MER
2016	0.53	0.54	0.01	0.0051	0.1423		XL-MER
2016	0.54	0.55	0.01	0.0052	0.1475		XL-MER
2016	0.55	0.56	0.01	0.0053	0.1528		XL-MER
2016	0.56	0.57	0.01	0.0054	0.1582		XL-MER
2016	0.57	0.58	0.01	0.0056	0.1638		XL-MER
2016	0.58	0.59	0.01	0.0057	0.1695		XL-MER
2016	0.59	0.6	0.01	0.0058	0.1753		XL-MER
2016	0.6	0.61	0.01	0.006	0.1813		XL-MER
2016	0.61	0.62	0.01	0.0061	0.1874		XL-MER
2016	0.62	0.63	0.01	0.0063	0.1937		XL-MER
2016	0.63	0.64	0.01	0.0064	0.2001		XL-MER
2016	0.64	0.65	0.01	0.0066	0.2067		XL-MER
2016	0.65	0.66	0.01	0.0068	0.2135		XL-MER
2016	0.66	0.67	0.01	0.0069	0.2204		XL-MER
2016	0.67	0.68	0.01	0.0071	0.2275		XL-MER
2016	0.68	0.69	0.01	0.0072	0.2347		XL-MER
2016	0.69	0.7	0.01	0.0072	0.2419		XL-MER
2016	0.7	0.71	0.01	0.0075	0.2494		XL-MER
2016	0.71	0.72	0.01	0.0077	0.2571		XL-MER
2016	0.72	0.73	0.01	0.0078	0.2649		XL-MER
2016	0.73	0.74	0.01	0.008	0.2729		XL-MER
2016	0.74	0.75	0.01	0.0083	0.2812		XL-MER
2016	0.75	0.76	0.01	0.0085	0.2897		XL-MER
2016	0.76	0.77	0.01	0.0088	0.2985		XL-MER
2016	0.77	0.78	0.01	0.009	0.3075		XL-MER
2016	0.78	0.79	0.01	0.0093	0.3168		XL-MER
2016	0.79	0.8	0.01	0.0095	0.3263		XL-MER
2016	0.8	0.81	0.01	0.0099	0.3362		XL-MER
2016	0.81	0.82	0.01	0.0102	0.3464		XL-MER
2016	0.82	0.83	0.01	0.0105	0.3569		XL-MER
2016	0.83	0.84	0.01	0.0109	0.3678		XL-MER
2016	0.84	0.85	0.01	0.0114	0.3792		XL-MER
2016	0.85	0.86	0.01	0.0119	0.3911		XL-MER
2016	0.86	0.87	0.01	0.0125	0.4036		XL-MER
2016	0.87	0.88	0.01	0.0133	0.4169		XL-MER
2016	0.88	0.89	0.01	0.0143	0.4312		XL-MER
2016	0.89	0.9	0.01	0.0155	0.4467		XL-MER
2016	0.9	0.91	0.01	0.0169	0.4636		XL-MER
2016	0.91	0.92	0.01	0.0185	0.4821		XL-MER
2016	0.92	0.93	0.01	0.0204	0.5025		XL-MER
2016	0.93	0.94	0.01	0.0228	0.5253		XL-MER
2016	0.94	0.95	0.01	0.0257	0.551		XL-MER
2016	0.95	0.96	0.01	0.0296	0.5806		XL-MER
2016	0.96	0.97	0.01	0.0351	0.6157		XL-MER
2016	0.97	0.98	0.01	0.0438	0.6595		XL-MER
2016	0.98	0.99	0.01	0.0621	0.7216		XL-MER
2016	0.99	0.991	0.001	0.0083	0.7299		XL-MER
2016	0.991	0.992	0.001	0.009	0.7389		XL-MER
2016	0.992	0.993	0.001	0.0098	0.7487		XL-MER
2016	0.993	0.994	0.001	0.0109	0.7596		XL-MER
2016	0.994	0.995	0.001	0.0122	0.7718		XL-MER
2016	0.995	0.996	0.001	0.0141	0.7859		XL-MER
2016	0.996	0.997	0.001	0.0169	0.8028		XL-MER
2016	0.997	0.998	0.001	0.0216	0.8244		XL-MER
2016	0.998	0.999	0.001	0.0315	0.8559		XL-MER
2016	0.999	0.9991	0.0001	0.0043	0.8602		XL-MER
2016	0.9991	0.9992	0.0001	0.0046	0.8648		XL-MER
2016	0.9992	0.9993	0.0001	0.0051	0.8699		XL-MER
2016	0.9993	0.9994	0.0001	0.0056	0.8755		XL-MER
2016	0.9994	0.9995	0.0001	0.0063	0.8818		XL-MER
2016	0.9995	0.9996	0.0001	0.0073	0.8891		XL-MER
2016	0.9996	0.9997	0.0001	0.0087	0.8978		XL-MER
2016	0.9997	0.9998	0.0001	0.0112	0.909		XL-MER
2016	0.9998	0.9999	0.0001	0.0163	0.9253		XL-MER
2016	0.9999	0.99991	0.00001	0.0022	0.9275		XL-MER
2016	0.99991	0.99992	0.00001	0.0024	0.9299		XL-MER
2016	0.99992	0.99993	0.00001	0.0026	0.9325		XL-MER
2016	0.99993	0.99994	0.00001	0.0029	0.9354		XL-MER
2016	0.99994	0.99995	0.00001	0.0033	0.9387		XL-MER
2016	0.99995	0.99996	0.00001	0.0038	0.9425		XL-MER
2016	0.99996	0.99997	0.00001	0.0045	0.947		XL-MER
2016	0.99997	0.99998	0.00001	0.0058	0.9528		XL-MER
2016	0.99998	0.99999	0.00001	0.0085	0.9613		XL-MER
2016	0.99999	1	0.00001	0.0387	1		XL-MER
2015	0	0.01	0.01	0.0001	0.0001		XL-MER
2015	0.01	0.02	0.01	0.0002	0.0003		XL-MER
2015	0.02	0.03	0.01	0.0002	0.0005		XL-MER
2015	0.03	0.04	0.01	0.0002	0.0007		XL-MER
2015	0.04	0.05	0.01	0.0002	0.0009		XL-MER
2015	0.05	0.06	0.01	0.0002	0.0011		XL-MER
2015	0.06	0.07	0.01	0.0002	0.0013		XL-MER
2015	0.07	0.08	0.01	0.0002	0.0015		XL-MER
2015	0.08	0.09	0.01	0.0003	0.0018		XL-MER
2015	0.09	0.1	0.01	0.0003	0.0021		XL-MER
2015	0.1	0.11	0.01	0.0004	0.0025		XL-MER
2015	0.11	0.12	0.01	0.0006	0.0031		XL-MER
2015	0.12	0.13	0.01	0.0009	0.004		XL-MER
2015	0.13	0.14	0.01	0.0013	0.0053		XL-MER
2015	0.14	0.15	0.01	0.0016	0.0069		XL-MER
2015	0.15	0.16	0.01	0.0019	0.0088		XL-MER
2015	0.16	0.17	0.01	0.002	0.0108		XL-MER
2015	0.17	0.18	0.01	0.002	0.0128		XL-MER
2015	0.18	0.19	0.01	0.002	0.0148		XL-MER
2015	0.19	0.2	0.01	0.0022	0.017		XL-MER
2015	0.2	0.21	0.01	0.0021	0.0191		XL-MER
2015	0.21	0.22	0.01	0.0022	0.0213		XL-MER
2015	0.22	0.23	0.01	0.0023	0.0236		XL-MER
2015	0.23	0.24	0.01	0.0025	0.0261		XL-MER
2015	0.24	0.25	0.01	0.0026	0.0287		XL-MER
2015	0.25	0.26	0.01	0.0028	0.0315		XL-MER
2015	0.26	0.27	0.01	0.003	0.0345		XL-MER
2015	0.27	0.28	0.01	0.0031	0.0376		XL-MER
2015	0.28	0.29	0.01	0.0033	0.0409		XL-MER
2015	0.29	0.3	0.01	0.0033	0.0442		XL-MER
2015	0.3	0.31	0.01	0.0034	0.0476		XL-MER
2015	0.31	0.32	0.01	0.0035	0.0511		XL-MER
2015	0.32	0.33	0.01	0.0035	0.0546		XL-MER
2015	0.33	0.34	0.01	0.0036	0.0582		XL-MER
2015	0.34	0.35	0.01	0.0036	0.0618		XL-MER
2015	0.35	0.36	0.01	0.0036	0.0654		XL-MER
2015	0.36	0.37	0.01	0.0036	0.069		XL-MER
2015	0.37	0.38	0.01	0.0037	0.0727		XL-MER
2015	0.38	0.39	0.01	0.0037	0.0764		XL-MER
2015	0.39	0.4	0.01	0.0038	0.0802		XL-MER
2015	0.4	0.41	0.01	0.0038	0.084		XL-MER
2015	0.41	0.42	0.01	0.0039	0.0879		XL-MER
2015	0.42	0.43	0.01	0.004	0.0919		XL-MER
2015	0.43	0.44	0.01	0.0041	0.096		XL-MER
2015	0.44	0.45	0.01	0.0042	0.1002		XL-MER
2015	0.45	0.46	0.01	0.0043	0.1045		XL-MER
2015	0.46	0.47	0.01	0.0044	0.1089		XL-MER
2015	0.47	0.48	0.01	0.0045	0.1134		XL-MER
2015	0.48	0.49	0.01	0.0046	0.118		XL-MER
2015	0.49	0.5	0.01	0.0045	0.1225		XL-MER
2015	0.5	0.51	0.01	0.0048	0.1273		XL-MER
2015	0.51	0.52	0.01	0.0049	0.1322		XL-MER
2015	0.52	0.53	0.01	0.005	0.1372		XL-MER
2015	0.53	0.54	0.01	0.0051	0.1423		XL-MER
2015	0.54	0.55	0.01	0.0052	0.1475		XL-MER
2015	0.55	0.56	0.01	0.0053	0.1528		XL-MER
2015	0.56	0.57	0.01	0.0054	0.1582		XL-MER
2015	0.57	0.58	0.01	0.0056	0.1638		XL-MER
2015	0.58	0.59	0.01	0.0057	0.1695		XL-MER
2015	0.59	0.6	0.01	0.0058	0.1753		XL-MER
2015	0.6	0.61	0.01	0.006	0.1813		XL-MER
2015	0.61	0.62	0.01	0.0061	0.1874		XL-MER
2015	0.62	0.63	0.01	0.0063	0.1937		XL-MER
2015	0.63	0.64	0.01	0.0064	0.2001		XL-MER
2015	0.64	0.65	0.01	0.0066	0.2067		XL-MER
2015	0.65	0.66	0.01	0.0067	0.2134		XL-MER
2015	0.66	0.67	0.01	0.0069	0.2203		XL-MER
2015	0.67	0.68	0.01	0.007	0.2273		XL-MER
2015	0.68	0.69	0.01	0.0072	0.2345		XL-MER
2015	0.69	0.7	0.01	0.0074	0.2419		XL-MER
2015	0.7	0.71	0.01	0.0075	0.2494		XL-MER
2015	0.71	0.72	0.01	0.0077	0.2571		XL-MER
2015	0.72	0.73	0.01	0.0078	0.2649		XL-MER
2015	0.73	0.74	0.01	0.008	0.2729		XL-MER
2015	0.74	0.75	0.01	0.0083	0.2812		XL-MER
2015	0.75	0.76	0.01	0.0085	0.2897		XL-MER
2015	0.76	0.77	0.01	0.0088	0.2985		XL-MER
2015	0.77	0.78	0.01	0.009	0.3075		XL-MER
2015	0.78	0.79	0.01	0.0093	0.3168		XL-MER
2015	0.79	0.8	0.01	0.0095	0.3263		XL-MER
2015	0.8	0.81	0.01	0.0099	0.3362		XL-MER
2015	0.81	0.82	0.01	0.0102	0.3464		XL-MER
2015	0.82	0.83	0.01	0.0105	0.3569		XL-MER
2015	0.83	0.84	0.01	0.0109	0.3678		XL-MER
2015	0.84	0.85	0.01	0.0114	0.3792		XL-MER
2015	0.85	0.86	0.01	0.0119	0.3911		XL-MER
2015	0.86	0.87	0.01	0.0125	0.4036		XL-MER
2015	0.87	0.88	0.01	0.0133	0.4169		XL-MER
2015	0.88	0.89	0.01	0.0143	0.4312		XL-MER
2015	0.89	0.9	0.01	0.0155	0.4467		XL-MER
2015	0.9	0.91	0.01	0.0169	0.4636		XL-MER
2015	0.91	0.92	0.01	0.0185	0.4821		XL-MER
2015	0.92	0.93	0.01	0.0204	0.5025		XL-MER
