year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	0.0001	0.0001		XL
2016	0.01	0.02	0.01	0.0002	0.0003		XL
2016	0.02	0.03	0.01	0.0002	0.0005		XL
2016	0.03	0.04	0.01	0.0002	0.0007		XL
2016	0.04	0.05	0.01	0.0002	0.0009		XL
2016	0.05	0.06	0.01	0.0002	0.0011		XL
2016	0.06	0.07	0.01	0.0002	0.0013		XL
2016	0.07	0.08	0.01	0.0002	0.0015		XL
2016	0.08	0.09	0.01	0.0003	0.0018		XL
2016	0.09	0.1	0.01	0.0003	0.0021		XL
2016	0.1	0.11	0.01	0.0004	0.0025		XL
2016	0.11	0.12	0.01	0.0006	0.0031		XL
2016	0.12	0.13	0.01	0.0009	0.004		XL
2016	0.13	0.14	0.01	0.0013	0.0053		XL
2016	0.14	0.15	0.01	0.0016	0.0069		XL
2016	0.15	0.16	0.01	0.0018	0.0087		XL
2016	0.16	0.17	0.01	0.0019	0.0106		XL
2016	0.17	0.18	0.01	0.002	0.0126		XL
2016	0.18	0.19	0.01	0.0021	0.0147		XL
2016	0.19	0.2	0.01	0.0021	0.0168		XL
2016	0.2	0.21	0.01	0.0022	0.019		XL
2016	0.21	0.22	0.01	0.0022	0.0212		XL
2016	0.22	0.23	0.01	0.0023	0.0235		XL
2016	0.23	0.24	0.01	0.0025	0.026		XL
2016	0.24	0.25	0.01	0.0026	0.0286		XL
2016	0.25	0.26	0.01	0.0028	0.0314		XL
2016	0.26	0.27	0.01	0.0029	0.0343		XL
2016	0.27	0.28	0.01	0.0031	0.0374		XL
2016	0.28	0.29	0.01	0.0032	0.0406		XL
2016	0.29	0.3	0.01	0.0032	0.0438		XL
2016	0.3	0.31	0.01	0.0033	0.0471		XL
2016	0.31	0.32	0.01	0.0033	0.0504		XL
2016	0.32	0.33	0.01	0.0034	0.0538		XL
2016	0.33	0.34	0.01	0.0035	0.0573		XL
2016	0.34	0.35	0.01	0.0036	0.0609		XL
2016	0.35	0.36	0.01	0.0037	0.0646		XL
2016	0.36	0.37	0.01	0.0037	0.0683		XL
2016	0.37	0.38	0.01	0.0038	0.0721		XL
2016	0.38	0.39	0.01	0.0038	0.0759		XL
2016	0.39	0.4	0.01	0.0039	0.0798		XL
2016	0.4	0.41	0.01	0.0039	0.0837		XL
2016	0.41	0.42	0.01	0.0039	0.0876		XL
2016	0.42	0.43	0.01	0.004	0.0916		XL
2016	0.43	0.44	0.01	0.0041	0.0957		XL
2016	0.44	0.45	0.01	0.0041	0.0998		XL
2016	0.45	0.46	0.01	0.0042	0.104		XL
2016	0.46	0.47	0.01	0.0044	0.1084		XL
2016	0.47	0.48	0.01	0.0045	0.1129		XL
2016	0.48	0.49	0.01	0.0046	0.1175		XL
2016	0.49	0.5	0.01	0.0044	0.1219		XL
2016	0.5	0.51	0.01	0.0048	0.1267		XL
2016	0.51	0.52	0.01	0.0049	0.1316		XL
2016	0.52	0.53	0.01	0.005	0.1366		XL
2016	0.53	0.54	0.01	0.0051	0.1417		XL
2016	0.54	0.55	0.01	0.0052	0.1469		XL
2016	0.55	0.56	0.01	0.0053	0.1522		XL
2016	0.56	0.57	0.01	0.0054	0.1576		XL
2016	0.57	0.58	0.01	0.0056	0.1632		XL
2016	0.58	0.59	0.01	0.0057	0.1689		XL
2016	0.59	0.6	0.01	0.0057	0.1746		XL
2016	0.6	0.61	0.01	0.006	0.1806		XL
2016	0.61	0.62	0.01	0.0061	0.1867		XL
2016	0.62	0.63	0.01	0.0062	0.1929		XL
2016	0.63	0.64	0.01	0.0064	0.1993		XL
2016	0.64	0.65	0.01	0.0065	0.2058		XL
2016	0.65	0.66	0.01	0.0067	0.2125		XL
2016	0.66	0.67	0.01	0.0069	0.2194		XL
2016	0.67	0.68	0.01	0.007	0.2264		XL
2016	0.68	0.69	0.01	0.0072	0.2336		XL
2016	0.69	0.7	0.01	0.0073	0.2409		XL
2016	0.7	0.71	0.01	0.0075	0.2484		XL
2016	0.71	0.72	0.01	0.0077	0.2561		XL
2016	0.72	0.73	0.01	0.0079	0.264		XL
2016	0.73	0.74	0.01	0.0081	0.2721		XL
2016	0.74	0.75	0.01	0.0083	0.2804		XL
2016	0.75	0.76	0.01	0.0085	0.2889		XL
2016	0.76	0.77	0.01	0.0087	0.2976		XL
2016	0.77	0.78	0.01	0.009	0.3066		XL
2016	0.78	0.79	0.01	0.0093	0.3159		XL
2016	0.79	0.8	0.01	0.0095	0.3254		XL
2016	0.8	0.81	0.01	0.0099	0.3353		XL
2016	0.81	0.82	0.01	0.0102	0.3455		XL
2016	0.82	0.83	0.01	0.0106	0.3561		XL
2016	0.83	0.84	0.01	0.011	0.3671		XL
2016	0.84	0.85	0.01	0.0114	0.3785		XL
2016	0.85	0.86	0.01	0.0119	0.3904		XL
2016	0.86	0.87	0.01	0.0126	0.403		XL
