year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	0	0		XM
2016	0.01	0.02	0.01	0.0003	0.0003		XM
2016	0.02	0.03	0.01	0.0004	0.0007		XM
2016	0.03	0.04	0.01	0.0005	0.0012		XM
2016	0.04	0.05	0.01	0.0006	0.0018		XM
2016	0.05	0.06	0.01	0.0007	0.0025		XM
2016	0.06	0.07	0.01	0.0008	0.0033		XM
2016	0.07	0.08	0.01	0.0009	0.0042		XM
2016	0.08	0.09	0.01	0.001	0.0052		XM
2016	0.09	0.1	0.01	0.001	0.0062		XM
2016	0.1	0.11	0.01	0.0011	0.0073		XM
2016	0.11	0.12	0.01	0.0012	0.0085		XM
2016	0.12	0.13	0.01	0.0012	0.0097		XM
2016	0.13	0.14	0.01	0.0013	0.011		XM
2016	0.14	0.15	0.01	0.0013	0.0123		XM
2016	0.15	0.16	0.01	0.0014	0.0137		XM
2016	0.16	0.17	0.01	0.0014	0.0151		XM
2016	0.17	0.18	0.01	0.0015	0.0166		XM
2016	0.18	0.19	0.01	0.0015	0.0181		XM
2016	0.19	0.2	0.01	0.0015	0.0196		XM
2016	0.2	0.21	0.01	0.0016	0.0212		XM
2016	0.21	0.22	0.01	0.0017	0.0229		XM
2016	0.22	0.23	0.01	0.0017	0.0246		XM
2016	0.23	0.24	0.01	0.0018	0.0264		XM
2016	0.24	0.25	0.01	0.0019	0.0283		XM
2016	0.25	0.26	0.01	0.0019	0.0302		XM
2016	0.26	0.27	0.01	0.002	0.0322		XM
2016	0.27	0.28	0.01	0.002	0.0342		XM
2016	0.28	0.29	0.01	0.0021	0.0363		XM
2016	0.29	0.3	0.01	0.0021	0.0384		XM
2016	0.3	0.31	0.01	0.0022	0.0406		XM
2016	0.31	0.32	0.01	0.0022	0.0428		XM
2016	0.32	0.33	0.01	0.0023	0.0451		XM
2016	0.33	0.34	0.01	0.0024	0.0475		XM
2016	0.34	0.35	0.01	0.0024	0.0499		XM
2016	0.35	0.36	0.01	0.0025	0.0524		XM
2016	0.36	0.37	0.01	0.0026	0.055		XM
2016	0.37	0.38	0.01	0.0026	0.0576		XM
2016	0.38	0.39	0.01	0.0027	0.0603		XM
2016	0.39	0.4	0.01	0.0027	0.063		XM
2016	0.4	0.41	0.01	0.0028	0.0658		XM
2016	0.41	0.42	0.01	0.0029	0.0687		XM
2016	0.42	0.43	0.01	0.003	0.0717		XM
2016	0.43	0.44	0.01	0.003	0.0747		XM
2016	0.44	0.45	0.01	0.0031	0.0778		XM
2016	0.45	0.46	0.01	0.0032	0.081		XM
2016	0.46	0.47	0.01	0.0032	0.0842		XM
2016	0.47	0.48	0.01	0.0033	0.0875		XM
2016	0.48	0.49	0.01	0.0033	0.0908		XM
2016	0.49	0.5	0.01	0.0034	0.0942		XM
2016	0.5	0.51	0.01	0.0034	0.0976		XM
2016	0.51	0.52	0.01	0.0035	0.1011		XM
2016	0.52	0.53	0.01	0.0035	0.1046		XM
2016	0.53	0.54	0.01	0.0036	0.1082		XM
2016	0.54	0.55	0.01	0.0037	0.1119		XM
2016	0.55	0.56	0.01	0.0037	0.1156		XM
2016	0.56	0.57	0.01	0.0038	0.1194		XM
2016	0.57	0.58	0.01	0.0039	0.1233		XM
2016	0.58	0.59	0.01	0.004	0.1273		XM
2016	0.59	0.6	0.01	0.0042	0.1315		XM
2016	0.6	0.61	0.01	0.0042	0.1357		XM
2016	0.61	0.62	0.01	0.0044	0.1401		XM
2016	0.62	0.63	0.01	0.0045	0.1446		XM
2016	0.63	0.64	0.01	0.0046	0.1492		XM
2016	0.64	0.65	0.01	0.0048	0.154		XM
2016	0.65	0.66	0.01	0.0049	0.1589		XM
2016	0.66	0.67	0.01	0.0051	0.164		XM
2016	0.67	0.68	0.01	0.0053	0.1693		XM
2016	0.68	0.69	0.01	0.0055	0.1748		XM
2016	0.69	0.7	0.01	0.0057	0.1805		XM
2016	0.7	0.71	0.01	0.0058	0.1863		XM
2016	0.71	0.72	0.01	0.006	0.1923		XM
2016	0.72	0.73	0.01	0.0062	0.1985		XM
2016	0.73	0.74	0.01	0.0064	0.2049		XM
2016	0.74	0.75	0.01	0.0066	0.2115		XM
2016	0.75	0.76	0.01	0.0068	0.2183		XM
2016	0.76	0.77	0.01	0.007	0.2253		XM
2016	0.77	0.78	0.01	0.0073	0.2326		XM
2016	0.78	0.79	0.01	0.0076	0.2402		XM
2016	0.79	0.8	0.01	0.0081	0.2483		XM
2016	0.8	0.81	0.01	0.0083	0.2566		XM
2016	0.81	0.82	0.01	0.0087	0.2653		XM
2016	0.82	0.83	0.01	0.0092	0.2745		XM
2016	0.83	0.84	0.01	0.0097	0.2842		XM
2016	0.84	0.85	0.01	0.0104	0.2946		XM
2016	0.85	0.86	0.01	0.0111	0.3057		XM
2016	0.86	0.87	0.01	0.0119	0.3176		XM
2016	0.87	0.88	0.01	0.013	0.3306		XM
2016	0.88	0.89	0.01	0.0141	0.3447		XM
2016	0.89	0.9	0.01	0.0156	0.3603		XM
2016	0.9	0.91	0.01	0.0173	0.3776		XM
2016	0.91	0.92	0.01	0.0193	0.3969		XM
2016	0.92	0.93	0.01	0.0217	0.4186		XM
2016	0.93	0.94	0.01	0.0246	0.4432		XM
2016	0.94	0.95	0.01	0.0284	0.4716		XM
2016	0.95	0.96	0.01	0.0338	0.5054		XM
2016	0.96	0.97	0.01	0.0423	0.5477		XM
2016	0.97	0.98	0.01	0.058	0.6057		XM
2016	0.98	0.99	0.01	0.0926	0.6983		XM
2016	0.99	0.991	0.001	0.0129	0.7112		XM
2016	0.991	0.992	0.001	0.0139	0.7251		XM
2016	0.992	0.993	0.001	0.015	0.7401		XM
2016	0.993	0.994	0.001	0.0163	0.7564		XM
2016	0.994	0.995	0.001	0.0179	0.7743		XM
2016	0.995	0.996	0.001	0.02	0.7943		XM
2016	0.996	0.997	0.001	0.0231	0.8174		XM
2016	0.997	0.998	0.001	0.0282	0.8456		XM
2016	0.998	0.999	0.001	0.0387	0.8843		XM
2016	0.999	0.9991	0.0001	0.005	0.8893		XM
2016	0.9991	0.9992	0.0001	0.0053	0.8946		XM
2016	0.9992	0.9993	0.0001	0.0057	0.9003		XM
2016	0.9993	0.9994	0.0001	0.0062	0.9065		XM
2016	0.9994	0.9995	0.0001	0.0069	0.9134		XM
2016	0.9995	0.9996	0.0001	0.0077	0.9211		XM
2016	0.9996	0.9997	0.0001	0.0088	0.9299		XM
2016	0.9997	0.9998	0.0001	0.0106	0.9405		XM
2016	0.9998	0.9999	0.0001	0.0142	0.9547		XM
2016	0.9999	0.99991	0.00001	0.0018	0.9565		XM
2016	0.99991	0.99992	0.00001	0.0019	0.9584		XM
2016	0.99992	0.99993	0.00001	0.0021	0.9605		XM
2016	0.99993	0.99994	0.00001	0.0022	0.9627		XM
2016	0.99994	0.99995	0.00001	0.0025	0.9652		XM
2016	0.99995	0.99996	0.00001	0.0028	0.968		XM
2016	0.99996	0.99997	0.00001	0.0032	0.9712		XM
2016	0.99997	0.99998	0.00001	0.0039	0.9751		XM
2016	0.99998	0.99999	0.00001	0.0054	0.9805		XM
2016	0.99999	1	0.00001	0.0195	1		XM
2015	0	0.01	0.01	0	0		XM
2015	0.01	0.02	0.01	0.0003	0.0003		XM
2015	0.02	0.03	0.01	0.0005	0.0008		XM
2015	0.03	0.04	0.01	0.0006	0.0014		XM
2015	0.04	0.05	0.01	0.0007	0.0021		XM
2015	0.05	0.06	0.01	0.0007	0.0028		XM
2015	0.06	0.07	0.01	0.0008	0.0036		XM
2015	0.07	0.08	0.01	0.0009	0.0045		XM
2015	0.08	0.09	0.01	0.001	0.0055		XM
2015	0.09	0.1	0.01	0.0009	0.0064		XM
2015	0.1	0.11	0.01	0.0011	0.0075		XM
2015	0.11	0.12	0.01	0.0012	0.0087		XM
2015	0.12	0.13	0.01	0.0012	0.0099		XM
2015	0.13	0.14	0.01	0.0013	0.0112		XM
2015	0.14	0.15	0.01	0.0013	0.0125		XM
2015	0.15	0.16	0.01	0.0014	0.0139		XM
2015	0.16	0.17	0.01	0.0014	0.0153		XM
2015	0.17	0.18	0.01	0.0015	0.0168		XM
2015	0.18	0.19	0.01	0.0015	0.0183		XM
2015	0.19	0.2	0.01	0.0014	0.0197		XM
2015	0.2	0.21	0.01	0.0016	0.0213		XM
2015	0.21	0.22	0.01	0.0017	0.023		XM
2015	0.22	0.23	0.01	0.0017	0.0247		XM
2015	0.23	0.24	0.01	0.0018	0.0265		XM
2015	0.24	0.25	0.01	0.0018	0.0283		XM
2015	0.25	0.26	0.01	0.0019	0.0302		XM
2015	0.26	0.27	0.01	0.0019	0.0321		XM
2015	0.27	0.28	0.01	0.002	0.0341		XM
2015	0.28	0.29	0.01	0.002	0.0361		XM
2015	0.29	0.3	0.01	0.002	0.0381		XM
2015	0.3	0.31	0.01	0.0021	0.0402		XM
2015	0.31	0.32	0.01	0.0022	0.0424		XM
2015	0.32	0.33	0.01	0.0023	0.0447		XM
2015	0.33	0.34	0.01	0.0023	0.047		XM
2015	0.34	0.35	0.01	0.0024	0.0494		XM
2015	0.35	0.36	0.01	0.0024	0.0518		XM
2015	0.36	0.37	0.01	0.0025	0.0543		XM
2015	0.37	0.38	0.01	0.0026	0.0569		XM
2015	0.38	0.39	0.01	0.0026	0.0595		XM
2015	0.39	0.4	0.01	0.0027	0.0622		XM
2015	0.4	0.41	0.01	0.0028	0.065		XM
2015	0.41	0.42	0.01	0.0028	0.0678		XM
2015	0.42	0.43	0.01	0.0029	0.0707		XM
2015	0.43	0.44	0.01	0.003	0.0737		XM
2015	0.44	0.45	0.01	0.003	0.0767		XM
2015	0.45	0.46	0.01	0.0031	0.0798		XM
2015	0.46	0.47	0.01	0.0032	0.083		XM
2015	0.47	0.48	0.01	0.0032	0.0862		XM
2015	0.48	0.49	0.01	0.0033	0.0895		XM
2015	0.49	0.5	0.01	0.0034	0.0929		XM
2015	0.5	0.51	0.01	0.0034	0.0963		XM
2015	0.51	0.52	0.01	0.0034	0.0997		XM
2015	0.52	0.53	0.01	0.0035	0.1032		XM
2015	0.53	0.54	0.01	0.0036	0.1068		XM
2015	0.54	0.55	0.01	0.0036	0.1104		XM
2015	0.55	0.56	0.01	0.0037	0.1141		XM
2015	0.56	0.57	0.01	0.0038	0.1179		XM
2015	0.57	0.58	0.01	0.0039	0.1218		XM
2015	0.58	0.59	0.01	0.004	0.1258		XM
2015	0.59	0.6	0.01	0.0041	0.1299		XM
2015	0.6	0.61	0.01	0.0042	0.1341		XM
2015	0.61	0.62	0.01	0.0043	0.1384		XM
2015	0.62	0.63	0.01	0.0044	0.1428		XM
2015	0.63	0.64	0.01	0.0046	0.1474		XM
2015	0.64	0.65	0.01	0.0047	0.1521		XM
2015	0.65	0.66	0.01	0.0049	0.157		XM
2015	0.66	0.67	0.01	0.0051	0.1621		XM
2015	0.67	0.68	0.01	0.0052	0.1673		XM
2015	0.68	0.69	0.01	0.0054	0.1727		XM
2015	0.69	0.7	0.01	0.0057	0.1784		XM
2015	0.7	0.71	0.01	0.0059	0.1843		XM
2015	0.71	0.72	0.01	0.0061	0.1904		XM
2015	0.72	0.73	0.01	0.0063	0.1967		XM
2015	0.73	0.74	0.01	0.0065	0.2032		XM
2015	0.74	0.75	0.01	0.0067	0.2099		XM
2015	0.75	0.76	0.01	0.0069	0.2168		XM
2015	0.76	0.77	0.01	0.0072	0.224		XM
2015	0.77	0.78	0.01	0.0074	0.2314		XM
2015	0.78	0.79	0.01	0.0077	0.2391		XM
2015	0.79	0.8	0.01	0.0079	0.247		XM
2015	0.8	0.81	0.01	0.0084	0.2554		XM
2015	0.81	0.82	0.01	0.0088	0.2642		XM
2015	0.82	0.83	0.01	0.0093	0.2735		XM
2015	0.83	0.84	0.01	0.0098	0.2833		XM
2015	0.84	0.85	0.01	0.0104	0.2937		XM
2015	0.85	0.86	0.01	0.0111	0.3048		XM
2015	0.86	0.87	0.01	0.012	0.3168		XM
2015	0.87	0.88	0.01	0.013	0.3298		XM
2015	0.88	0.89	0.01	0.0141	0.3439		XM
2015	0.89	0.9	0.01	0.0155	0.3594		XM
2015	0.9	0.91	0.01	0.0172	0.3766		XM
2015	0.91	0.92	0.01	0.0193	0.3959		XM
2015	0.92	0.93	0.01	0.0216	0.4175		XM
2015	0.93	0.94	0.01	0.0245	0.442		XM
2015	0.94	0.95	0.01	0.0284	0.4704		XM
2015	0.95	0.96	0.01	0.0338	0.5042		XM
2015	0.96	0.97	0.01	0.0423	0.5465		XM
2015	0.97	0.98	0.01	0.0581	0.6046		XM
2015	0.98	0.99	0.01	0.0931	0.6977		XM
2015	0.99	0.991	0.001	0.013	0.7107		XM
2015	0.991	0.992	0.001	0.014	0.7247		XM
2015	0.992	0.993	0.001	0.0152	0.7399		XM
2015	0.993	0.994	0.001	0.0165	0.7564		XM
2015	0.994	0.995	0.001	0.018	0.7744		XM
2015	0.995	0.996	0.001	0.0203	0.7947		XM
2015	0.996	0.997	0.001	0.0235	0.8182		XM
2015	0.997	0.998	0.001	0.0287	0.8469		XM
