year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	0	0		XN-MER
2016	0.01	0.02	0.01	0.0003	0.0003		XN-MER
2016	0.02	0.03	0.01	0.0004	0.0007		XN-MER
2016	0.03	0.04	0.01	0.0005	0.0012		XN-MER
2016	0.04	0.05	0.01	0.0006	0.0018		XN-MER
2016	0.05	0.06	0.01	0.0007	0.0025		XN-MER
2016	0.06	0.07	0.01	0.0008	0.0033		XN-MER
2016	0.07	0.08	0.01	0.0009	0.0042		XN-MER
2016	0.08	0.09	0.01	0.001	0.0052		XN-MER
2016	0.09	0.1	0.01	0.0011	0.0063		XN-MER
2016	0.1	0.11	0.01	0.0011	0.0074		XN-MER
2016	0.11	0.12	0.01	0.0012	0.0086		XN-MER
2016	0.12	0.13	0.01	0.0012	0.0098		XN-MER
2016	0.13	0.14	0.01	0.0013	0.0111		XN-MER
2016	0.14	0.15	0.01	0.0013	0.0124		XN-MER
2016	0.15	0.16	0.01	0.0014	0.0138		XN-MER
2016	0.16	0.17	0.01	0.0014	0.0152		XN-MER
2016	0.17	0.18	0.01	0.0015	0.0167		XN-MER
2016	0.18	0.19	0.01	0.0016	0.0183		XN-MER
2016	0.19	0.2	0.01	0.0016	0.0199		XN-MER
2016	0.2	0.21	0.01	0.0017	0.0216		XN-MER
2016	0.21	0.22	0.01	0.0017	0.0233		XN-MER
2016	0.22	0.23	0.01	0.0018	0.0251		XN-MER
2016	0.23	0.24	0.01	0.0018	0.0269		XN-MER
2016	0.24	0.25	0.01	0.0019	0.0288		XN-MER
2016	0.25	0.26	0.01	0.0019	0.0307		XN-MER
2016	0.26	0.27	0.01	0.002	0.0327		XN-MER
2016	0.27	0.28	0.01	0.002	0.0347		XN-MER
2016	0.28	0.29	0.01	0.0021	0.0368		XN-MER
2016	0.29	0.3	0.01	0.0022	0.039		XN-MER
2016	0.3	0.31	0.01	0.0022	0.0412		XN-MER
2016	0.31	0.32	0.01	0.0023	0.0435		XN-MER
2016	0.32	0.33	0.01	0.0023	0.0458		XN-MER
2016	0.33	0.34	0.01	0.0024	0.0482		XN-MER
2016	0.34	0.35	0.01	0.0025	0.0507		XN-MER
2016	0.35	0.36	0.01	0.0025	0.0532		XN-MER
2016	0.36	0.37	0.01	0.0026	0.0558		XN-MER
2016	0.37	0.38	0.01	0.0027	0.0585		XN-MER
2016	0.38	0.39	0.01	0.0027	0.0612		XN-MER
2016	0.39	0.4	0.01	0.0029	0.0641		XN-MER
2016	0.4	0.41	0.01	0.0029	0.067		XN-MER
2016	0.41	0.42	0.01	0.003	0.07		XN-MER
2016	0.42	0.43	0.01	0.003	0.073		XN-MER
2016	0.43	0.44	0.01	0.0031	0.0761		XN-MER
2016	0.44	0.45	0.01	0.0032	0.0793		XN-MER
2016	0.45	0.46	0.01	0.0032	0.0825		XN-MER
2016	0.46	0.47	0.01	0.0033	0.0858		XN-MER
2016	0.47	0.48	0.01	0.0033	0.0891		XN-MER
2016	0.48	0.49	0.01	0.0034	0.0925		XN-MER
2016	0.49	0.5	0.01	0.0034	0.0959		XN-MER
2016	0.5	0.51	0.01	0.0035	0.0994		XN-MER
2016	0.51	0.52	0.01	0.0035	0.1029		XN-MER
2016	0.52	0.53	0.01	0.0036	0.1065		XN-MER
2016	0.53	0.54	0.01	0.0037	0.1102		XN-MER
2016	0.54	0.55	0.01	0.0038	0.114		XN-MER
2016	0.55	0.56	0.01	0.0039	0.1179		XN-MER
2016	0.56	0.57	0.01	0.004	0.1219		XN-MER
2016	0.57	0.58	0.01	0.0041	0.126		XN-MER
2016	0.58	0.59	0.01	0.0042	0.1302		XN-MER
2016	0.59	0.6	0.01	0.0043	0.1345		XN-MER
2016	0.6	0.61	0.01	0.0045	0.139		XN-MER
2016	0.61	0.62	0.01	0.0046	0.1436		XN-MER
2016	0.62	0.63	0.01	0.0048	0.1484		XN-MER
2016	0.63	0.64	0.01	0.0049	0.1533		XN-MER
2016	0.64	0.65	0.01	0.0051	0.1584		XN-MER
2016	0.65	0.66	0.01	0.0053	0.1637		XN-MER
2016	0.66	0.67	0.01	0.0055	0.1692		XN-MER
2016	0.67	0.68	0.01	0.0057	0.1749		XN-MER
2016	0.68	0.69	0.01	0.0059	0.1808		XN-MER
2016	0.69	0.7	0.01	0.0062	0.187		XN-MER
2016	0.7	0.71	0.01	0.0063	0.1933		XN-MER
2016	0.71	0.72	0.01	0.0066	0.1999		XN-MER
2016	0.72	0.73	0.01	0.0068	0.2067		XN-MER
2016	0.73	0.74	0.01	0.007	0.2137		XN-MER
2016	0.74	0.75	0.01	0.0072	0.2209		XN-MER
2016	0.75	0.76	0.01	0.0075	0.2284		XN-MER
2016	0.76	0.77	0.01	0.0078	0.2362		XN-MER
2016	0.77	0.78	0.01	0.0082	0.2444		XN-MER
2016	0.78	0.79	0.01	0.0086	0.253		XN-MER
2016	0.79	0.8	0.01	0.0089	0.2619		XN-MER
2016	0.8	0.81	0.01	0.0095	0.2714		XN-MER
2016	0.81	0.82	0.01	0.0101	0.2815		XN-MER
2016	0.82	0.83	0.01	0.0107	0.2922		XN-MER
2016	0.83	0.84	0.01	0.0114	0.3036		XN-MER
2016	0.84	0.85	0.01	0.0122	0.3158		XN-MER
2016	0.85	0.86	0.01	0.013	0.3288		XN-MER
2016	0.86	0.87	0.01	0.0139	0.3427		XN-MER
2016	0.87	0.88	0.01	0.015	0.3577		XN-MER
2016	0.88	0.89	0.01	0.0162	0.3739		XN-MER
2016	0.89	0.9	0.01	0.0175	0.3914		XN-MER
2016	0.9	0.91	0.01	0.0191	0.4105		XN-MER
2016	0.91	0.92	0.01	0.021	0.4315		XN-MER
