year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	-0.0001	-0.0001		XR-MER
2016	0.01	0.02	0.01	0	-0.0001		XR-MER
2016	0.02	0.03	0.01	0	-0.0001		XR-MER
2016	0.03	0.04	0.01	0.0001	0		XR-MER
2016	0.04	0.05	0.01	0.0001	0.0001		XR-MER
2016	0.05	0.06	0.01	0.0002	0.0003		XR-MER
2016	0.06	0.07	0.01	0.0002	0.0005		XR-MER
2016	0.07	0.08	0.01	0.0002	0.0007		XR-MER
2016	0.08	0.09	0.01	0.0004	0.0011		XR-MER
2016	0.09	0.1	0.01	0.0012	0.0023		XR-MER
2016	0.1	0.11	0.01	0.0016	0.0039		XR-MER
2016	0.11	0.12	0.01	0.0019	0.0058		XR-MER
2016	0.12	0.13	0.01	0.0022	0.008		XR-MER
2016	0.13	0.14	0.01	0.0024	0.0104		XR-MER
2016	0.14	0.15	0.01	0.0026	0.013		XR-MER
2016	0.15	0.16	0.01	0.0028	0.0158		XR-MER
2016	0.16	0.17	0.01	0.0029	0.0187		XR-MER
2016	0.17	0.18	0.01	0.0031	0.0218		XR-MER
2016	0.18	0.19	0.01	0.0032	0.025		XR-MER
2016	0.19	0.2	0.01	0.0033	0.0283		XR-MER
2016	0.2	0.21	0.01	0.0034	0.0317		XR-MER
2016	0.21	0.22	0.01	0.0035	0.0352		XR-MER
2016	0.22	0.23	0.01	0.0036	0.0388		XR-MER
2016	0.23	0.24	0.01	0.0037	0.0425		XR-MER
2016	0.24	0.25	0.01	0.0038	0.0463		XR-MER
2016	0.25	0.26	0.01	0.0039	0.0502		XR-MER
2016	0.26	0.27	0.01	0.004	0.0542		XR-MER
2016	0.27	0.28	0.01	0.0041	0.0583		XR-MER
2016	0.28	0.29	0.01	0.0041	0.0624		XR-MER
2016	0.29	0.3	0.01	0.0041	0.0665		XR-MER
2016	0.3	0.31	0.01	0.0043	0.0708		XR-MER
2016	0.31	0.32	0.01	0.0044	0.0752		XR-MER
2016	0.32	0.33	0.01	0.0045	0.0797		XR-MER
2016	0.33	0.34	0.01	0.0046	0.0843		XR-MER
2016	0.34	0.35	0.01	0.0047	0.089		XR-MER
2016	0.35	0.36	0.01	0.0048	0.0938		XR-MER
2016	0.36	0.37	0.01	0.0049	0.0987		XR-MER
2016	0.37	0.38	0.01	0.0049	0.1036		XR-MER
2016	0.38	0.39	0.01	0.005	0.1086		XR-MER
2016	0.39	0.4	0.01	0.0052	0.1138		XR-MER
2016	0.4	0.41	0.01	0.0052	0.119		XR-MER
2016	0.41	0.42	0.01	0.0053	0.1243		XR-MER
2016	0.42	0.43	0.01	0.0054	0.1297		XR-MER
2016	0.43	0.44	0.01	0.0055	0.1352		XR-MER
2016	0.44	0.45	0.01	0.0056	0.1408		XR-MER
2016	0.45	0.46	0.01	0.0057	0.1465		XR-MER
2016	0.46	0.47	0.01	0.0057	0.1522		XR-MER
2016	0.47	0.48	0.01	0.0058	0.158		XR-MER
2016	0.48	0.49	0.01	0.0059	0.1639		XR-MER
2016	0.49	0.5	0.01	0.006	0.1699		XR-MER
2016	0.5	0.51	0.01	0.0061	0.176		XR-MER
2016	0.51	0.52	0.01	0.0062	0.1822		XR-MER
2016	0.52	0.53	0.01	0.0063	0.1885		XR-MER
2016	0.53	0.54	0.01	0.0064	0.1949		XR-MER
2016	0.54	0.55	0.01	0.0065	0.2014		XR-MER
2016	0.55	0.56	0.01	0.0067	0.2081		XR-MER
2016	0.56	0.57	0.01	0.0068	0.2149		XR-MER
2016	0.57	0.58	0.01	0.0069	0.2218		XR-MER
2016	0.58	0.59	0.01	0.0071	0.2289		XR-MER
2016	0.59	0.6	0.01	0.0071	0.236		XR-MER
2016	0.6	0.61	0.01	0.0073	0.2433		XR-MER
2016	0.61	0.62	0.01	0.0074	0.2507		XR-MER
2016	0.62	0.63	0.01	0.0076	0.2583		XR-MER
2016	0.63	0.64	0.01	0.0077	0.266		XR-MER
2016	0.64	0.65	0.01	0.0079	0.2739		XR-MER
2016	0.65	0.66	0.01	0.008	0.2819		XR-MER
2016	0.66	0.67	0.01	0.0082	0.2901		XR-MER
2016	0.67	0.68	0.01	0.0083	0.2984		XR-MER
2016	0.68	0.69	0.01	0.0085	0.3069		XR-MER
2016	0.69	0.7	0.01	0.0086	0.3155		XR-MER
2016	0.7	0.71	0.01	0.0089	0.3244		XR-MER
2016	0.71	0.72	0.01	0.0091	0.3335		XR-MER
2016	0.72	0.73	0.01	0.0093	0.3428		XR-MER
2016	0.73	0.74	0.01	0.0095	0.3523		XR-MER
2016	0.74	0.75	0.01	0.0098	0.3621		XR-MER
2016	0.75	0.76	0.01	0.01	0.3721		XR-MER
2016	0.76	0.77	0.01	0.0103	0.3824		XR-MER
2016	0.77	0.78	0.01	0.0105	0.3929		XR-MER
2016	0.78	0.79	0.01	0.0108	0.4037		XR-MER
2016	0.79	0.8	0.01	0.011	0.4147		XR-MER
2016	0.8	0.81	0.01	0.0114	0.4261		XR-MER
2016	0.81	0.82	0.01	0.0117	0.4378		XR-MER
2016	0.82	0.83	0.01	0.012	0.4498		XR-MER
2016	0.83	0.84	0.01	0.0123	0.4621		XR-MER
2016	0.84	0.85	0.01	0.0127	0.4748		XR-MER
2016	0.85	0.86	0.01	0.0131	0.4879		XR-MER
2016	0.86	0.87	0.01	0.0135	0.5014		XR-MER
2016	0.87	0.88	0.01	0.0139	0.5153		XR-MER
2016	0.88	0.89	0.01	0.0144	0.5297		XR-MER
