year	low	high	width	share	cumul	# sptinc992j	country
2016	0	0.01	0.01	-0.0001	-0.0001		XR
2016	0.01	0.02	0.01	0	-0.0001		XR
2016	0.02	0.03	0.01	0	-0.0001		XR
2016	0.03	0.04	0.01	0.0001	0		XR
2016	0.04	0.05	0.01	0.0001	0.0001		XR
2016	0.05	0.06	0.01	0.0002	0.0003		XR
2016	0.06	0.07	0.01	0.0002	0.0005		XR
2016	0.07	0.08	0.01	0.0002	0.0007		XR
2016	0.08	0.09	0.01	0.0004	0.0011		XR
2016	0.09	0.1	0.01	0.0012	0.0023		XR
2016	0.1	0.11	0.01	0.0016	0.0039		XR
2016	0.11	0.12	0.01	0.0019	0.0058		XR
2016	0.12	0.13	0.01	0.0022	0.008		XR
2016	0.13	0.14	0.01	0.0024	0.0104		XR
2016	0.14	0.15	0.01	0.0026	0.013		XR
2016	0.15	0.16	0.01	0.0028	0.0158		XR
2016	0.16	0.17	0.01	0.0029	0.0187		XR
2016	0.17	0.18	0.01	0.0031	0.0218		XR
2016	0.18	0.19	0.01	0.0032	0.025		XR
2016	0.19	0.2	0.01	0.0033	0.0283		XR
2016	0.2	0.21	0.01	0.0034	0.0317		XR
2016	0.21	0.22	0.01	0.0035	0.0352		XR
2016	0.22	0.23	0.01	0.0036	0.0388		XR
2016	0.23	0.24	0.01	0.0037	0.0425		XR
2016	0.24	0.25	0.01	0.0038	0.0463		XR
2016	0.25	0.26	0.01	0.0039	0.0502		XR
2016	0.26	0.27	0.01	0.004	0.0542		XR
2016	0.27	0.28	0.01	0.0041	0.0583		XR
2016	0.28	0.29	0.01	0.0041	0.0624		XR
2016	0.29	0.3	0.01	0.0041	0.0665		XR
2016	0.3	0.31	0.01	0.0043	0.0708		XR
2016	0.31	0.32	0.01	0.0044	0.0752		XR
2016	0.32	0.33	0.01	0.0045	0.0797		XR
2016	0.33	0.34	0.01	0.0046	0.0843		XR
2016	0.34	0.35	0.01	0.0047	0.089		XR
2016	0.35	0.36	0.01	0.0048	0.0938		XR
2016	0.36	0.37	0.01	0.0049	0.0987		XR
2016	0.37	0.38	0.01	0.0049	0.1036		XR
2016	0.38	0.39	0.01	0.005	0.1086		XR
2016	0.39	0.4	0.01	0.0052	0.1138		XR
2016	0.4	0.41	0.01	0.0052	0.119		XR
2016	0.41	0.42	0.01	0.0053	0.1243		XR
2016	0.42	0.43	0.01	0.0054	0.1297		XR
2016	0.43	0.44	0.01	0.0055	0.1352		XR
2016	0.44	0.45	0.01	0.0056	0.1408		XR
